 	il	n'	a	pas	répondu	quand	je	l'	ai	appelé	</S>
w	0.564989	0.150336	0.113251	0.0518218	0.108107	0.0034102	0.00276454	0.00351988	0.00156046	0.000135891	0.000104037
a	0.611477	0.199212	0.0863221	0.0652054	0.0168983	0.00422685	0.0042311	0.004367	0.0057889	0.00220204	6.96819e-05
á	0.0690965	0.258103	0.379523	0.190026	0.0805157	0.0104699	0.00489518	0.00406665	0.00240835	0.000590427	0.00030558
y	0.00955287	0.0789059	0.142954	0.192402	0.502701	0.0229381	0.014181	0.0103742	0.013067	0.00698298	0.00594077
i	0.000642591	0.0200918	0.0606908	0.0767059	0.782258	0.00854135	0.0135148	0.0051099	0.00531239	0.00295051	0.0241818
r	0.00208997	0.0166393	0.047511	0.146209	0.763544	0.00374487	0.005737	0.00169923	0.00112475	0.000741256	0.0109592
i	0.00311482	0.019339	0.0269326	0.0505225	0.890446	0.00247266	0.00329962	0.00176589	0.00130283	0.000167281	0.000636841
i	0.0786565	0.0940052	0.172982	0.303231	0.156247	0.0934745	0.0300021	0.0223843	0.00894735	0.00464765	0.0354222
n	0.0251171	0.049692	0.0795726	0.0722912	0.120727	0.329409	0.272235	0.020907	0.0107703	0.014306	0.00497303
g	0.00947856	0.0233723	0.0143471	0.00931921	0.515483	0.0603506	0.337688	0.0128656	0.0115165	0.00135762	0.0042208
á	0.0099467	0.0207246	0.0176326	0.00598238	0.441695	0.0493076	0.432168	0.0118027	0.00696493	0.00161247	0.00216277
é	0.00472092	0.0221095	0.0360611	0.0784655	0.00421723	0.575209	0.123533	0.0994027	0.0285363	0.0151976	0.012547
d	0.000329205	0.0116366	0.0140369	0.0567973	0.0174758	0.523884	0.240983	0.0753578	0.0192303	0.0329152	0.00735424
z	0.000887526	0.00718922	0.00701016	0.0425709	0.0379597	0.220542	0.339985	0.0761949	0.0296929	0.0480385	0.189929
e	0.00495981	0.0151169	0.0402063	0.0425193	0.010285	0.298757	0.379686	0.101248	0.016829	0.00662196	0.0837714
n	0.00494986	0.0154788	0.0248955	0.0945607	0.00463118	0.154709	0.253416	0.291156	0.0593454	0.0453458	0.0515111
g	0.000576207	0.00225786	0.00216181	0.00167586	0.00257089	0.0760851	0.688997	0.123385	0.0381502	0.0157417	0.0483981
á	0.000301625	0.00306971	0.00262475	0.00155335	0.0389648	0.0380905	0.764996	0.0951671	0.0359814	0.00861391	0.0106368
l	0.000755632	0.00176835	0.00273813	0.00528848	0.000151892	0.104099	0.110147	0.508636	0.151912	0.0691039	0.0453989
ó	0.00201221	0.00605481	0.00437799	0.00605079	0.00111155	0.051601	0.161166	0.301911	0.208247	0.118702	0.138766
b	0.00467645	0.00520495	0.00477342	0.00425903	0.000205598	0.0533293	0.0718776	0.236729	0.135362	0.369271	0.114311
é	0.000966399	0.00238584	0.0019422	0.00852878	9.09616e-05	0.0148748	0.0244644	0.0726438	0.07172	0.775437	0.0269458
a	0.000344968	0.00063661	0.00158052	0.00496175	0.000279064	0.0201489	0.036174	0.0567844	0.0721717	0.332285	0.474634
w	0.000145817	0.000975738	0.0015563	0.00198962	0.000169344	0.00886327	0.0100764	0.0728264	0.2657	0.177399	0.460298
a	0.00201486	0.00298986	0.00528713	0.00762623	0.000277941	0.0431598	0.0478677	0.155659	0.189708	0.315027	0.230383
</S>	0.000461977	0.000688727	0.00108216	0.00167381	0.000120193	0.00818956	0.0179863	0.101966	0.116793	0.208548	0.542489
