 	le	lion	rugit	dans	cette	petite	forêt	</S>
n	0.981331	0.0156595	0.00128761	0.000727259	0.000259874	0.000507176	0.000218557	8.96251e-06
g	0.657644	0.269707	0.0659639	0.00328865	0.00217	0.0010175	0.000189315	2.0227e-05
u	0.0337035	0.877635	0.0873813	0.000570435	0.000249642	0.000293727	0.000132321	3.43897e-05
ú	0.0483387	0.312685	0.612637	0.00957307	0.00610223	0.00337487	0.00600379	0.00128508
n	0.386007	0.0254011	0.377372	0.079644	0.0308957	0.0386016	0.00308547	0.0589931
g	0.152091	0.0913778	0.605137	0.0356125	0.0200547	0.0301616	0.00252675	0.0630383
u	0.0649908	0.446067	0.486164	0.00112734	0.000407896	0.000452205	0.000113016	0.000677512
ú	0.121743	0.0166603	0.704599	0.0759434	0.0188479	0.0406365	0.00831382	0.013257
l	0.128201	0.00307455	0.488418	0.229963	0.0598552	0.0495707	0.0078974	0.0330193
á	0.1281	0.00480327	0.387744	0.22197	0.0558144	0.0581149	0.00801773	0.135434
a	0.2251	0.00210269	0.209827	0.352812	0.0827874	0.0619527	0.0219995	0.0434186
f	0.00629399	0.00494594	0.337077	0.43334	0.168148	0.0127896	0.0151857	0.0222193
ú	0.00299332	0.00170342	0.15627	0.388192	0.326424	0.0318438	0.0305608	0.062013
n	0.0249847	0.000130079	0.1956	0.253156	0.30673	0.0255751	0.0387688	0.155056
g	0.0221767	0.0003182	0.220577	0.265608	0.334223	0.0738668	0.0244404	0.0587904
á	0.0606331	0.000794691	0.391269	0.265275	0.177208	0.0620383	0.0164758	0.0263065
s	0.00631395	0.000156099	0.107583	0.338829	0.299607	0.200502	0.0418584	0.00515069
á	0.00190142	1.78517e-05	0.00293985	0.450123	0.407775	0.0899658	0.027452	0.0198248
t	0.00252468	0.000330764	0.0100938	0.306925	0.311373	0.181493	0.183032	0.00422762
s	0.000224862	2.95583e-05	0.00146853	0.11337	0.236642	0.0393688	0.593316	0.0155802
ó	2.30088e-05	4.28478e-06	0.000561819	0.0312003	0.122294	0.0357727	0.785756	0.0243876
l	0.000180547	2.2438e-05	0.00538483	0.0967133	0.267105	0.181126	0.369701	0.0797672
o	0.000202377	0.000517894	0.0121953	0.105042	0.202136	0.153982	0.351844	0.17408
y	0.000151587	6.13442e-05	0.00384349	0.0688836	0.148528	0.191279	0.209629	0.377624
é	0.00404264	0.000659782	0.00698704	0.10995	0.241693	0.315827	0.23352	0.0873201
</S>	0.00043032	8.06856e-05	0.000962987	0.0258195	0.0775681	0.229686	0.298402	0.367051
