 	c'	est	umberto	qui	sera	mon	habilleur	le	jour	du	mariage	</S>
o	0.819577	0.157255	0.000941789	0.00528306	0.00962709	0.00318348	0.000166668	0.0012172	0.00109773	0.00158604	4.1165e-05	2.44343e-05
l	0.0240356	0.0663918	0.8374	0.00714083	0.0511954	0.00266497	0.000318704	0.00412655	0.001592	0.00177413	0.00205088	0.00130874
á	0.000572664	0.00687174	0.969484	0.00157035	0.0140773	0.000519657	0.000690012	0.000812732	0.00133946	0.000564939	0.00100127	0.00249617
á	0.000947544	0.0169876	0.922669	0.006736	0.0101705	0.0117505	0.0024143	0.00503357	0.00448641	0.00333001	0.00288786	0.012587
s	0.420537	0.180656	0.0691974	0.0960002	0.00928959	0.0809504	0.0369478	0.0383598	0.0119031	0.0179151	0.00587217	0.0323717
i	0.0431618	0.0592872	0.179529	0.26165	0.0796464	0.0913285	0.0209264	0.0782907	0.0387623	0.0633104	0.0267772	0.0573299
n	0.0887826	0.0574533	0.0338458	0.325416	0.0173932	0.325938	0.056914	0.0259034	0.00538644	0.0198297	0.011955	0.0311821
g	0.0111682	0.00843598	0.00356258	0.292249	0.00588286	0.652036	0.00172965	0.00726218	0.00114	0.00670022	0.00534291	0.0044905
á	0.0170779	0.0342907	0.0151073	0.466087	0.0371673	0.39258	0.00266116	0.00683922	0.00175033	0.00728944	0.0102466	0.00890287
o	0.010574	0.00471949	0.000634443	0.492453	0.14897	0.18452	0.0410513	0.052077	0.0150682	0.0307827	0.00730757	0.0118419
k	0.00071014	0.00414477	0.0127217	0.144088	0.754357	0.0130837	0.044912	0.00900036	0.0119576	0.001225	0.00140954	0.00239013
ω	0.000112918	0.00045904	0.000300439	0.0209444	0.958489	0.000555472	0.00442801	0.00151962	0.011321	0.000329445	0.000332943	0.00120811
ω	0.000142161	0.000957565	0.00152212	0.122358	0.837989	0.00405523	0.00674046	0.00416749	0.0116435	0.00388688	0.00120239	0.00533487
m	0.0048174	0.00272421	0.000549559	0.190547	0.320132	0.305985	0.0722052	0.0670239	0.0143106	0.0121101	0.00213085	0.0074645
í	0.0166352	0.00192886	1.4425e-06	0.017735	0.0392079	0.104977	0.705647	0.0912416	0.0080061	0.00721175	0.002001	0.00540706
b	0.00364777	0.00324461	0.000712938	0.0798316	0.105516	0.224601	0.451248	0.0722122	0.0241236	0.0129084	0.00714853	0.0148063
á	0.00180741	0.00318393	0.000114507	0.0227601	0.474941	0.0187514	0.257586	0.0439585	0.165378	0.00381749	0.00384585	0.00385493
a	0.00259989	0.00233254	4.08961e-05	0.0378072	0.0306637	0.126768	0.624601	0.0547256	0.0770506	0.00981802	0.0111255	0.0224671
m	0.000658244	0.00261306	0.00279201	0.0306853	0.059495	0.14793	0.372201	0.256331	0.0792925	0.0165016	0.00485983	0.0266412
b	0.00479229	0.00390003	2.08877e-05	0.011365	0.00761204	0.0912486	0.668317	0.149991	0.0153491	0.0271292	0.00799391	0.0122817
í	0.000698931	0.00248608	0.000112881	0.0442186	0.111159	0.0352382	0.512809	0.169942	0.0477788	0.0209932	0.0116616	0.0429018
u	0.000647846	0.000910291	8.05831e-05	0.0224654	0.041463	0.0267018	0.620267	0.118886	0.105993	0.0181844	0.00480504	0.0395949
m	0.00020519	0.000329344	7.45464e-05	0.00634465	0.0173378	0.0611841	0.212114	0.472624	0.15373	0.0448087	0.00621062	0.0250371
b	0.0029059	0.00218175	5.92451e-06	0.00515091	0.0040791	0.069989	0.593631	0.165764	0.0267019	0.0451926	0.0210058	0.0633914
e	0.000573763	0.000890844	4.8091e-06	0.010667	0.0268978	0.0171155	0.61412	0.149805	0.114355	0.0304055	0.0134481	0.0217165
r	0.000339528	0.000383991	8.44707e-06	0.00620509	0.0141516	0.00850756	0.497448	0.117811	0.272892	0.0400634	0.00783717	0.0343526
t	0.000389491	0.000237972	0.000125636	0.00633763	0.0117524	0.232057	0.0802416	0.293091	0.0681914	0.102637	0.0486883	0.15625
o	0.000614924	0.000304829	4.39964e-05	0.00998395	0.0125448	0.453306	0.0195089	0.1503	0.0511343	0.118911	0.09669	0.0866578
</S>	0.0010687	0.000494356	5.58656e-05	0.00641906	0.00435579	0.141774	0.0300105	0.234343	0.0916452	0.298502	0.0836356	0.107696
