 	le	village	est	dans	un	silence	tendu	aujourd'	hui	parce	que	les	femmes	sont	allées	à	la	pêche	avec	les	enfants	</S>
p	0.827343	0.044435	0.0185853	0.00421726	0.00581975	0.0166096	0.033562	0.0254116	0.00241342	0.00674429	0.00267344	0.00422193	0.000839184	0.00250394	0.000170718	0.00131206	0.000830464	0.000294256	0.000460483	0.00149299	4.0189e-05	1.92961e-05
o	0.0321948	0.951385	0.00408361	0.000708915	0.000884672	0.00239045	0.00178429	0.00076646	0.000335852	0.00245538	0.000660988	0.000312563	0.000100786	0.00019166	0.000110915	0.000231038	0.000147922	0.000123912	0.00040339	0.00063924	6.63114e-05	2.18741e-05
o	0.0719196	0.657454	0.0979392	0.00718854	0.00504816	0.00386293	0.0255695	0.0204187	0.0119597	0.0157409	0.0109866	0.00633432	0.00600703	0.00806546	0.0212407	0.00511568	0.00289216	0.00605112	0.00714598	0.000687975	0.00344185	0.00493005
é	0.259003	0.0109736	0.403291	0.0715874	0.0213459	0.00573189	0.0131574	0.00487196	0.00221487	0.00936813	0.0164069	0.0243711	0.0126727	0.0422021	0.00385126	0.0242587	0.0129205	0.00836314	0.0130655	0.00417038	0.000583705	0.0355886
d	0.0463285	0.00477213	0.495335	0.189508	0.0222613	0.0039211	0.00579732	0.00244653	0.00207996	0.0101863	0.0210308	0.0217619	0.0321818	0.0758316	0.00550396	0.0213592	0.0134798	0.00789239	0.00794804	0.0019635	0.00106986	0.00734066
í	0.00503717	0.000309818	0.115496	0.579817	0.113085	0.00942847	0.00939362	0.0012392	0.000129938	0.00450032	0.0107287	0.00957238	0.0280522	0.0129501	0.0110413	0.0143088	0.00788707	0.00227237	0.0102118	0.00142371	7.31579e-05	0.0530421
m	0.0231727	0.000297568	0.11163	0.37277	0.0685463	0.0221594	0.0411456	0.013994	0.00475895	0.00915087	0.0174821	0.0229026	0.0246166	0.03839	0.0338977	0.0258739	0.0148873	0.0107704	0.022172	0.00917644	0.000864143	0.111342
ω	0.00405341	6.16735e-06	0.0206311	0.103386	0.255228	0.303995	0.158024	0.0721662	0.00323439	0.0264224	0.0128357	0.0102888	0.015825	0.00286507	0.0003306	0.00162492	0.00281134	5.50159e-05	0.000858468	0.00263941	0.000244286	0.00247523
r	0.0025543	7.11223e-05	0.0568727	0.0601907	0.0848402	0.220147	0.269631	0.0605346	0.00529234	0.0160181	0.0185394	0.0173878	0.0136911	0.00913718	0.0304146	0.0223512	0.0194153	0.0146633	0.0331348	0.00573162	0.00124753	0.038134
ω	0.00379239	0.000108285	0.0349327	0.109755	0.168131	0.310013	0.212296	0.0303688	0.000199259	0.0117739	0.0186362	0.00981944	0.0059742	0.00613199	0.00112751	0.0201449	0.0177529	0.00306973	0.00948936	0.0103591	0.000693172	0.0154302
r	0.00294291	9.8654e-05	0.0196157	0.0411482	0.115409	0.321041	0.37047	0.0479852	0.00148638	0.0166149	0.0177695	0.0059233	0.00292706	0.00188022	0.000243319	0.00391279	0.00447963	0.00170839	0.00521361	0.00500347	0.000766293	0.0133603
ω	0.0053983	4.64068e-05	0.00956582	0.0622443	0.22061	0.432398	0.136034	0.0296515	0.000478842	0.0195147	0.023566	0.0052459	0.00189961	0.0015735	0.000176723	0.00516911	0.00656882	0.00189987	0.00887998	0.00676454	0.000799065	0.0215147
p	0.00247577	0.000109914	0.0242787	0.0253274	0.0832377	0.311303	0.432041	0.0508757	0.00203308	0.0166709	0.0216796	0.00385497	0.00421301	0.00246013	0.00018439	0.00247579	0.00246444	0.000840626	0.00290813	0.00167308	0.000443103	0.00844922
á	0.00290906	0.000410994	0.00454385	0.000563149	0.00202355	0.0248822	0.0325211	0.277182	0.510691	0.115649	0.00561355	0.000917613	0.000838474	0.000359211	0.00340428	0.000543637	0.000664153	0.00273962	0.00339507	0.000678685	0.00358705	0.0058835
b	0.000587331	2.27965e-05	0.00103401	0.000753601	0.000873471	0.00218423	0.00735527	0.0409739	0.807812	0.0883126	0.00375454	0.00073997	0.000397429	0.000119218	0.00351874	0.000198926	0.000326794	0.000968224	0.00300435	0.000872721	0.00665859	0.0295312
h	0.000212972	1.74354e-05	0.000631183	0.000491693	0.000853874	0.00917958	0.0187239	0.151366	0.558741	0.181776	0.014441	0.00368574	0.00334932	0.00189059	0.00672393	0.000945587	0.00142626	0.00294584	0.00849722	0.00415861	0.0203129	0.00962874
a	0.00055561	0.000326294	0.0020928	0.0026311	0.00282002	0.00375414	0.0159526	0.096033	0.425832	0.25174	0.0104704	0.00347441	0.00691438	0.000981319	0.0223035	0.00304614	0.00309809	0.0160359	0.020092	0.00642695	0.0177215	0.0876968
t	0.00256756	5.07452e-05	0.00535934	0.00821374	0.0118435	0.0191494	0.0529008	0.156485	0.0207178	0.160545	0.25014	0.0812854	0.0621358	0.0304816	0.00240915	0.0324374	0.0242189	0.0230156	0.019654	0.0077568	0.00110073	0.0275304
s	0.00297673	9.84481e-05	0.00342902	0.000858458	0.00229609	0.0182288	0.0291534	0.165056	0.350433	0.259184	0.0814345	0.00964096	0.0102025	0.0059537	0.00334465	0.00418769	0.00421709	0.011007	0.0113061	0.00400814	0.011656	0.0113283
í	0.00208988	6.20107e-05	0.00158731	0.00458948	0.00248836	0.00364017	0.0127815	0.0493974	0.0289266	0.482121	0.156754	0.038162	0.027707	0.00554585	0.00601786	0.0139748	0.0157289	0.0223115	0.0255945	0.0181749	0.0138033	0.0685408
n	0.00469193	5.4352e-05	0.00340218	0.0296522	0.0147995	0.022276	0.0385123	0.0458171	0.0638121	0.453084	0.110391	0.0277853	0.0423941	0.00803967	0.00451437	0.0122984	0.0101971	0.0189786	0.00867379	0.0031067	0.00758265	0.0699373
a	0.0186409	8.03257e-05	0.00399465	0.0150541	0.0243078	0.0544575	0.0379458	0.0329145	0.0111238	0.346455	0.0844276	0.010872	0.013856	0.00580967	0.00188896	0.00585216	0.0102766	0.00318448	0.0147556	0.0301137	0.0352055	0.238783
a	0.00100193	6.93481e-05	0.00840597	0.0103843	0.00510159	0.00245178	0.00833395	0.0359185	0.0643151	0.175083	0.254405	0.0926264	0.133761	0.0909484	0.00942495	0.0400132	0.0221693	0.0133301	0.00764558	0.00571988	0.00231064	0.01658
y	0.00299529	0.000347686	0.00904424	0.0189931	0.00411327	0.00157395	0.00223848	0.0016142	0.00373432	0.0160143	0.109231	0.139597	0.33855	0.219592	0.0249988	0.0380785	0.0210237	0.0261926	0.00926845	0.0029236	0.00370271	0.00617254
ú	0.000766592	0.000204964	0.00187953	0.0107097	0.00256624	0.000702782	0.000644567	0.000554048	0.00138214	0.024617	0.1575	0.102801	0.380863	0.161287	0.0184312	0.0603789	0.0248062	0.0154406	0.00475549	0.00437008	0.00127908	0.0240592
r	0.000486493	1.01744e-05	0.00322091	0.0227099	0.0280039	0.00763587	0.00851643	0.0148541	0.0019972	0.025588	0.14775	0.108242	0.15122	0.165986	0.102804	0.0819984	0.0380212	0.0107535	0.00866463	0.00605275	0.000567736	0.0649161
u	0.00130108	1.34452e-05	0.00210371	0.0138813	0.0234252	0.040593	0.110999	0.15695	0.0118828	0.0773357	0.127898	0.0944461	0.0786544	0.0711167	0.0133853	0.0541499	0.0422786	0.0129192	0.0092673	0.0188704	0.0188002	0.0197286
á	0.000312602	3.11971e-06	0.0013832	0.00157198	0.00208284	0.00322044	0.0101947	0.0323015	0.0192511	0.0204002	0.111272	0.127734	0.0583002	0.247674	0.0212904	0.168103	0.0994583	0.0303451	0.0120873	0.0205659	0.0040109	0.00843713
m	0.0012547	4.58283e-05	0.00162659	0.00575345	0.00270298	0.000807794	0.00101477	0.000841187	0.000421661	0.00250172	0.028915	0.0888981	0.102701	0.182474	0.0463734	0.114253	0.145056	0.17521	0.0514048	0.0180718	0.017271	0.0124004
i	0.000103577	1.56033e-06	0.00148221	0.0073896	0.0106298	0.0025287	0.00134977	0.000413844	6.24185e-05	0.00181088	0.0215516	0.106854	0.157289	0.119013	0.115291	0.125222	0.194752	0.0150827	0.0496478	0.033758	0.00329282	0.0324741
d	1.54127e-05	1.57616e-06	0.000302225	0.00101848	0.00085777	0.000200815	0.000179905	0.000134105	2.83032e-05	0.000102414	0.00387057	0.02825	0.020336	0.0367672	0.673855	0.0604206	0.050574	0.0694344	0.0265027	0.00329677	0.00034939	0.0235026
z	3.7026e-06	1.72681e-06	0.000188766	0.00231645	0.0011036	0.000102983	4.40565e-05	1.12652e-05	1.70433e-05	0.00020297	0.00383223	0.0532537	0.0672241	0.0427106	0.579164	0.0884483	0.067188	0.038495	0.0343316	0.00246258	0.000735647	0.0181622
