 	certains	plats	qu'	il	prépare	ne	sont	pas	salés	</S>
b	0.267698	0.550017	0.0897673	0.0588851	0.00275411	0.0083934	0.00399742	0.0172938	0.000701344	0.00049262
e	0.215223	0.673474	0.0127966	0.0404853	0.0432954	0.00255117	0.00479223	0.00288262	0.00371694	0.000782397
a	0.113795	0.769387	0.0101954	0.0565275	0.0383491	0.00250866	0.00373973	0.00125263	0.0010968	0.00314792
b	0.0639957	0.452684	0.179266	0.122771	0.0227208	0.0210717	0.0149019	0.0167259	0.00344611	0.102416
i	0.223733	0.340186	0.156857	0.164617	0.0441825	0.0234845	0.0137027	0.00908421	0.000911757	0.0232419
n	0.210366	0.208116	0.195995	0.181081	0.0649682	0.0224164	0.0188221	0.0137111	0.00230728	0.082216
á	0.773913	0.00900169	0.0442762	0.0326996	0.0232692	0.0169742	0.0224525	0.005895	0.0010987	0.0704196
b	0.0845031	0.25958	0.241776	0.248365	0.0726654	0.0292015	0.01854	0.0163631	0.00429371	0.0247122
í	0.118678	0.243509	0.137049	0.184948	0.128757	0.0760628	0.0395962	0.0171936	0.0131297	0.0410767
í	0.118335	0.268615	0.167633	0.211843	0.134123	0.0250431	0.0155706	0.0116663	0.00586585	0.0413066
l	0.00276449	0.0117209	0.167899	0.164971	0.300874	0.120041	0.100163	0.0356171	0.00367381	0.0922759
á	0.00240516	0.00445483	0.037089	0.0590077	0.296378	0.0908191	0.108679	0.0288144	0.00957756	0.362776
m	0.0397744	0.00973683	0.114015	0.101417	0.42568	0.134383	0.0642611	0.0352379	0.00621139	0.0692844
b	0.0373374	0.0050553	0.0792264	0.109215	0.393257	0.209965	0.109899	0.0148393	0.0163336	0.0248718
á	0.0027574	0.00713831	0.0315952	0.0803417	0.642779	0.10202	0.081844	0.0083291	0.0117193	0.0314762
w	0.0103082	0.00767107	0.0494957	0.143263	0.267905	0.297272	0.11542	0.0365922	0.0162337	0.0558392
a	0.0741005	0.0407481	0.141966	0.33108	0.141193	0.162741	0.0636298	0.0180404	0.00540179	0.0211001
í	0.0029294	0.00842137	0.070624	0.099929	0.168138	0.335435	0.135234	0.128763	0.0202134	0.0303127
d	0.00058516	0.00481862	0.0187492	0.0157865	0.0671086	0.192095	0.30306	0.255953	0.067083	0.0747612
í	0.000263038	0.000127893	0.00277299	0.00153422	0.0111953	0.0792401	0.375838	0.206233	0.0105547	0.312241
o	0.000577069	0.000264608	0.00632515	0.0038807	0.0028103	0.0621593	0.12892	0.502192	0.177563	0.115308
k	0.00016821	0.000510085	0.0012419	0.000398903	0.00525697	0.00740028	0.028486	0.133952	0.804439	0.0181468
w	5.12809e-06	0.000198965	0.000259964	0.000206376	0.00312798	0.00754537	0.0174024	0.0495584	0.851204	0.0704914
á	0.000934187	0.00152509	0.00323845	0.00252948	0.00596711	0.0386577	0.0663966	0.125158	0.535951	0.219642
k	0.00122522	0.000902524	0.00837984	0.00923575	0.00314981	0.0388007	0.10328	0.125855	0.263428	0.445743
a	0.000286309	0.00239011	0.00170519	0.000922959	0.00139632	0.0122418	0.0170942	0.0986171	0.774712	0.090634
á	0.000232192	0.000483842	0.000979142	0.000961656	0.00376468	0.0125217	0.0124007	0.0283744	0.584703	0.355579
</S>	0.00334118	0.00897752	0.0265105	0.0274629	0.0235054	0.0506797	0.087479	0.0998224	0.0684363	0.603785
