 	il	a	trouvé	une	astuce	pour	faire	faire	son	travail	par	son	frère	</S>
w	0.772122	0.0786595	0.00466121	0.0238792	0.0281737	0.0269618	0.0255277	0.0162004	0.0112024	0.00297256	0.00248691	0.00685177	0.000195738	0.000104849
a	0.699489	0.0699582	0.00382776	0.0672356	0.0470016	0.052603	0.0206578	0.00746479	0.0140886	0.00164065	0.00257627	0.00796526	0.00543029	6.15036e-05
á	0.169894	0.584018	0.181123	0.0243056	0.00527567	0.00376901	0.00367128	0.00444502	0.00847535	0.00389213	0.00444072	0.00430585	0.000787025	0.00159729
m	0.0242175	0.595663	0.277546	0.0467123	0.00807359	0.00200805	0.00364408	0.00552196	0.00487482	0.0109888	0.00537159	0.00332028	0.0029319	0.00912608
i	0.0183955	0.359813	0.296663	0.11579	0.0430703	0.0359438	0.0360504	0.015162	0.0159972	0.0163069	0.0145897	0.00492493	0.00565955	0.0216341
d	0.00386793	0.135569	0.717241	0.105074	0.0193819	0.00224092	0.00234962	0.00212417	0.00154507	0.00232481	0.00154546	0.000404527	0.00225536	0.00407654
i	0.000195916	0.0315271	0.8372	0.0852058	0.0192692	0.000803005	0.00112356	0.00115198	0.00102416	0.0032984	0.00143082	0.000221797	0.00367282	0.0138749
á	0.00150581	0.0393554	0.407767	0.424619	0.0892368	0.00365265	0.00210867	0.00192529	0.00137004	0.00389443	0.00156196	0.000308665	0.00603018	0.0166645
a	0.0148044	0.091026	0.0973476	0.402965	0.26305	0.0604373	0.0316408	0.0137382	0.00802305	0.00338814	0.00418543	0.00409524	0.00205298	0.00324598
y	0.00778692	0.053557	0.0347597	0.338982	0.278	0.137992	0.0819215	0.0281977	0.0149409	0.00702444	0.0089133	0.00290149	0.0024487	0.00257363
έ	0.000952751	0.0305915	0.127685	0.171041	0.477067	0.0402301	0.0448048	0.03033	0.0256998	0.0171795	0.01027	0.00476269	0.00704052	0.012345
l	0.000556396	0.00863731	0.0262427	0.0700928	0.340214	0.119521	0.066358	0.0321241	0.052785	0.0582062	0.0364884	0.0138786	0.0565887	0.118307
i	0.00327225	0.0222188	0.0343271	0.152307	0.310748	0.150055	0.10984	0.0570653	0.042374	0.0122889	0.0365876	0.017999	0.00265063	0.0482659
m	0.00200375	0.0141418	0.0167775	0.0836741	0.199126	0.318622	0.166917	0.0704334	0.0498342	0.0185257	0.0161712	0.0084499	0.00248966	0.0328339
á	0.00441946	0.00178919	0.00199067	0.0138666	0.0562497	0.461726	0.0798972	0.0613094	0.141547	0.0250266	0.0192072	0.0085566	0.00174452	0.12267
i	0.0181871	0.00535201	0.00296663	0.0122713	0.0474545	0.221449	0.237162	0.168585	0.139194	0.080043	0.0214053	0.0121523	0.0176927	0.0160854
p	0.00148794	0.0027968	0.00355393	0.0175387	0.0641538	0.0479539	0.166102	0.293086	0.153104	0.152547	0.0298277	0.00414487	0.0509465	0.0127571
