 	pourquoi	cet	enfant	s'	agite	comme	cela	</S>
m	0.623523	0.355997	0.0145051	0.00185105	0.000574127	0.00312917	0.000356094	6.45581e-05
w	0.0700059	0.123737	0.782708	0.0114991	9.56247e-05	0.00633887	0.000240452	0.00537482
á	0.0463666	0.243729	0.708265	0.000943957	2.23386e-05	0.000360686	0.000264749	4.72501e-05
n	0.316481	0.293152	0.32035	0.033254	0.00176681	0.00671914	0.00199737	0.0262801
a	0.157923	0.246756	0.305446	0.076713	0.0125983	0.00783838	0.0029114	0.189813
w	0.593369	0.252579	0.0493221	0.0365091	0.0104514	0.0264604	0.00897907	0.0223295
ó	0.303822	0.357407	0.0319031	0.0873104	0.0448807	0.0648592	0.0364416	0.0733762
l	0.110875	0.264977	0.259197	0.198117	0.0136628	0.046136	0.0058609	0.101173
á	0.100308	0.0381376	0.0442312	0.128261	0.0430259	0.219571	0.037363	0.389103
a	0.366487	0.0841248	0.13501	0.227799	0.0404121	0.0524634	0.0210087	0.0726949
l	0.00781393	0.0195089	0.0723339	0.357454	0.523554	0.00373802	0.0024882	0.0131097
ó	0.00857137	0.0118783	0.00853707	0.358954	0.561909	0.00921613	0.00298933	0.0379443
b	0.00379331	0.0220707	0.0116348	0.482205	0.423041	0.0256091	0.00270408	0.028942
h	0.00729771	0.00979896	0.00731789	0.361944	0.525838	0.055753	0.00906149	0.0229887
ó	0.00323975	0.00518368	0.00538473	0.0912542	0.448076	0.200867	0.0668954	0.179099
l	0.00271656	0.00304707	0.0239458	0.244627	0.297525	0.208964	0.0205644	0.19861
á	0.00182295	0.00147456	0.00537803	0.0595378	0.271187	0.202365	0.0397451	0.41849
b	0.0147592	0.0117029	0.0148978	0.0364782	0.0609197	0.623157	0.210561	0.0275242
ó	0.0227415	0.0104442	0.0221213	0.030854	0.0774597	0.166028	0.6573	0.0130508
t	0.000427485	0.00198296	0.0042379	0.0665167	0.174032	0.280963	0.42861	0.0432296
s	0.00326568	0.00267172	0.000898595	0.0108301	0.288734	0.17217	0.354525	0.166905
í	0.000104234	0.000347434	0.00046124	0.0161238	0.3961	0.140892	0.223481	0.22249
n	0.00114934	0.00130418	0.00144985	0.0188907	0.0518893	0.160017	0.250561	0.514738
a	0.00473595	0.00406201	0.00597371	0.0118292	0.012846	0.161681	0.372319	0.426554
n	0.00162719	0.00139719	0.000744295	0.00772371	0.01141	0.222298	0.267214	0.487586
d	0.0228024	0.0116948	0.00800013	0.0194616	0.00563204	0.327137	0.310212	0.29506
e	0.0059974	0.00233617	0.00341463	0.00209648	0.0027282	0.130094	0.177884	0.67545
</S>	0.000101654	0.000175441	0.000266672	0.0027572	0.00660758	0.1576	0.225269	0.607223
