 	cette	femme	a	abandonné	son	foyer	conjugal	parce	que	son	mari	est	éhonté	</S>
o	0.913589	0.0418033	0.00707756	0.00253731	0.00860997	0.00026233	0.00595449	0.00750582	0.00766802	0.00344847	9.32039e-05	0.000353001	0.000953502	0.000144576
y	0.123236	0.858136	0.00777706	0.00413069	0.000681477	0.00039098	0.000820498	0.000521367	0.000633394	0.000473978	0.000242099	0.000875657	0.00103441	0.00104659
ú	0.891385	0.102654	0.000602853	0.00328053	0.000441854	0.000507789	0.000254995	0.000130248	9.3597e-05	9.76989e-05	0.000426534	5.14632e-05	1.25671e-05	6.00618e-05
r	0.957655	0.0141995	0.00105678	0.00187623	0.000743701	0.000360052	0.00988449	0.00246068	0.00185035	0.00110943	0.00198912	0.00112112	8.42133e-05	0.00560955
u	0.803015	0.0382654	0.0292025	0.0234639	0.0257268	0.0026261	0.0214859	0.0157195	0.0127447	0.0111897	0.00196291	0.00290979	0.000234747	0.0114534
w	0.245667	0.10333	0.329835	0.0487527	0.0609396	0.0228299	0.0222208	0.0293426	0.0314032	0.0282676	0.0165133	0.0192716	0.0122291	0.0293978
ó	0.210769	0.00991088	0.317699	0.0647889	0.0611194	0.0262982	0.0463394	0.0533164	0.0557714	0.0610681	0.0163159	0.0247236	0.00354327	0.0483357
á	0.0157923	0.00212472	0.759418	0.0757408	0.0495938	0.0135403	0.00317186	0.013579	0.0149861	0.020323	0.0125347	0.00842902	0.00025373	0.0105124
m	0.00188419	0.000657779	0.103971	0.69883	0.0200352	0.0995384	0.00693199	0.0027411	0.00193345	0.00238503	0.0270169	0.00643468	0.00206289	0.0255774
i	0.0456124	0.00411225	0.302875	0.322899	0.0922854	0.165268	0.0180215	0.00585339	0.00234264	0.00436004	0.0126839	0.00458464	0.000396241	0.0187048
d	0.00632523	0.000561387	0.0227006	0.758456	0.0244258	0.163014	0.00446987	0.000904591	0.000690704	0.000756672	0.00727351	0.00153247	0.000137875	0.00875077
u	0.00194022	4.32045e-05	0.0143309	0.489593	0.0236601	0.398651	0.015035	0.0024935	0.00140124	0.00121289	0.0203088	0.00362912	0.000228954	0.0274714
m	0.0312447	0.000611676	0.145692	0.526099	0.125366	0.0928218	0.0372852	0.0046944	0.0025394	0.00212356	0.0057955	0.00750584	0.00047153	0.0177498
á	0.0176087	0.000150866	0.0871214	0.158147	0.406777	0.157043	0.0893986	0.0360202	0.0202023	0.0109397	0.00165086	0.00752784	7.59372e-05	0.00733753
n	0.00613178	0.00029932	0.0136528	0.0759582	0.413662	0.18189	0.242203	0.0307055	0.0128197	0.00936808	0.00463115	0.00406319	0.00147155	0.00314371
d	0.0603659	0.000142055	0.0031525	0.00501771	0.10385	0.00258926	0.7851	0.017056	0.00938005	0.00700203	0.000366183	0.00152093	0.000464757	0.00399287
é	0.0338507	0.0145157	0.00371676	0.0163283	0.211249	0.0166189	0.635955	0.0211584	0.00891457	0.00907072	0.00165154	0.0030579	0.00130778	0.0226051
e	0.0094007	0.000428118	0.0518718	0.153275	0.168415	0.0531124	0.0958628	0.126727	0.0876067	0.0975708	0.0368197	0.0193939	0.003452	0.0960642
t	0.00209059	1.96557e-05	0.0127392	0.0224584	0.239879	0.0935818	0.104695	0.238481	0.166519	0.074947	0.0112755	0.00731251	0.00686642	0.0191356
s	0.0146483	2.92303e-05	0.00377808	0.0297553	0.0488836	0.181174	0.043766	0.264621	0.212725	0.100152	0.0216113	0.0120588	0.00973007	0.0570679
í	0.00180435	6.06232e-06	0.000883308	0.0523558	0.0345358	0.239509	0.049866	0.281404	0.176554	0.0650742	0.0354167	0.0196675	0.0123141	0.0306086
n	0.0193706	0.000570059	0.0165669	0.0121592	0.0724345	0.0779533	0.340186	0.270945	0.102581	0.0478828	0.0147624	0.00405089	0.00516402	0.0153731
a	0.00337345	7.21875e-05	0.00889492	0.0074804	0.0184277	0.0165349	0.451376	0.235657	0.104087	0.0402665	0.00546006	0.0116997	0.0024278	0.0942422
o	0.000832535	2.44091e-05	0.0102227	0.0105599	0.0619534	0.0641253	0.0964978	0.279019	0.233194	0.145195	0.0597354	0.0206204	0.00193474	0.0160856
l	0.000228971	1.34103e-05	0.0011965	0.0159244	0.00281507	0.0575486	0.0112277	0.0706042	0.0660129	0.0600456	0.673596	0.0133323	0.00568339	0.0217712
ó	0.000287465	4.11106e-05	0.00456338	0.0320421	0.00265945	0.0235968	0.0129242	0.0404975	0.0314719	0.0277115	0.705086	0.00963252	0.00523203	0.104254
m	0.000437387	9.88754e-05	0.00489632	0.0112805	0.0152019	0.0283196	0.0155819	0.0575313	0.0619252	0.0871412	0.661827	0.00881894	0.00394619	0.0429937
i	0.000150121	9.10431e-06	0.000344051	0.00296072	0.00911566	0.0475961	0.0538033	0.0762893	0.102262	0.141014	0.466172	0.0555861	0.00144314	0.0432534
y	0.000711975	1.80604e-05	0.00215829	0.00301529	0.0158767	0.0103659	0.0182084	0.112539	0.181458	0.288581	0.232807	0.0565935	0.0108201	0.0668481
a	0.00499443	3.6378e-05	0.00880721	0.0142492	0.0176833	0.00896731	0.0230083	0.0910316	0.191833	0.246891	0.289875	0.0561533	0.0005927	0.0458776
w	0.00176087	0.000111105	0.000966321	0.000862819	0.0102761	0.00071042	0.00954261	0.114616	0.284774	0.348598	0.141853	0.0576756	0.000943897	0.0273086
a	0.00272016	5.21909e-05	0.00149696	0.00486076	0.0062633	0.00320427	0.0108156	0.198127	0.307931	0.236633	0.123342	0.0577348	0.00828735	0.0385316
a	0.000785468	2.62813e-05	0.000616232	0.000559076	0.004058	0.00119875	0.00828756	0.073894	0.206472	0.354258	0.222133	0.0682617	0.00748693	0.0519634
d	0.000163318	6.12056e-06	0.00186291	0.00619861	0.00227976	0.00263033	0.00318744	0.0208813	0.0488892	0.0829181	0.452175	0.219715	0.0273752	0.131718
í	0.000131566	7.93655e-06	0.000906022	0.00195626	0.000760608	0.00175311	0.00585552	0.0224427	0.0380955	0.0489982	0.290032	0.157096	0.00171222	0.430252
e	0.000402065	9.91795e-06	0.000553751	0.000449511	0.00138685	0.000888754	0.00832158	0.0288338	0.0645263	0.0760246	0.183084	0.260483	0.0472154	0.327821
b	0.000391786	0.000152645	0.00107462	0.00296717	0.00148032	0.00305018	0.0056614	0.00931241	0.0134876	0.0255721	0.149362	0.156664	0.203279	0.427545
a	2.40252e-05	2.31381e-05	0.000908041	0.00082273	0.000294763	0.000276047	0.00325014	0.0117282	0.00815884	0.0123369	0.052858	0.0306354	0.838723	0.0399607
