 	le	bébé	pleure	désespérément	</S>
o	0.954992	0.0449011	4.62542e-05	1.93499e-05	4.0986e-05
n	0.101841	0.892549	0.00404263	0.000610614	0.000956439
y	0.0338269	0.903823	0.0425737	0.00265524	0.0171207
á	0.0374003	0.959299	0.00252934	0.000133028	0.000638695
m	0.26815	0.407663	0.111834	0.0027048	0.209647
á	0.389311	0.586545	0.0139516	0.000728347	0.00946348
b	0.205835	0.121844	0.593023	0.016167	0.0631309
o	0.446561	0.043019	0.329736	0.00868274	0.172001
m	0.233395	0.0205198	0.69142	0.0170694	0.037596
ó	0.367015	0.204732	0.36285	0.0120051	0.0533979
o	0.557238	0.0791333	0.274315	0.0326265	0.0566876
l	0.00459673	0.00627945	0.96352	0.00894675	0.0166573
e	0.0111248	0.0173789	0.920123	0.00771797	0.0436557
á	0.0336967	0.0106993	0.705953	0.0113169	0.238335
y	0.0290079	0.0077749	0.0298877	0.760804	0.172525
é	0.00378841	0.00314053	0.0113043	0.685453	0.296314
l	0.0068373	0.00240874	0.0148829	0.34426	0.631611
a	0.00152493	0.00171424	0.0394731	0.303972	0.653316
y	0.0014024	0.000107517	0.0164855	0.533142	0.448862
é	0.00209038	0.000994263	0.00399134	0.885548	0.107376
l	0.00797232	0.00105481	0.00657854	0.568774	0.41562
a	0.00277518	0.00231865	0.0397917	0.28552	0.669594
</S>	0.000877025	0.000103729	0.00840112	0.697216	0.293402
