 	les	gens	vont	sous	l'	ombre	pour	se	mettre	à	l'	abri	du	soleil	</S>
b	0.70261	0.269347	0.0137175	0.00429807	0.00404503	0.00121739	0.00167745	0.000973119	0.00101329	0.000329324	0.000277077	0.000136563	0.000332367	1.87358e-05	6.68311e-06
a	0.127159	0.813668	0.0243942	0.00176246	0.00347791	0.000339885	0.00126776	0.00229417	0.0217283	0.000924304	0.000781834	0.000144886	0.000560832	0.00141786	7.84276e-05
r	0.106553	0.826474	0.0320001	0.00241417	0.00109056	0.000290082	0.00277026	0.00549311	0.0200651	0.00111481	0.000538466	0.000130223	0.000126697	0.000649031	0.000291162
e	0.812291	0.0572086	0.0477513	0.0211131	0.0162351	0.00369766	0.00427493	0.0069232	0.0123305	0.00241963	0.00292342	0.000423431	0.000342048	0.000581122	0.0114854
b	0.490422	0.061713	0.27139	0.0449162	0.0425335	0.0126684	0.0211221	0.00958846	0.00254697	0.0111511	0.00946378	0.00381145	0.00694293	0.00182034	0.00990986
á	0.0380022	0.0169986	0.498223	0.172389	0.0847475	0.013436	0.0214305	0.0254286	0.0149936	0.03241	0.0314055	0.00563496	0.012483	0.00580383	0.0266128
a	0.125772	0.0540091	0.548875	0.0674886	0.036676	0.0119705	0.0250168	0.0205753	0.0180115	0.0209572	0.0154663	0.00522718	0.00858063	0.0079733	0.0334005
s	0.0152306	0.00682694	0.2756	0.360989	0.140681	0.100845	0.0125877	0.0145484	0.00754518	0.0150846	0.0117901	0.0120016	0.00268161	0.00268683	0.0209008
έ	0.00267156	0.000548088	0.0519493	0.290595	0.166298	0.359229	0.0112171	0.0220791	0.00650422	0.00975405	0.00807396	0.0127382	0.00109692	0.00207322	0.0551713
l	0.00389466	0.000144027	0.0504526	0.317898	0.119361	0.162018	0.0393143	0.0242674	0.00325978	0.0219566	0.0268069	0.014638	0.00738325	0.00608764	0.202518
έ	0.0791559	0.0237717	0.245008	0.302268	0.169128	0.0410801	0.0110377	0.0242894	0.0112299	0.0183333	0.0351375	0.00521537	0.00918211	0.00168493	0.0234778
έ	0.015448	0.0011134	0.09671	0.464284	0.240291	0.0838167	0.0320114	0.0111398	0.00600311	0.00919121	0.0102662	0.00306972	0.00834961	0.00280355	0.0155024
s	0.0142508	0.00377969	0.0368846	0.273727	0.265934	0.208727	0.0602865	0.0503983	0.0354325	0.0170849	0.0124238	0.00625757	0.00439507	0.00578408	0.00463356
é	0.000416048	1.50799e-05	0.00373885	0.259578	0.179821	0.442869	0.0604758	0.0193811	0.00195789	0.00790629	0.00630999	0.00192141	0.0019549	0.00454765	0.00910682
y	0.00108315	4.72496e-05	0.0026089	0.121812	0.157908	0.35129	0.168433	0.0557033	0.01086	0.0168207	0.0118085	0.00607414	0.00651401	0.0210952	0.0679421
w	0.00118401	8.39238e-05	0.00485281	0.159239	0.14625	0.538958	0.0788743	0.0261125	0.00263842	0.00716122	0.00710408	0.00306056	0.00269577	0.00652222	0.0152631
ω	5.14114e-05	7.72826e-06	0.000183407	0.0154043	0.0464803	0.866258	0.0290929	0.015214	0.00230726	0.00271201	0.00253715	0.00151997	0.0010449	0.0102511	0.00693515
ω	0.00023897	0.000105303	0.00251324	0.0284825	0.0726497	0.371193	0.0930014	0.0979868	0.0461679	0.0478282	0.0541312	0.100722	0.0382296	0.00254657	0.0442031
m	0.00211038	0.000399424	0.00754661	0.0696754	0.0557139	0.0414571	0.283644	0.162528	0.112799	0.140029	0.0841782	0.0165533	0.0122796	0.00257902	0.00850697
í	0.00390363	0.000129314	0.00321623	0.0335228	0.0500019	0.0581152	0.19468	0.0600267	0.0352687	0.165073	0.0951066	0.0170865	0.121046	0.0842242	0.0785994
m	0.00409863	0.000373634	0.00476327	0.0291364	0.0240508	0.0115677	0.10961	0.170819	0.163586	0.236519	0.103869	0.0880967	0.0166901	0.0191193	0.0177006
í	0.0024231	5.6833e-05	0.000947039	0.0086405	0.021061	0.0232961	0.366161	0.123667	0.0816761	0.159516	0.0577846	0.00887358	0.0183275	0.101975	0.025594
d	0.00164964	0.000225599	0.00344292	0.0180174	0.0233354	0.00597162	0.0708774	0.21557	0.176408	0.265033	0.107319	0.0650629	0.0119104	0.0201942	0.0149832
u	0.000701072	2.40346e-05	0.000547443	0.0117401	0.00894911	0.00711083	0.079593	0.201504	0.0965608	0.23457	0.126023	0.0806423	0.0135164	0.0181836	0.120335
m	0.00051709	1.10035e-05	0.00069116	0.0241065	0.011941	0.012676	0.0892659	0.184347	0.0849832	0.20696	0.198207	0.128156	0.0221211	0.0084537	0.0275634
a	0.00136204	7.62834e-05	0.00120826	0.0151479	0.0169326	0.0195805	0.193086	0.0780534	0.0269355	0.192482	0.169142	0.0411706	0.107129	0.041651	0.0960428
l	0.000509259	2.1572e-05	0.00102701	0.00617388	0.00339733	0.00215587	0.0512175	0.0319485	0.0127816	0.157527	0.214765	0.182759	0.162039	0.0205422	0.153135
á	0.00123095	8.7667e-05	0.00388555	0.0320178	0.00858719	0.00464781	0.0205105	0.0279096	0.00439662	0.105214	0.182141	0.217524	0.103274	0.016494	0.27208
m	0.00233316	0.000169106	0.00458404	0.0240724	0.0176176	0.00196916	0.0307535	0.0231841	0.00414123	0.0558469	0.131176	0.119734	0.248173	0.279435	0.0568109
w	0.000704667	1.51228e-05	0.000282098	0.00112994	0.0021846	0.0018423	0.0153822	0.00568594	0.00133371	0.0142108	0.00973068	0.00937929	0.0404351	0.868766	0.028918
