 	lui	aussi	est	malade	</S>
w	0.538904	0.437945	0.019784	0.00312202	0.000244906
a	0.55228	0.408554	0.0323924	0.00610757	0.000666004
b	0.359064	0.532802	0.101533	0.00189569	0.00470463
h	0.156882	0.78184	0.0304625	0.00183763	0.0289779
í	0.0513466	0.699831	0.0162211	0.00958365	0.223017
a	0.276485	0.302876	0.313814	0.034534	0.0722915
d	0.0345599	0.0876305	0.798919	0.00916898	0.0697215
i	0.0294734	0.0217349	0.427342	0.00352314	0.517926
n	0.0822154	0.0164067	0.46331	0.0907367	0.347331
d	0.159779	0.0457015	0.164592	0.0651354	0.564792
z	0.0562185	0.00900894	0.0996228	0.0519651	0.783185
ó	0.0176642	0.034254	0.0376299	0.464722	0.44573
r	0.0114938	0.0233057	0.0151765	0.591838	0.358187
o	0.0379568	0.052083	0.0307329	0.459694	0.419533
l	0.0192004	0.00745885	0.120388	0.103149	0.749803
a	0.0613578	0.029859	0.244411	0.131179	0.533193
b	0.0627471	0.0147879	0.403246	0.150675	0.368544
v	0.289685	0.255065	0.319721	0.0730545	0.0624742
u	0.263888	0.128664	0.103377	0.415826	0.0882463
a	0.00622368	0.0132363	0.0476415	0.677531	0.255367
</S>	0.00667909	0.00905848	0.119194	0.113118	0.751951
