 	il	est	un	nécessiteux	comme	moi	</S>
w	0.800577	0.0699616	0.0366807	0.0591238	0.0255782	0.00723638	0.000842294
a	0.697202	0.0286906	0.0332125	0.107376	0.0819591	0.051262	0.000297381
l	0.394401	0.350957	0.0785609	0.00478293	0.119444	0.0199007	0.0319534
a	0.125256	0.102392	0.0762547	0.0274609	0.103104	0.300364	0.265169
n	0.157324	0.11869	0.112377	0.00695894	0.151925	0.198684	0.254041
g	0.0583282	0.103113	0.0740511	0.0211125	0.0350328	0.626854	0.0815086
á	0.053015	0.215142	0.125297	0.00489846	0.0183968	0.528945	0.0543059
a	0.178978	0.213534	0.197725	0.0458862	0.223078	0.0555525	0.0852462
d	0.0541939	0.344932	0.346891	0.0775559	0.123561	0.0110501	0.0418156
í	0.0103156	0.395011	0.40288	0.0352031	0.041567	0.00333343	0.11169
o	0.0142969	0.151718	0.211334	0.272989	0.247003	0.0116145	0.0910451
b	0.00110584	0.0794527	0.29584	0.279429	0.173523	0.0867994	0.08385
i	0.00266378	0.0411694	0.266415	0.55838	0.0343258	0.0190755	0.077971
a	0.000705753	0.0288679	0.338187	0.326025	0.0524425	0.0109261	0.242846
o	0.00312642	0.00877222	0.0732036	0.0796519	0.620474	0.0833768	0.131395
k	0.0010635	0.0249782	0.118352	0.110974	0.315329	0.281489	0.147814
á	0.00188039	0.0165855	0.19441	0.278172	0.203668	0.130534	0.174751
m	0.00360964	0.0149669	0.0529921	0.316891	0.158531	0.0295705	0.423439
b	0.00166073	0.0048883	0.0682917	0.16449	0.234383	0.333977	0.192309
i	0.00606928	0.00757328	0.07686	0.0973133	0.0610416	0.14613	0.605012
</S>	0.00687363	0.00707522	0.0236731	0.0230456	0.265005	0.0651672	0.609161
