 	mon	enfant	qui	était	très	faible	est	devenu	fort	</S>
m	0.564773	0.378131	0.0153441	0.00649791	0.0133752	0.0159499	0.00361607	0.00195212	0.000253715	0.000107351
w	0.00511856	0.978317	0.00895195	0.00191741	0.00108174	0.00243867	0.000714758	0.000584607	2.48904e-05	0.000850466
á	0.000396893	0.99926	9.47044e-05	6.89228e-05	2.74032e-05	0.00014557	4.26198e-06	1.13411e-06	9.15305e-07	4.46617e-07
n	0.116789	0.876159	0.00334067	0.000706574	0.000686303	0.000928507	0.000414662	0.000134971	1.74353e-05	0.000822765
a	0.209294	0.703752	0.0330888	0.0132159	0.00498267	0.0115302	0.00693484	0.00165322	0.000651898	0.0148968
y	0.568623	0.0400717	0.289168	0.0368631	0.0182056	0.00493061	0.0124057	0.0180798	0.00447465	0.00717715
a	0.380121	0.016551	0.404149	0.131427	0.0249396	0.00894469	0.0133208	0.00466566	0.00632573	0.00955618
n	0.903238	0.00701183	0.0675128	0.0126642	0.00395662	0.00213886	0.000908771	0.000381214	0.000426693	0.00176083
g	0.975294	0.00204997	0.0195108	0.00105015	0.000889772	0.000484148	0.000201668	0.000177081	3.67735e-05	0.000306154
á	0.477084	0.113159	0.250506	0.0187654	0.0238287	0.0745713	0.00438717	0.00158778	0.00243139	0.03368
y	0.030663	0.00165452	0.645299	0.118951	0.108031	0.0426569	0.0224571	0.0120705	0.00299863	0.015218
a	0.599079	0.00440323	0.195985	0.123906	0.0314247	0.0238238	0.0074668	0.00179767	0.00324922	0.00886438
a	0.436237	0.00121114	0.168917	0.184643	0.132369	0.0449645	0.0111504	0.00233288	0.00485457	0.0133208
d	0.0168176	0.000393623	0.0972815	0.489092	0.272461	0.0383757	0.0215412	0.0266118	0.00495899	0.0324658
z	0.0258337	0.000389452	0.0279507	0.756389	0.0912191	0.0190349	0.0141677	0.0103636	0.00658499	0.0480667
á	0.160616	0.00633056	0.0131241	0.662227	0.0699641	0.0750204	0.00457622	0.000689947	0.00317135	0.00427976
l	0.0579813	0.000276165	0.0430874	0.304957	0.320327	0.0615873	0.04002	0.0457425	0.020889	0.105133
o	0.00295669	0.00020174	0.0436007	0.103274	0.357077	0.132774	0.0867497	0.0409409	0.00631166	0.226113
n	0.00379022	0.000290333	0.0147558	0.0818892	0.414449	0.398114	0.0248047	0.00316657	0.0364683	0.022271
g	0.00387236	0.000799962	0.0206497	0.0215132	0.190714	0.713291	0.0173105	0.00156215	0.000911111	0.0293769
w	0.00267542	0.00104478	0.015277	0.00993113	0.0792056	0.866285	0.0142477	0.000985207	0.000850048	0.00949779
ε	0.000313943	0.000524034	0.00572388	0.0128262	0.114605	0.746476	0.041185	0.00344487	0.0022866	0.0726144
n	0.000532481	1.78393e-05	0.00822802	0.0190631	0.186171	0.280254	0.248234	0.0444785	0.00532359	0.207697
d	0.00477276	0.000476071	0.00468084	0.0159851	0.22278	0.591129	0.0835976	0.0135772	0.00301177	0.0599903
z	0.0054499	0.000343669	0.00315738	0.0139222	0.145287	0.668338	0.055165	0.00623348	0.00506162	0.0970418
ε	0.0162251	0.000332763	0.00589221	0.00886178	0.0548673	0.739035	0.0482628	0.00267495	0.00751815	0.11633
á	0.00180671	3.3093e-05	0.00735834	0.0151064	0.121542	0.157599	0.480901	0.168708	0.0033273	0.0436183
m	0.00182368	3.12544e-05	0.00931626	0.0265809	0.0171435	0.00368321	0.163423	0.605938	0.136062	0.0359987
i	0.000285784	0.000107891	0.00659575	0.0138615	0.0116056	0.00398352	0.145978	0.584198	0.0878585	0.145525
b	3.3834e-05	6.02827e-05	0.00184221	0.00948716	0.0105122	0.00645813	0.0674727	0.482487	0.265792	0.155855
h	4.35638e-06	0.00027106	0.00273501	0.0214015	0.0258272	0.00518097	0.0906748	0.478516	0.246527	0.128862
á	7.62406e-06	4.59595e-05	0.00114886	0.0172388	0.0183735	0.00726625	0.0704516	0.371703	0.283968	0.229796
m	2.62501e-05	1.41907e-05	0.000197879	0.00269308	0.00261398	0.00273905	0.0400501	0.0657483	0.682593	0.203324
a	0.000442637	0.000414788	0.0016657	0.00306721	0.0130075	0.00787316	0.160895	0.277988	0.107447	0.427199
</S>	0.00107124	4.48028e-05	0.0021756	0.00407371	0.00754805	0.00363191	0.0503888	0.126607	0.239105	0.565354
