 	le	vin	du	palmier	à	huile	que	j'	ai	bu	hier	m'	a	énivré	</S>
m	0.747848	0.102329	0.0442751	0.0454586	0.0108494	0.0180324	0.0118738	0.00756771	0.00928052	0.000441475	1.29319e-05	0.00150377	0.000491538	9.81465e-06	2.5221e-05
b	0.14865	0.393211	0.101832	0.188432	0.055454	0.0367003	0.00638431	0.00822991	0.0151181	0.00259545	0.000371477	0.00967141	0.00375873	0.000223404	0.0293679
o	0.109254	0.622364	0.0876153	0.0612541	0.0590884	0.020733	0.00789347	0.0183498	0.00844424	0.00328768	5.8005e-05	0.00069662	0.000155669	2.91803e-05	0.000776759
l	0.0303677	0.779401	0.143778	0.00436044	0.012822	0.00292742	0.00783092	0.00408882	0.00279996	0.00125268	9.4217e-05	0.000699268	0.000436281	0.00123472	0.00790694
ó	0.148785	0.513727	0.159268	0.0148175	0.0173139	0.0110292	0.0149293	0.00679677	0.00841617	0.0147415	0.005987	0.00417427	0.00377341	0.00424537	0.0719962
y	0.151481	0.0153149	0.39413	0.137949	0.065568	0.0397334	0.0445055	0.0259684	0.0342156	0.00408031	0.00480575	0.0157631	0.018007	0.00286923	0.0456093
e	0.321348	0.0225884	0.308136	0.0136918	0.0750276	0.0102822	0.0623615	0.0308989	0.0341786	0.0203604	0.0307	0.0274664	0.0209456	0.000658464	0.021356
e	0.145598	0.00368685	0.290807	0.0139802	0.174669	0.0170153	0.160051	0.0586353	0.0315249	0.0227445	0.0116001	0.0215959	0.00698932	0.00152018	0.0395826
n	0.0132574	0.0277674	0.122091	0.277099	0.148633	0.0898049	0.0453595	0.0366058	0.0330138	0.118325	0.0295846	0.00476437	0.0164604	0.0141381	0.0230948
y	0.0138866	0.0077858	0.172571	0.0580109	0.195515	0.0275355	0.0449739	0.210682	0.0718998	0.161789	0.000708396	0.00582258	0.00846118	0.00367468	0.016684
w	0.00309135	0.00120887	0.0900332	0.00653711	0.0826065	0.0119663	0.0419615	0.160034	0.0619539	0.516509	0.00178356	0.00596422	0.0036649	0.00244069	0.0102449
é	0.00507545	0.0028194	0.146572	0.003217	0.0733592	0.0108835	0.0920958	0.111517	0.0750058	0.306002	0.00324284	0.0200127	0.0194879	0.00701347	0.123696
n	0.0053906	0.00252147	0.153917	0.060599	0.119192	0.240748	0.202859	0.0313112	0.0318285	0.0289812	0.00419673	0.00426295	0.0119528	0.0318844	0.0703552
g	0.00715171	0.00189742	0.0659499	0.0114822	0.146972	0.0536744	0.16595	0.110887	0.0537032	0.146944	0.00249702	0.00813044	0.00394553	0.00860445	0.21221
á	0.00584715	0.0025347	0.0368212	0.00542407	0.0903804	0.0170921	0.107834	0.194412	0.064184	0.365706	0.00281422	0.0116603	0.0022474	0.00677552	0.0862672
