 	ce	malade	a	rendu	l'	âme	</S>
o	0.549252	0.359008	0.0728853	0.0121619	0.00498253	0.00065684	0.00105378
k	0.0199088	0.959246	0.0103509	0.00347145	0.00164085	0.00371715	0.00166519
ω	0.00746657	0.970586	0.00211673	0.00303914	0.00152239	0.010111	0.00515796
n	0.00133006	0.996481	0.000636645	0.000146749	0.000489561	0.000760753	0.000155175
í	0.128945	0.805379	0.014445	0.0146929	0.00340112	0.00393318	0.0292044
m	0.404832	0.0665044	0.471512	0.017838	0.010389	0.00273188	0.0261928
ú	0.812968	0.00697862	0.156165	0.00527726	0.00891997	0.00032619	0.0093651
u	0.12812	0.00619725	0.635071	0.0982108	0.0419413	0.00281543	0.0876437
ó	0.159213	0.0351254	0.436175	0.112654	0.083833	0.0247568	0.148243
m	0.0477758	0.00505498	0.193394	0.33252	0.350524	0.0551251	0.0156055
i	0.143564	0.000926087	0.067482	0.264007	0.349336	0.0711179	0.103567
s	0.0137877	0.00291702	0.0223645	0.603857	0.130267	0.185491	0.041316
á	0.00414796	0.00162271	0.00178946	0.734217	0.136754	0.100494	0.020975
á	0.0131051	0.000118825	0.0184337	0.517689	0.184524	0.0494225	0.216707
o	0.00998105	0.00203112	0.0498651	0.257821	0.471652	0.169363	0.0392874
k	0.00237733	0.00187293	0.00135861	0.0548294	0.0410231	0.883995	0.0145434
y	0.000508639	0.0215409	0.0022028	0.0335092	0.0592361	0.830889	0.0521133
é	0.0112756	0.0162231	0.0156051	0.175084	0.0920467	0.564309	0.125456
m	0.00322937	0.00224313	0.00731395	0.18422	0.197835	0.388478	0.216681
i	0.0148895	0.00182138	0.0051954	0.0574916	0.102045	0.363343	0.455214
n	0.0134459	0.00157719	0.00956833	0.0589942	0.0921811	0.121229	0.703004
a	0.00517118	0.00511507	0.00369007	0.0918843	0.0597848	0.240353	0.594002
</S>	0.000942113	0.000678065	0.00446733	0.0305809	0.0898196	0.0671824	0.806329
