 	l'	oseille	pousse	avec	la	pluie	</S>
a	0.424272	0.499672	0.0476792	0.00715352	0.0191234	0.00138812	0.000711133
b	0.132339	0.724841	0.0365694	0.0311374	0.0215638	0.0397116	0.0138382
v	0.016268	0.938048	0.00642074	0.0127325	0.00376499	0.0211354	0.0016302
i	0.0620839	0.910259	0.00496121	0.0107876	0.00466474	0.00578186	0.0014618
á	0.129324	0.0904468	0.0505278	0.0709274	0.0705717	0.0427187	0.545484
m	0.272787	0.0718322	0.40796	0.0694105	0.0614645	0.00586859	0.110677
á	0.113098	0.0144607	0.366761	0.232973	0.0643842	0.0288068	0.179516
a	0.166946	0.12969	0.414596	0.116857	0.0604316	0.0301282	0.0813518
b	0.0241963	0.0595387	0.201889	0.420591	0.0978959	0.0943596	0.101529
o	0.00539353	0.0816685	0.0913588	0.573008	0.0843595	0.10955	0.0546615
m	0.00482614	0.0434187	0.086874	0.438772	0.0992697	0.0950297	0.23181
á	0.0307669	0.00430079	0.0898188	0.212571	0.317739	0.143739	0.201065
l	0.02536	0.010418	0.0645232	0.163406	0.4597	0.200646	0.0759474
a	0.014389	0.00173197	0.0814007	0.261538	0.364478	0.0898174	0.186645
m	0.0215039	0.00474579	0.0823863	0.136797	0.321274	0.344536	0.0887577
b	0.00928484	0.00101393	0.0159254	0.10755	0.117317	0.515552	0.233357
v	0.00208296	0.00108404	0.00202089	0.0626943	0.054274	0.838208	0.0396361
ú	0.00124466	0.00324618	0.00508709	0.136382	0.0987008	0.456727	0.298612
á	0.0083737	0.00785195	0.0139703	0.0604388	0.0746835	0.346971	0.487711
</S>	0.0222255	0.00298377	0.0371526	0.0644075	0.242132	0.190778	0.44032
