 	il	n	'	y	en	a	pas	assez	pour	moi	</S>
b	0.191343	0.580114	0.0940264	0.0380891	0.0128382	0.005215	0.0144689	0.0190891	0.0407137	0.00202976	0.00207318
á	0.0364832	0.64858	0.285056	0.0127222	0.00377564	0.00120772	0.00146737	0.00138786	0.00535895	0.00322785	0.000733241
n	0.0376314	0.79404	0.142859	0.0136439	0.00140098	0.000942416	0.000566897	0.000692029	0.000880872	0.00341332	0.00392911
g	0.0791329	0.809304	0.0534728	0.0025489	0.000758537	0.000758535	0.000577558	0.000404272	0.00132427	0.0281226	0.0235954
á	0.0773172	0.765029	0.120223	0.00539656	0.00195861	0.00125333	0.000326213	6.95689e-05	0.000309575	0.00776692	0.0203494
b	0.0373156	0.00129243	0.0851226	0.568695	0.170368	0.0425584	0.0179174	0.00540366	0.0266756	0.00460583	0.0400455
í	0.0159504	0.0122147	0.308286	0.264489	0.190199	0.0706749	0.026633	0.0135318	0.0167857	0.00783664	0.0733977
i	0.0310014	0.0111195	0.388816	0.181911	0.14856	0.0651931	0.0400685	0.0195681	0.0328388	0.0367776	0.0441467
k	0.00176099	0.000851248	0.0173374	0.118901	0.325255	0.201917	0.0372987	0.0338119	0.0103529	0.00737668	0.245137
á	0.00164725	0.000677634	0.00858142	0.13439	0.234614	0.16035	0.0437527	0.101757	0.0125373	0.0363129	0.26538
m	0.00036016	0.00104364	0.0221417	0.0522686	0.118877	0.220416	0.0934966	0.20238	0.0411535	0.0618812	0.185982
b	0.00299916	0.000543377	0.00997154	0.0189624	0.216383	0.291648	0.112943	0.0319523	0.0629729	0.0983215	0.153303
a	0.0314202	0.00546803	0.0363212	0.0590469	0.115058	0.120414	0.113087	0.160958	0.0798567	0.0782999	0.200071
</S>	0.00777631	0.00215216	0.0151488	0.0148664	0.074544	0.103443	0.214821	0.10537	0.238096	0.106006	0.117776
