 	qui	a	monté	sur	ce	safoutier	</S>
o	0.903437	0.0808431	0.00325719	0.00686347	0.00458943	0.000291997	0.000717556
l	0.0554226	0.0868396	0.662518	0.0272714	0.00531847	0.147109	0.015521
é	0.00272762	0.017363	0.889419	0.0312044	0.00152473	0.0409978	0.0167636
i	0.000887563	0.026701	0.793152	0.0329847	0.00202956	0.119983	0.0242621
o	0.156962	0.113015	0.112712	0.233875	0.34154	0.00716916	0.0347256
s	0.00159145	0.00949656	0.160342	0.481442	0.257457	0.0402081	0.0494633
á	0.001143	0.00370358	0.295838	0.324651	0.173384	0.147957	0.0533233
á	0.00136326	0.00153992	0.0153561	0.0374585	0.0462839	0.870789	0.0272097
b	0.00317125	0.00469865	0.0249259	0.153202	0.381824	0.374302	0.0578764
v	0.00722472	0.0167776	0.0113645	0.385279	0.388474	0.101095	0.0897845
ú	0.000383417	0.00102889	0.0201561	0.398391	0.47373	0.0501151	0.0561962
á	0.00129578	0.0020851	0.0287428	0.20621	0.510233	0.0945752	0.156858
d	0.0022297	0.00459421	0.0425709	0.131038	0.15829	0.176255	0.485023
z	0.000663748	0.00064479	0.0177721	0.0409836	0.0463608	0.500933	0.392642
e	0.00923653	0.00508564	0.0187485	0.301459	0.496732	0.0569415	0.111796
n	0.00576648	0.00246711	0.0271405	0.149256	0.355772	0.0604916	0.399107
d	0.000682591	0.00129262	0.0259422	0.0531955	0.110147	0.0230299	0.785711
a	0.000918943	0.000586601	0.0161127	0.0120315	0.0403288	0.0161516	0.91387
</S>	0.000299077	0.00044235	0.00728086	0.0376082	0.0727906	0.00957308	0.872006
