 	il	est	bête	</S>
w	0.86662	0.109442	0.0163403	0.00759754
a	0.897541	0.0602403	0.0395631	0.00265571
a	0.471241	0.440706	0.0154227	0.0726307
d	0.143295	0.642576	0.137016	0.0771129
í	0.0757952	0.257876	0.137461	0.528867
l	0.0424262	0.127172	0.125876	0.704525
a	0.109692	0.140158	0.113249	0.6369
o	0.108859	0.256693	0.497472	0.136976
d	0.0050574	0.0672454	0.886037	0.0416606
í	0.00263179	0.0464393	0.727929	0.223
b	0.00536632	0.0792938	0.211674	0.703666
h	0.0280407	0.0896959	0.363386	0.518877
i	0.0088156	0.0304875	0.168173	0.792524
l	0.00117012	0.00865566	0.0901987	0.899975
i	0.00407628	0.013653	0.202434	0.779837
</S>	0.00761566	0.078172	0.0818868	0.832326
