 	le	miroir	brille	</S>
e	0.918495	0.0771074	0.00433283	6.43216e-05
t	0.0514852	0.941804	0.0059522	0.000758738
á	0.048684	0.924067	0.0145616	0.0126877
l	0.060933	0.610908	0.0376213	0.290538
a	0.491418	0.444512	0.0162774	0.0477927
y	0.628757	0.175869	0.150202	0.0451729
é	0.57364	0.150564	0.0121279	0.263668
e	0.882717	0.0712191	0.0127244	0.0333398
b	0.0177083	0.181964	0.357918	0.44241
á	0.00207261	0.00338311	0.959617	0.0349271
l	0.00642968	0.00824221	0.287801	0.697527
a	0.0367373	0.0080079	0.32913	0.626125
</S>	0.0233382	0.0102871	0.211261	0.755113
