 	jésus	est	né	à	bethléhem	</S>
y	0.613954	0.233052	0.102038	0.0337308	0.0153729	0.00185126
e	0.978705	0.0183859	0.00105804	0.000745267	0.000129358	0.000976318
s	0.950329	0.0441909	0.00491658	0.000190429	7.39952e-05	0.000299241
ú	0.953379	0.0235152	0.0109884	0.000812349	0.00277008	0.00853518
á	0.777101	0.160924	0.00318675	0.00442147	0.00172779	0.0526393
b	0.0791923	0.190204	0.645179	0.0451098	0.00922616	0.0310885
ó	0.00991461	0.142523	0.523272	0.186538	0.100591	0.0371611
r	0.0201326	0.106156	0.519922	0.252366	0.0254099	0.0760138
ó	0.135249	0.20719	0.425156	0.0869065	0.0416611	0.103838
m	0.0268221	0.0816859	0.177934	0.470202	0.0147617	0.228594
á	0.0555126	0.0594274	0.032337	0.386859	0.0270667	0.438797
ó	0.0506236	0.0412328	0.0496223	0.540945	0.189146	0.12843
b	0.0273337	0.0257962	0.0417402	0.298877	0.538888	0.0673654
e	0.000126126	0.00440979	0.0132604	0.0268403	0.938392	0.0169712
t	0.00262377	0.00973822	0.0196249	0.0381381	0.712651	0.217224
e	0.0221856	0.0216782	0.0276619	0.0871166	0.43262	0.408738
l	0.00193846	0.0120302	0.01051	0.106684	0.154753	0.714084
e	0.0102172	0.00550529	0.0377688	0.123431	0.348938	0.47414
y	0.0166688	0.00954427	0.0127319	0.1913	0.112253	0.657502
έ	0.0571344	0.0315221	0.0174423	0.13888	0.0998526	0.655168
m	0.00426146	0.00121521	0.00772888	0.0355449	0.0265904	0.924659
ε	0.00932522	0.0102883	0.00271805	0.173274	0.10785	0.696544
</S>	0.0141759	0.00630283	0.00540864	0.134581	0.102992	0.736539
