 	il	avait	un	gros	poisson	en	mains	</S>
w	0.762505	0.10347	0.0523481	0.0525524	0.0102991	0.0086693	0.0094473	0.000708453
a	0.533813	0.109902	0.0337725	0.147396	0.0575798	0.0443675	0.0729834	0.000186225
á	0.225627	0.435661	0.15164	0.0759932	0.0563871	0.0342415	0.00965912	0.0107912
d	0.129617	0.259316	0.275862	0.0558636	0.132612	0.0714263	0.00642215	0.0688801
z	0.0110544	0.171496	0.316537	0.0528898	0.150334	0.0299914	0.000392524	0.267306
e	0.117261	0.469728	0.141295	0.0838616	0.149703	0.00838191	0.000177229	0.0295927
l	0.0095004	0.06074	0.18556	0.136718	0.245595	0.057518	0.00690857	0.29746
e	0.0498975	0.126445	0.242255	0.0930986	0.0896573	0.0532894	0.00276342	0.342595
k	0.0148333	0.0897442	0.310101	0.166873	0.140905	0.058778	0.0201484	0.198617
ó	0.00642953	0.0361169	0.54102	0.158315	0.083003	0.0378363	0.0840628	0.0532168
b	0.00145643	0.0205423	0.534739	0.112656	0.0865668	0.070039	0.0873676	0.086633
h	0.00760961	0.0196976	0.315142	0.168482	0.0299967	0.0347737	0.0484733	0.375825
o	0.00991956	0.011897	0.192987	0.25628	0.0356564	0.0893836	0.152654	0.251223
y	0.00149402	0.00541295	0.0484427	0.219523	0.0710373	0.201502	0.0532951	0.399293
á	0.0109697	0.0250615	0.0711398	0.306475	0.336809	0.178973	0.0130237	0.0575481
s	0.0254608	0.0173505	0.0204654	0.204948	0.321963	0.236893	0.0897132	0.0832054
w	0.00773984	0.0205408	0.0171362	0.0627575	0.530591	0.187276	0.0128858	0.161073
é	0.00600911	0.0165599	0.0120023	0.0889402	0.468274	0.166387	0.00504183	0.236785
m	0.000269239	0.00224964	0.0278593	0.0781199	0.0882823	0.286095	0.0352021	0.481923
á	0.0020912	0.00612786	0.0149631	0.134503	0.095729	0.279783	0.0322683	0.434535
b	0.0135762	0.0138963	0.0243913	0.0730096	0.0802604	0.292948	0.146973	0.354945
ώ	0.0187201	0.0125207	0.0178413	0.0983903	0.10626	0.17608	0.55121	0.0189775
ω	0.000932136	0.000907934	0.00327449	0.023316	0.0153296	0.0784751	0.664335	0.21343
</S>	0.00214952	0.00934721	0.0252567	0.043839	0.0650997	0.273491	0.0185612	0.562256
