 	ofounga	a	tué	un	gros	éléphant	</S>
o	0.805592	0.18848	0.0010439	0.00265031	0.00209939	7.90021e-05	5.53384e-05
f	0.905479	0.0889024	0.00353636	0.000252599	0.000516335	0.000897865	0.00041563
u	0.956923	0.034605	0.00475286	0.00051827	0.000814626	0.00146288	0.000923529
n	0.988724	0.00741639	0.000472067	0.00022192	0.00056395	0.000696931	0.00190498
g	0.914106	0.0679119	0.00109562	0.00380578	0.00234667	0.00122975	0.00950441
a	0.84975	0.117605	0.00867817	0.00756983	0.00256686	0.00237316	0.0114568
á	0.289632	0.345351	0.067329	0.120198	0.0644285	0.00765158	0.10541
b	0.0341915	0.049114	0.765954	0.0628598	0.0417842	0.0125675	0.0335286
o	0.0133609	0.0486489	0.741929	0.114079	0.0613915	0.00247066	0.0181197
m	0.0718792	0.0413614	0.744204	0.0789853	0.0216039	0.0107375	0.0312287
i	0.0670874	0.0631597	0.152061	0.269306	0.207148	0.135035	0.106203
k	0.004231	0.0260099	0.0404734	0.559435	0.267663	0.0478157	0.0543722
a	0.00294291	0.01349	0.0530985	0.702288	0.0539761	0.115762	0.0584431
m	0.00289416	0.0132935	0.0325882	0.661981	0.0635447	0.0272779	0.19842
b	0.00808021	0.00701699	0.0166615	0.579021	0.199386	0.0207947	0.16904
a	0.088268	0.0180017	0.0216092	0.330678	0.242139	0.0254782	0.273826
y	0.001689	0.00189911	0.00115376	0.383044	0.349069	0.112924	0.150222
a	0.00731113	0.00158024	0.00247027	0.140129	0.184193	0.440724	0.223593
n	0.00134584	0.000777328	0.00046209	0.0771064	0.201713	0.438154	0.280441
d	0.00405362	0.00367483	0.000457202	0.0475912	0.369877	0.397008	0.177338
z	0.00391109	0.000690046	0.000192274	0.0086549	0.114207	0.478708	0.393637
ω	0.00102677	0.000136342	0.000248829	0.00541464	0.0280757	0.648981	0.316117
i	0.00825981	0.00254712	0.00224324	0.0436804	0.0672487	0.275293	0.600728
</S>	0.00128442	0.000419396	5.89588e-05	0.0357936	0.0809071	0.0481028	0.833434
