 	cette	fille	est	plus	charmante	que	les	autres	</S>
m	0.845073	0.0779988	0.0135105	0.0229373	0.0195016	0.00847179	0.00763455	0.00463201	0.000240311
w	0.0273224	0.962794	0.00650471	0.000378303	0.000104339	0.000437688	0.00111978	0.000273654	0.00106477
á	0.00650363	0.991119	0.0017059	0.000334528	3.81917e-05	7.09642e-05	0.000103672	8.74389e-05	3.62089e-05
n	0.301654	0.673464	0.00829743	0.00193255	0.000708338	0.00115426	0.00155734	0.00391975	0.00731182
a	0.0710773	0.530014	0.113027	0.041472	0.0103365	0.0193535	0.0105267	0.00558821	0.198605
o	0.834735	0.079533	0.0340429	0.0156957	0.00858977	0.00725297	0.00869506	0.00631588	0.00513976
y	0.175386	0.552101	0.150915	0.0664782	0.0264889	0.0138754	0.0023015	0.00269359	0.00976028
ú	0.230297	0.711473	0.0275569	0.00684135	0.00339944	0.00403695	0.00105482	0.00101197	0.0143283
r	0.803548	0.0920537	0.0260959	0.00725104	0.00371165	0.00713956	0.011659	0.00241837	0.0461231
u	0.830456	0.0461574	0.0430275	0.0303765	0.0111841	0.0123492	0.00808328	0.00217634	0.0161894
w	0.0970458	0.06803	0.628074	0.106777	0.0445607	0.0201889	0.0157654	0.00421032	0.0153475
ó	0.0815326	0.0189613	0.241621	0.283914	0.11564	0.0822248	0.0326142	0.0114365	0.132054
a	0.0438232	0.00695532	0.286431	0.326402	0.164478	0.0443676	0.0107884	0.00136712	0.115387
p	0.00826148	0.00170452	0.16455	0.313529	0.322013	0.0799709	0.0190143	0.00316682	0.0877898
é	0.00730515	0.000790056	0.067948	0.345605	0.424614	0.109559	0.0105376	0.0019948	0.0316468
n	0.00485784	0.000837231	0.0573788	0.380519	0.310472	0.090232	0.0240065	0.0115602	0.120136
d	0.00521077	0.00145088	0.0843838	0.398426	0.351458	0.0852816	0.0262811	0.0114715	0.0360367
í	0.0126953	0.00915854	0.222469	0.225738	0.217435	0.125989	0.0559749	0.01015	0.12039
a	0.0362712	0.00335181	0.123121	0.15036	0.264784	0.227285	0.153938	0.0163611	0.0245275
b	0.00551601	0.00584499	0.0263938	0.0647005	0.192675	0.384815	0.151409	0.142411	0.0262349
i	0.000790959	0.00143581	0.00444048	0.0262939	0.10171	0.110986	0.0648123	0.666434	0.0230968
a	0.00173384	0.00114658	0.0265682	0.0712355	0.14885	0.271933	0.0894378	0.191374	0.197721
m	0.00285684	0.000291053	0.015467	0.0237606	0.0544667	0.257005	0.462029	0.0771317	0.106992
ó	0.0519926	0.0422869	0.0521923	0.00767815	0.0097834	0.113229	0.361568	0.0614418	0.299829
l	0.00748122	0.00124107	0.0142526	0.00871487	0.0209692	0.0880161	0.222382	0.542603	0.0943404
e	0.00222436	0.00122448	0.0110972	0.0129889	0.0347752	0.153975	0.149496	0.155211	0.479008
d	0.00180032	0.000236949	0.00685133	0.00509783	0.0212609	0.171506	0.248805	0.1554	0.389042
i	0.000888623	0.000486603	0.00189361	0.00112914	0.001902	0.0317236	0.232508	0.0989984	0.63047
n	0.000740795	5.87401e-05	0.00231383	0.00216574	0.00634207	0.0854364	0.310631	0.0867746	0.505536
g	0.00472564	0.00164392	0.00932807	0.0068984	0.00783798	0.0630301	0.262603	0.233626	0.410307
í	0.00769373	0.00265489	0.00593937	0.00531378	0.004966	0.0617709	0.296606	0.207083	0.407972
s	0.00128321	9.50205e-05	0.00547888	0.00462203	0.0110423	0.0905543	0.222687	0.0890189	0.575218
á	0.00482449	0.000395125	0.0107518	0.00757514	0.00877566	0.0541597	0.18069	0.05152	0.681308
</S>	0.0314736	0.000522073	0.00763059	0.00823412	0.0124392	0.0409665	0.237611	0.177515	0.483608
