 	avant	de	manger	la	nourriture	d'	hier	il	faut	la	réchauffer	</S>
o	0.746876	0.16848	0.00383227	0.0205006	0.0279523	0.0141924	0.000955156	0.00536292	0.0103997	0.00118371	0.000225941	3.86724e-05
b	0.775247	0.165903	0.021436	0.00484233	0.00143178	0.00663237	0.00230229	0.0037214	0.00998348	0.00283575	0.00375364	0.00191095
o	0.755605	0.146148	0.0157811	0.0245407	0.00926457	0.0102581	0.00460933	0.00468958	0.0104905	0.0047344	0.0108949	0.00298403
s	0.372422	0.112609	0.0462741	0.0506747	0.0137296	0.0273132	0.0269934	0.013818	0.00703011	0.0190451	0.241134	0.0689572
ó	0.569215	0.1128	0.0257444	0.0648117	0.0142903	0.0290809	0.0178071	0.0173607	0.0048895	0.018213	0.0264025	0.099385
b	0.330076	0.366146	0.0367721	0.0693051	0.0757254	0.0320215	0.00948418	0.0187793	0.00868987	0.0222376	0.00215638	0.0286069
í	0.0766289	0.0982375	0.0192285	0.113697	0.0664998	0.0899697	0.0130518	0.0588884	0.0461042	0.0581606	0.00972168	0.349812
d	0.0476725	0.164212	0.0579742	0.179215	0.311542	0.0741604	0.0117239	0.0481488	0.0542526	0.0251472	0.00132757	0.0246242
z	0.267283	0.0953761	0.349363	0.165607	0.0133858	0.0330279	0.00610721	0.0284633	0.00447981	0.00803564	0.000521922	0.028348
á	0.0776267	0.0431583	0.685411	0.116068	0.0177574	0.0123141	0.00364468	0.0121645	0.00279802	0.00725643	0.00395205	0.0178488
a	0.0152395	0.0514718	0.111802	0.33079	0.235036	0.0714217	0.0102465	0.07667	0.0133796	0.0299683	0.00259158	0.0513831
l	0.00311678	0.033084	0.0876132	0.229119	0.298053	0.202529	0.0548724	0.0403283	0.0105863	0.0288645	0.00103981	0.0107946
á	0.00539561	0.0316783	0.26084	0.103174	0.0348805	0.166249	0.022872	0.0942075	0.0239548	0.0447156	0.00183393	0.210199
b	0.0052334	0.016573	0.0800225	0.21829	0.236407	0.186223	0.0483738	0.113841	0.0360116	0.0222546	0.00290044	0.0338699
e	0.0384705	0.0600449	0.0703934	0.154846	0.357053	0.105941	0.0934795	0.0453624	0.0568381	0.0101288	0.00146214	0.00598016
a	0.00554945	0.0315321	0.0420009	0.166892	0.259168	0.223529	0.108534	0.0613184	0.065251	0.0132975	0.00268323	0.0202451
b	0.000418858	0.00410564	0.0197034	0.0991568	0.211343	0.306501	0.0887671	0.163472	0.0445364	0.0540255	0.000984224	0.00698691
á	0.0106599	0.0154346	0.0126663	0.0564959	0.256063	0.145783	0.0265666	0.122168	0.249604	0.0802269	0.00232199	0.0220092
p	0.00122709	0.00355904	0.00852309	0.0536071	0.249756	0.101105	0.0916285	0.206957	0.222206	0.0415823	0.00159279	0.0182558
ó	0.000651861	0.00140083	0.00191241	0.0102487	0.0146222	0.0214777	0.851588	0.0448626	0.0342427	0.0143312	0.00208376	0.00257797
a	0.000468412	0.00089657	0.00572459	0.0136767	0.00843424	0.0466572	0.667153	0.0844829	0.0516114	0.0666569	0.021746	0.0324923
k	0.000141958	0.00126656	0.00262144	0.00600419	0.00653577	0.0684682	0.0284075	0.127915	0.121489	0.545261	0.038255	0.0536343
á	0.00166961	0.00299665	0.00103334	0.0128869	0.017912	0.0499809	0.226207	0.126424	0.205105	0.18518	0.0226991	0.147904
a	0.000764628	0.00123931	0.00419728	0.0151463	0.0616718	0.0373175	0.0774543	0.127082	0.227813	0.213928	0.0252621	0.208125
l	0.000304889	0.00126492	0.00546845	0.00738858	0.00893107	0.0295857	0.0137391	0.0685658	0.0878504	0.514334	0.0717095	0.190857
é	0.00330036	0.00452593	0.0173393	0.0161321	0.00565437	0.0330315	0.00822462	0.0623386	0.0620982	0.300554	0.04315	0.44365
e	0.000611983	0.00150159	0.00600844	0.0156125	0.0139277	0.0456079	0.0118932	0.0992412	0.105304	0.300623	0.126931	0.272738
y	0.00144242	0.000758404	0.00283868	0.000719309	0.000221659	0.00250645	0.0075414	0.00194509	0.00286845	0.0538333	0.84497	0.0803547
ú	0.00205482	0.00109076	0.0106577	0.00285158	0.000311882	0.00610495	0.00792545	0.00749686	0.00398848	0.0866353	0.684759	0.186123
n	0.000956565	7.97364e-05	0.000535132	0.000452935	0.000110628	0.00232705	0.00406786	0.00428081	0.00461491	0.0133245	0.826647	0.142603
g	0.000522937	0.000151848	0.00146592	0.00429201	0.00196428	0.014288	0.00540082	0.0206654	0.016934	0.0288497	0.836208	0.0692568
á	0.000417934	0.00379055	0.00756437	0.0707589	0.0569343	0.130698	0.00690474	0.228728	0.303511	0.091277	0.0752026	0.0242123
b	0.0013603	0.00158544	0.00239843	0.0138809	0.0154918	0.0415647	0.0133649	0.066325	0.0509204	0.0799624	0.332218	0.380928
i	0.00216711	0.00186766	0.000558358	0.0158951	0.0605961	0.0206955	0.00358861	0.0898131	0.443661	0.076592	0.10217	0.182395
a	0.00109225	0.00152385	0.000954768	0.0223248	0.0566168	0.0238155	0.0061309	0.0921473	0.2494	0.0443744	0.054784	0.446836
</S>	0.000491396	0.001938	0.00580042	0.0120277	0.00653618	0.0246017	0.00488264	0.0276406	0.0175587	0.148388	0.238188	0.511946
