 	cette	affaire	sera	traitée	aujourd'	hui	et	celle-ci	un	autre	jour	</S>
i	0.205	0.630516	0.0892466	0.0362071	0.0285006	0.00282466	0.00345206	0.00140837	0.00107684	0.00133427	0.000255653	0.000177697
b	0.0269522	0.757795	0.0372674	0.163318	0.0031433	0.00112711	0.00150001	0.00170955	0.00226113	0.0012135	0.00298865	0.00072434
h	0.00120878	0.901703	0.00715664	0.0802417	0.00168036	0.00154437	0.000778628	0.0010109	0.000615671	0.000644466	0.00291618	0.00049973
ώ	0.0227093	0.804028	0.081477	0.0475564	0.0124919	0.00323356	0.00725148	0.00413408	0.00293626	0.00177774	0.00493145	0.00747315
ω	0.392228	0.488669	0.102179	0.00209772	0.00794313	0.000526164	0.00089915	0.000889917	0.000730255	0.000980632	0.000626709	0.00223016
d	0.392492	0.0671328	0.456473	0.0278335	0.0302686	0.00379085	0.0041284	0.0021046	0.0025319	0.00124899	0.000430257	0.0115654
í	0.54611	0.00321084	0.163765	0.00933389	0.00995457	0.00057129	0.00629859	0.0144131	0.0133452	0.022814	0.000964925	0.209219
l	0.348302	0.0199953	0.277706	0.0556882	0.0576482	0.0266383	0.0236806	0.00838648	0.0135479	0.0141062	0.00290686	0.151394
í	0.220074	0.00594988	0.135556	0.0419847	0.0335762	0.0109516	0.042006	0.015057	0.0130208	0.031725	0.00310596	0.446993
i	0.157606	0.0209848	0.371604	0.125316	0.0982459	0.00614017	0.0424491	0.0171804	0.0166091	0.0253782	0.00549166	0.112994
t	0.00990761	0.0094656	0.141849	0.672953	0.0530005	0.0298187	0.0164077	0.0256455	0.0142945	0.00150734	0.00359948	0.0215512
i	0.00223085	0.00493266	0.0556913	0.798163	0.0390724	0.0335441	0.011269	0.0186505	0.0149397	0.000771502	0.00223716	0.0184977
i	0.0115755	0.00721956	0.152115	0.531985	0.163906	0.0487152	0.0148752	0.0162206	0.0142238	0.00135021	0.00145522	0.0363595
m	0.0269901	0.00503245	0.112397	0.137737	0.562446	0.078004	0.0436026	0.00945432	0.00815879	0.00542772	0.00290891	0.00784194
á	0.0298455	0.00553109	0.0672355	0.0253609	0.523311	0.19152	0.0608705	0.0626644	0.00744067	0.00560004	0.00202279	0.0185983
p	0.00576467	0.00321544	0.0278433	0.0174853	0.493833	0.273806	0.129952	0.0194225	0.0074605	0.00961773	0.0057037	0.00589661
á	0.00118586	0.00311715	0.00960465	0.0564622	0.12908	0.738443	0.0315595	0.0130464	0.00641635	0.000466024	0.00608828	0.00453079
b	0.000369875	0.00130556	0.00136937	0.0100881	0.0312716	0.906069	0.0143982	0.0076201	0.00445578	0.00100978	0.00678025	0.0152626
h	0.000559967	0.00200977	0.00474315	0.0181326	0.140552	0.598835	0.120263	0.0197891	0.0174323	0.00374427	0.0183513	0.0555889
a	0.0081824	0.03271	0.0284159	0.050799	0.220943	0.27986	0.10538	0.0558681	0.032363	0.00750666	0.0133646	0.164607
d	0.0072917	0.00568537	0.016354	0.0103158	0.217582	0.13918	0.3419	0.136883	0.0587861	0.0190585	0.00833122	0.0386324
í	0.0367816	0.00237828	0.0106287	0.0212164	0.0360952	0.141298	0.31951	0.155832	0.057899	0.0812158	0.0203656	0.116779
l	0.00692372	0.00270757	0.00454274	0.00603708	0.072772	0.199561	0.272805	0.118535	0.0973482	0.106917	0.0695849	0.0422664
í	0.00245691	0.00117883	0.00458528	0.00486637	0.0116479	0.0162347	0.278711	0.160723	0.0906128	0.0541966	0.0164429	0.358344
i	0.00128017	0.00103704	0.00296733	0.00765212	0.0311954	0.0254928	0.228453	0.170245	0.237066	0.120171	0.1162	0.0582411
t	0.000690331	0.00527074	0.00542336	0.0121235	0.00496725	0.0451599	0.110392	0.376142	0.307336	0.0249116	0.0675431	0.0400394
