 	j'	irai	à	la	pêche	demain	</S>
n	0.977036	0.00314762	0.0087194	0.00804476	0.00144684	0.00100693	0.00059888
g	0.99952	4.36081e-05	9.00699e-05	4.88189e-05	4.22649e-06	0.000284942	8.82618e-06
á	0.996308	0.00208202	0.000652554	0.000328031	7.55671e-05	0.000537426	1.62645e-05
l	0.429105	0.100447	0.218034	0.0774085	0.0117015	0.0490442	0.11426
í	0.5531	0.159278	0.0452224	0.0319946	0.0305786	0.0226098	0.157217
i	0.106112	0.200535	0.21945	0.0836847	0.0256415	0.0312789	0.333298
d	0.00103363	0.959513	0.0276177	0.00382979	0.00511297	0.000942252	0.00195026
z	0.000288697	0.994525	0.00432495	0.000427865	0.000303636	8.6783e-05	4.27975e-05
w	0.0247772	0.972692	0.00190152	0.000256916	8.95753e-05	6.8221e-05	0.000214447
á	0.00500037	0.163851	0.416462	0.143257	0.00416793	0.0024358	0.264826
i	0.00215205	0.0154807	0.433386	0.439135	0.0161525	0.0254072	0.0682865
l	0.00271407	0.0111956	0.304852	0.362544	0.155061	0.0964283	0.067205
ώ	0.00314834	0.0288299	0.209168	0.394033	0.277433	0.046686	0.0407022
b	0.000272908	0.0149218	0.130327	0.301642	0.271129	0.171839	0.109869
h	0.00122633	0.00797516	0.176511	0.337205	0.359357	0.0522543	0.0654706
ω	0.000150859	0.00398231	0.111393	0.213005	0.123716	0.163343	0.384411
i	0.000250073	0.000496259	0.0579685	0.329285	0.275523	0.0862527	0.250224
m	0.00265392	0.00249703	0.0264763	0.0547793	0.138211	0.28344	0.491942
b	0.000682215	0.0238787	0.016885	0.0368864	0.0410421	0.375938	0.504688
y	7.38154e-05	0.000431543	0.002442	0.00682211	0.00998754	0.942124	0.0381191
é	9.16945e-06	0.000121239	0.00114276	0.0031216	0.00327148	0.90628	0.0860536
n	3.10382e-06	0.00055245	0.00162643	0.00468386	0.0152108	0.929903	0.0480207
g	1.04282e-05	0.000672026	0.0110302	0.0304696	0.0390445	0.621432	0.297341
í	1.41821e-05	0.000411208	0.00315601	0.00926927	0.00162526	0.619031	0.366493
l	8.09781e-05	0.000682679	0.00711649	0.00911887	0.00728019	0.0499122	0.925809
o	0.00421182	0.0102686	0.0649292	0.0634856	0.0459101	0.122563	0.688632
y	0.00136104	0.00304811	0.00655572	0.00840198	0.00498561	0.245719	0.729928
ó	0.00103336	0.0929309	0.126072	0.143633	0.0763357	0.178759	0.381236
l	0.00141998	0.00156984	0.00455473	0.00609369	0.00158892	0.307747	0.677026
o	0.0154276	0.00114633	0.00675931	0.0114966	0.0187611	0.655859	0.29055
</S>	0.00154268	0.00254222	0.0109935	0.0155792	0.0289728	0.584136	0.356233
