 	c'	est	une	femme	d'	une	grande	beauté	</S>
a	0.658282	0.260944	0.0652792	0.00622317	0.00371748	0.0023255	0.00267262	0.000497796	5.8145e-05
d	0.297225	0.527301	0.0533476	0.103401	0.00548877	0.00773212	0.00378477	0.00124151	0.000478257
í	0.158752	0.709047	0.061497	0.0515519	0.0082879	0.00361241	0.00153364	0.00103706	0.00468019
o	0.0715398	0.364682	0.38294	0.0364666	0.0234705	0.0153522	0.0277641	0.0177246	0.0600605
y	0.0197531	0.0510571	0.136095	0.607251	0.0731637	0.0451283	0.013707	0.0262493	0.0275954
ú	0.00298546	0.0434144	0.0692942	0.717681	0.0359783	0.0420702	0.00590436	0.0113782	0.0712934
l	0.0353424	0.0619581	0.0748236	0.102457	0.0242463	0.0375511	0.0111463	0.00916297	0.643312
u	0.0494396	0.154915	0.327401	0.00429641	0.169047	0.101626	0.0285304	0.0212668	0.143478
o	0.0556679	0.0607595	0.297785	0.0235715	0.224372	0.117007	0.149794	0.0174872	0.0535554
p	0.00535332	0.0233449	0.0441785	0.0189043	0.160396	0.409717	0.205342	0.113036	0.0197285
f	0.00061549	0.00429314	0.0424994	0.00226443	0.166491	0.533321	0.0705641	0.108747	0.0712044
u	0.00170494	0.00497471	0.0399796	0.000593507	0.248162	0.465798	0.0550759	0.0926161	0.0910952
a	0.00297642	0.00343604	0.0634853	0.00145888	0.158678	0.312675	0.201917	0.114053	0.14132
m	0.007295	0.00607165	0.0416193	0.000379797	0.0863151	0.137939	0.542457	0.102234	0.0756892
á	0.113223	0.0342896	0.0115042	0.00966053	0.0294731	0.0296006	0.24524	0.288532	0.238477
m	0.0249106	0.011555	0.0605999	0.00542563	0.0305385	0.0445528	0.21099	0.572589	0.0388385
b	0.0065151	0.00987295	0.00237776	0.0112264	0.00661388	0.0107981	0.255442	0.382822	0.314332
v	0.00033157	0.000793963	0.000312212	0.000224136	0.0082483	0.0238724	0.109421	0.711738	0.145058
a	0.000499124	0.00234223	0.000394198	0.00112697	0.0140545	0.026043	0.129988	0.38543	0.440122
m	0.000137488	0.000203698	0.00147876	5.81106e-05	0.0171286	0.029649	0.094886	0.264638	0.59182
b	0.0018594	0.00345192	0.00694139	5.48527e-05	0.0491358	0.0961278	0.122329	0.451211	0.26889
v	0.00281576	0.00192524	0.00289637	6.97055e-05	0.0265902	0.0799454	0.0641791	0.359808	0.46177
a	0.00067828	0.00117064	0.00142195	7.73136e-05	0.017175	0.0679164	0.0720198	0.262185	0.577356
</S>	0.000514536	0.000532233	0.000870754	2.80468e-05	0.0126213	0.0247877	0.0340797	0.0721252	0.854441
