 	voler	est	une	mauvaise	action	</S>
y	0.643837	0.276605	0.0553123	0.0223554	0.0014795	0.000410384
í	0.142067	0.333025	0.345746	0.0252401	0.0411876	0.112734
b	0.336932	0.33044	0.307105	0.0128304	0.0013634	0.0113289
h	0.370941	0.297334	0.244518	0.0268141	0.0254212	0.0349711
a	0.345172	0.385918	0.20061	0.00930716	0.00341353	0.055579
í	0.410316	0.274994	0.178282	0.0803194	0.00736923	0.0487184
d	0.18282	0.328153	0.308152	0.126689	0.0170261	0.037161
í	0.0262356	0.150425	0.319363	0.0736387	0.00263881	0.427698
i	0.0740808	0.0982101	0.175902	0.334867	0.061619	0.255321
b	0.0115114	0.0472971	0.278592	0.0633479	0.341266	0.257985
h	0.0458421	0.0456714	0.105972	0.0252856	0.715509	0.0617207
ώ	0.0383522	0.0470375	0.218232	0.0258582	0.469093	0.201428
ω	0.0123616	0.0310697	0.106976	0.0883638	0.228085	0.533144
i	0.0187576	0.0222389	0.0656096	0.532105	0.149615	0.211674
b	0.0488979	0.0680439	0.103472	0.306588	0.299543	0.173455
é	0.110881	0.0429556	0.0294787	0.14472	0.647433	0.0245324
</S>	0.0136274	0.0119591	0.0194797	0.0415419	0.482693	0.430698
