 	vous	le	savez	vous-mêmes	que	le	sida	décime	les	populations	</S>
b	0.615923	0.215263	0.030761	0.0800891	0.0217292	0.0211246	0.00887869	0.000633817	0.00418469	0.00127982	0.000132761
í	0.587037	0.140067	0.00521789	0.235422	0.0035297	0.00511421	0.0135335	0.000255853	0.0091961	0.000257682	0.000368906
n	0.60983	0.0379192	0.00362772	0.332579	0.0029445	0.00278696	0.00333148	0.00163003	0.0031415	0.00133214	0.000876714
í	0.666488	0.0195692	0.00331087	0.284734	0.00189915	0.00145769	0.0161356	0.000422727	0.000181499	2.25979e-05	0.00577884
l	0.107785	0.429287	0.0713688	0.0751286	0.0372926	0.0381137	0.0319245	0.0282857	0.0615566	0.00138086	0.117878
é	0.0258318	0.18731	0.0348149	0.149358	0.179933	0.107157	0.0458373	0.0419345	0.0688135	0.000222241	0.158788
e	0.0298706	0.741773	0.159275	0.0093207	0.0229393	0.0114047	0.012321	0.00342878	0.00122046	1.09412e-05	0.00843526
y	0.00705547	0.488502	0.38218	0.0023724	0.0159556	0.00929294	0.00282092	0.0208706	0.00216139	7.01958e-05	0.0687186
é	0.00614903	0.222444	0.720304	0.0037187	0.0171236	0.00497254	0.00756179	0.0080668	0.000153449	5.5192e-06	0.00950071
b	0.00573649	0.181418	0.571951	0.0165375	0.0525703	0.0509489	0.0487941	0.0353653	0.00488281	9.00978e-06	0.0317865
h	0.0207885	0.181271	0.709574	0.0233646	0.039974	0.0106362	0.0049926	0.00281119	0.00108538	0.000560219	0.00494294
á	0.0300427	0.0454213	0.483388	0.186715	0.0357949	0.0234196	0.0366615	0.0177162	0.0258946	0.000987481	0.113959
l	0.0469599	0.0501418	0.296502	0.419785	0.10745	0.0350412	0.0125939	0.00260087	0.0158546	0.00254585	0.0105238
á	0.0200286	0.0434811	0.174297	0.102633	0.192992	0.0935001	0.128259	0.0391825	0.0168087	0.000273892	0.188544
b	0.0317598	0.0135358	0.0522566	0.37914	0.209077	0.118989	0.144698	0.0181638	0.0126221	0.00102137	0.0187366
í	0.023347	0.0150379	0.097383	0.547566	0.208066	0.0400617	0.0364674	0.0146688	0.00110002	0.0141408	0.00216119
n	0.0109754	0.00962169	0.0839995	0.323466	0.195646	0.0564212	0.0406571	0.0441526	0.0247202	0.099772	0.110568
í	0.0163331	0.0168108	0.0415173	0.273197	0.227157	0.0867632	0.14297	0.0361486	0.0643894	0.00512455	0.0895891
w	0.000493091	0.0125492	0.0272679	0.0354932	0.494643	0.251148	0.0432912	0.0658656	0.0280279	0.000779357	0.0404412
á	0.00774021	0.0262369	0.140763	0.0712292	0.3766	0.100445	0.0652599	0.0369714	0.0389067	0.00825705	0.12759
r	0.0165172	0.012581	0.0090486	0.121979	0.122743	0.175239	0.208105	0.223174	0.0340537	0.0218048	0.054754
e	0.00389167	0.00163152	0.00321475	0.163163	0.0372635	0.034088	0.736024	0.0121495	0.00307863	0.000231129	0.00526445
s	0.00151975	0.00225654	0.00589414	0.171427	0.164843	0.165212	0.28964	0.160168	0.0175111	0.000449952	0.0210778
i	0.000727554	0.00644701	0.0102213	0.0226553	0.096699	0.181924	0.388643	0.173679	0.0411806	0.000123168	0.0776995
d	0.000348276	0.00450494	0.00686061	0.0162337	0.11074	0.195672	0.305048	0.262004	0.0601142	0.00220309	0.0362715
á	4.13504e-05	0.000648379	0.00155104	0.00611449	0.0230884	0.0502965	0.695436	0.193456	0.00403568	9.18289e-05	0.0252401
l	0.000302799	0.00446497	0.00323095	0.0153024	0.0669673	0.140291	0.276346	0.341601	0.0834196	0.00124404	0.0668304
á	0.00401085	0.00530753	0.00573527	0.024992	0.0536756	0.0663985	0.368457	0.148403	0.0230432	0.000349314	0.299627
a	0.000783639	0.00717875	0.008421	0.0163031	0.0713713	0.17678	0.287284	0.202335	0.076142	0.00430559	0.149096
s	0.000496447	0.0284375	0.0225303	0.00584015	0.07369	0.164892	0.165464	0.429824	0.0315123	0.00812925	0.0691843
i	3.96395e-05	0.00454442	0.0107513	0.00388172	0.0395935	0.083906	0.512384	0.327444	0.00563201	0.00024745	0.0115757
á	0.000157459	0.00165662	0.00358257	0.00511626	0.0476129	0.148473	0.146936	0.471046	0.0772222	0.000295485	0.0979021
b	0.000216987	0.0016586	0.00203598	0.00965036	0.023115	0.0531224	0.273023	0.0426182	0.374586	0.0322716	0.187703
a	0.00175531	0.00101432	0.00100996	0.0359405	0.0106587	0.0254531	0.154398	0.0191546	0.0303108	0.693316	0.0269885
r	0.000848413	0.000517543	0.000371157	0.021205	0.00429977	0.0112403	0.0581151	0.0151877	0.0646891	0.796073	0.0274531
e	0.000764696	0.000995338	0.000719556	0.00680348	0.00595189	0.0207524	0.208069	0.0399854	0.201868	0.00920064	0.504889
</S>	0.000440411	0.000757474	0.000762219	0.00293496	0.0120472	0.0218301	0.0295768	0.0273697	0.340305	0.00465214	0.559324
