 	les	fourmis	rouges	sont	sur	l'	oranger	</S>
a	0.682334	0.302326	0.00709788	0.00480634	0.00163746	0.00168141	4.8475e-05	6.88294e-05
k	0.0487343	0.914386	0.0334936	0.0011274	0.00132489	0.000439715	0.000422145	7.23708e-05
á	0.142052	0.632215	0.19638	0.0112559	0.00523249	0.00287016	0.00252021	0.00747384
m	0.0317748	0.515901	0.29708	0.0277439	0.0213156	0.00315373	0.0202383	0.0827919
b	0.139779	0.198736	0.476816	0.117444	0.0304485	0.0198799	0.00027792	0.0166191
á	0.455676	0.359719	0.104342	0.0410733	0.00806998	0.00460876	0.000971555	0.0255402
á	0.244412	0.0918696	0.38711	0.176164	0.024353	0.0215861	0.00432164	0.0501834
á	0.0555796	0.0999149	0.266331	0.444443	0.0832915	0.0215392	0.010583	0.0183185
d	0.0251553	0.094204	0.264327	0.349577	0.171675	0.0254865	0.0345946	0.0349799
i	0.00457412	0.0225736	0.262589	0.404344	0.245064	0.012538	0.00280648	0.0455109
m	0.0224412	0.00482551	0.258163	0.313219	0.226905	0.0887452	0.0414421	0.0442586
ó	0.0112992	0.00250784	0.0631072	0.278036	0.294706	0.240463	0.00797741	0.101903
t	0.0108293	0.00513115	0.102967	0.133574	0.280083	0.159574	0.289002	0.0188388
s	0.00281816	0.0026838	0.123426	0.122588	0.202567	0.0553874	0.467269	0.0232612
w	0.000757264	0.000194859	0.0328774	0.033241	0.0755923	0.0255799	0.822926	0.0088313
é	0.00105607	0.000580253	0.0291196	0.0210122	0.0302765	0.0097695	0.853946	0.0542395
t	0.00011356	0.00011105	0.00226419	0.00791286	0.0253229	0.010358	0.887298	0.0666191
s	0.000800972	0.000220436	0.0151473	0.020375	0.0345804	0.0340771	0.795288	0.0995111
w	0.00123774	0.000440044	0.0278055	0.0196223	0.089541	0.0230024	0.8017	0.0366512
e	0.0168553	0.00465779	0.103032	0.0692674	0.19299	0.0546832	0.508026	0.0504885
l	0.000656018	0.000259859	0.000479165	0.00172103	0.0129531	0.0162358	0.834248	0.133447
é	0.00352295	0.000869765	0.00577465	0.0109529	0.0547597	0.159024	0.604886	0.160211
</S>	0.00276726	0.00176978	0.00460499	0.0190649	0.0614919	0.131836	0.053806	0.724659
