 	elle	était	au	bord	des	larmes	</S>
w	0.951581	0.0213965	0.0126339	0.00543342	0.00777139	0.000337612	0.00084667
a	0.890229	0.0299581	0.0145555	0.00543434	0.0583945	0.000736014	0.000692086
a	0.27423	0.463438	0.209053	0.00958161	0.0392049	0.000966175	0.00352612
b	0.0660566	0.397801	0.343162	0.0816716	0.053038	0.0179876	0.0402829
h	0.0321636	0.171845	0.322142	0.355359	0.0589119	0.00535478	0.0542234
i	0.0220083	0.215798	0.312134	0.353979	0.06497	0.00585084	0.0252589
l	0.0247009	0.0813247	0.310561	0.244066	0.116261	0.0347287	0.188358
á	0.0731677	0.0538028	0.294443	0.20994	0.164393	0.046382	0.157872
a	0.237399	0.0632256	0.154168	0.138164	0.288154	0.0627746	0.0561142
y	0.00171443	0.0235398	0.0589594	0.13767	0.0437433	0.711955	0.0224175
é	0.000222613	0.0188057	0.0352045	0.0192757	0.0563745	0.845405	0.0247124
n	0.000432229	0.00692583	0.0475723	0.0382539	0.0905268	0.682657	0.133632
g	0.00476412	0.0143914	0.14818	0.0773117	0.293245	0.380287	0.0818196
á	0.0185382	0.00946515	0.171915	0.0711287	0.234898	0.36412	0.129935
o	0.0162653	0.00578469	0.0444631	0.088404	0.268752	0.161943	0.414387
l	0.00270622	0.0349236	0.035796	0.0314965	0.192833	0.48475	0.217495
e	0.00184631	0.0591853	0.115304	0.0474103	0.269708	0.345813	0.160733
a	0.000258706	0.0128743	0.0470984	0.0344279	0.144415	0.0705487	0.690377
</S>	0.0132303	0.00710334	0.0337406	0.0367172	0.204317	0.0644098	0.640482
