 	il	a	des	ganglions	dans	l'	aîne	</S>
w	0.839816	0.126649	0.0188951	0.000406558	0.00306642	0.00941312	0.00135338	0.000400191
a	0.834878	0.10673	0.0125298	0.000194514	0.00828327	0.0288788	0.00837446	0.000130808
a	0.0822705	0.468895	0.408081	0.0207042	0.0108375	0.00682002	0.0011359	0.00125534
d	0.0310276	0.31757	0.451773	0.107315	0.0363598	0.0141566	0.0039815	0.0378165
í	0.0106265	0.254331	0.387893	0.26219	0.0279979	0.00181473	0.0010513	0.0540947
l	0.00951353	0.0395236	0.205594	0.585888	0.0544312	0.0108779	0.00287912	0.0912922
a	0.0262729	0.108081	0.465034	0.269738	0.0512684	0.0119792	0.00557737	0.0620502
o	0.0326983	0.0945154	0.13192	0.608737	0.0869758	0.0135892	0.00676526	0.0247985
s	0.00226067	0.00938075	0.0620337	0.6338	0.237075	0.00898979	0.0271748	0.0192855
u	9.34522e-05	0.00467657	0.028579	0.87181	0.0851244	0.00193494	0.00417463	0.00360684
s	0.00679291	0.0307605	0.040122	0.453198	0.338563	0.0394099	0.03164	0.0595133
ú	0.0544021	0.0422896	0.0795039	0.0897165	0.516268	0.128038	0.0405495	0.0492324
m	0.00584994	0.0242672	0.198968	0.0385448	0.441286	0.200742	0.0114468	0.0788954
a	0.0194551	0.0174313	0.0593052	0.00599228	0.215597	0.349691	0.168403	0.164125
m	0.0044855	0.0050411	0.0138605	0.00595077	0.289855	0.364841	0.270616	0.0453507
ó	0.00355363	0.00295107	0.0107494	0.00283047	0.0596667	0.238542	0.273248	0.408459
t	0.00372845	0.00368113	0.00670994	0.000620069	0.0238473	0.152546	0.795923	0.0129446
s	0.00353037	0.00702974	0.00588243	0.00235622	0.0628085	0.152434	0.723433	0.0425256
í	0.000411938	0.000495654	0.00115367	0.0013079	0.038362	0.169914	0.745431	0.0429239
n	0.0005501	0.000452059	0.000694619	0.00225643	0.0382884	0.117891	0.349855	0.490012
a	0.00103776	0.0032065	0.00338838	0.00295009	0.0311564	0.126045	0.539621	0.292595
y	0.00162979	0.00482536	0.00797635	0.00220079	0.0600506	0.220547	0.180174	0.522596
á	0.0200267	0.0328051	0.0467051	0.00444813	0.0536912	0.303056	0.47281	0.066458
ω	0.00934516	0.00612998	0.0161581	0.0021228	0.0234137	0.327297	0.529456	0.0860774
m	0.000836963	0.00813312	0.0229358	0.0208903	0.0734404	0.107131	0.699662	0.0669708
b	0.00103232	0.00943882	0.0165135	0.0167603	0.0878643	0.189524	0.471045	0.207822
ώ	0.000578938	0.00165999	0.00672243	0.00873369	0.0462501	0.0545047	0.744412	0.137138
n	5.45243e-05	0.000151176	0.000816236	0.000305744	0.0416329	0.082466	0.514931	0.359642
d	0.000824812	0.00070399	0.00114273	0.00281322	0.0483412	0.165607	0.462435	0.318132
ώ	0.000851566	0.000479209	0.000637955	0.000893344	0.027224	0.117121	0.43045	0.422343
</S>	0.00104584	0.000818918	0.00373004	0.000705264	0.0278675	0.175293	0.151962	0.638577
