 	il	est	devenu	la	risée	de	tout	le	monde	à	cause	de	sa	bave	</S>
w	0.570627	0.141965	0.0765392	0.0476699	0.0149705	0.0446954	0.0239473	0.0262898	0.0144071	0.0144228	0.00816263	0.00822216	0.00712047	0.000489022	0.000471421
a	0.682299	0.0739404	0.0161454	0.140616	0.00222667	0.0294899	0.00813419	0.0187343	0.00730339	0.0090444	0.00137118	0.00289598	0.00624884	0.00151685	3.43211e-05
á	0.16739	0.490349	0.0848227	0.115897	0.00576454	0.0328346	0.020977	0.0293274	0.0105971	0.0154791	0.00359011	0.00803623	0.0114718	0.000525748	0.0029374
b	0.0289413	0.410037	0.351456	0.0635683	0.0129569	0.00967786	0.0165976	0.0187114	0.0172151	0.00837652	0.00848942	0.0119444	0.0139119	0.00318635	0.0249299
h	0.0198242	0.0880943	0.604796	0.0752202	0.0219407	0.0453553	0.0409497	0.0231956	0.0164887	0.0170576	0.0134418	0.0104067	0.00377763	0.000496562	0.0189553
i	0.00667463	0.0731635	0.777311	0.070685	0.015619	0.00943917	0.00875289	0.011401	0.0135992	0.00371107	0.00383209	0.00315474	0.00107987	0.000131878	0.00144481
á	0.00281093	0.0505811	0.28548	0.128587	0.180584	0.0761527	0.030252	0.0453626	0.0375364	0.0252284	0.0207456	0.0156511	0.00908278	0.0146461	0.0772993
e	0.034438	0.0776417	0.191232	0.380196	0.13962	0.0836154	0.0270294	0.0205066	0.011151	0.00934627	0.00468998	0.00568137	0.00591668	0.00272147	0.00621372
d	0.00354507	0.0279803	0.131085	0.144793	0.546567	0.0365953	0.0216679	0.0199825	0.0219016	0.00837677	0.00733023	0.00658178	0.00429678	0.00808503	0.0112111
z	0.0001285	0.00361877	0.0198876	0.0410909	0.913031	0.00559725	0.000713428	0.0028166	0.00556628	0.00116539	0.00105987	0.000754775	0.000406677	0.00196701	0.0021963
ε	0.00106246	0.00313004	0.00158916	0.0158698	0.946189	0.0123978	0.00157317	0.00342779	0.00456821	0.00147406	0.000995295	0.000838229	0.000466521	0.00119659	0.005222
s	0.000443052	0.00800546	0.038137	0.102707	0.358933	0.0978306	0.0342899	0.0822414	0.0745689	0.0323615	0.0194097	0.0337158	0.0294075	0.0262271	0.0617224
i	0.00402283	0.0111698	0.016583	0.0827951	0.246535	0.138091	0.0590405	0.102826	0.0516729	0.0460406	0.0369549	0.0410286	0.0304265	0.0110553	0.121758
i	0.0101662	0.025719	0.0563172	0.209072	0.0671898	0.238963	0.132743	0.133858	0.057407	0.0365557	0.00982341	0.00691963	0.0049714	0.00120593	0.00908883
y	0.00655256	0.00900727	0.0191553	0.0461649	0.0568047	0.0831898	0.145424	0.166893	0.224754	0.091258	0.0630458	0.0245259	0.0121598	0.0184411	0.0326241
á	0.00221804	0.0258568	0.0159882	0.103496	0.0689363	0.0977642	0.092892	0.193262	0.209884	0.0698485	0.0223512	0.0166019	0.0211107	0.0166089	0.0431807
b	0.0039126	0.00538473	0.00753451	0.0708594	0.0579033	0.101181	0.133639	0.175278	0.167109	0.100093	0.0268961	0.0193662	0.020458	0.035023	0.0753617
a	0.00439564	0.00121364	0.00544964	0.0176864	0.00444698	0.0501024	0.192053	0.10377	0.255041	0.148975	0.155048	0.0448054	0.00775002	0.00380631	0.00545673
r	0.000647371	0.000579927	0.00232969	0.00700647	0.0026985	0.0615777	0.214746	0.166222	0.167592	0.174735	0.11436	0.0421648	0.0147601	0.00290533	0.0276746
e	0.00316118	0.00213815	0.00262339	0.0157715	0.0149232	0.0581886	0.0598618	0.204279	0.141377	0.145522	0.0160118	0.0384714	0.0406787	0.0329191	0.224073
á	0.00047737	0.00159337	0.00161423	0.00983663	0.00388012	0.0473365	0.145591	0.228299	0.191486	0.229006	0.043326	0.0481708	0.0286175	0.00395339	0.0168116
t	0.00133852	0.0160398	0.0436773	0.033231	0.00965375	0.0159423	0.032536	0.1067	0.130733	0.165554	0.188636	0.150727	0.0850903	0.00974218	0.0103979
s	0.000249315	0.00164291	0.00516288	0.00710285	0.00431305	0.00879865	0.0587621	0.0624084	0.123913	0.0592841	0.263895	0.188856	0.0765429	0.103288	0.0357806
ω	0.000141987	0.000307246	0.00304032	0.0033398	0.00186915	0.0102523	0.0633404	0.0794748	0.149891	0.0867759	0.269279	0.201005	0.0739213	0.0275648	0.0297972
e	0.000119641	0.000423577	0.00191825	0.00438414	0.00222087	0.0194088	0.0433158	0.0690359	0.0590992	0.0983844	0.237127	0.18816	0.106692	0.0469376	0.122773
k	0.000539704	0.00255355	0.0060065	0.00752082	0.0030118	0.00879492	0.0184809	0.0420465	0.0378348	0.0961747	0.216359	0.239346	0.199054	0.0459113	0.0763657
í	0.000159842	0.000711713	0.00327408	0.00400726	0.00307735	0.00399527	0.0190357	0.0267917	0.0614827	0.0429451	0.408296	0.188377	0.0599097	0.150976	0.0269599
i	0.000251458	0.000330289	0.00226447	0.00116687	0.00165635	0.00286092	0.0194051	0.0197752	0.0341012	0.0326423	0.179964	0.137563	0.0726996	0.339676	0.155643
d	0.000107656	0.000327846	0.00123879	0.00261481	0.00143427	0.00410606	0.0070131	0.0118828	0.0101793	0.035944	0.117175	0.231937	0.35342	0.146149	0.07647
z	1.21587e-05	0.00022372	0.00102485	0.00168069	0.00264797	0.00082484	0.000706094	0.00732444	0.0123213	0.0151782	0.0414953	0.115018	0.141489	0.378824	0.281229
a	0.000236181	0.00149152	0.00128023	0.00845732	0.0173718	0.00651586	0.00269926	0.018884	0.0250696	0.0441828	0.107821	0.142176	0.152341	0.380075	0.0913979
a	0.000358056	0.00060873	0.00189048	0.00400223	0.00925986	0.00481589	0.00425454	0.0180418	0.0185751	0.0371239	0.0985834	0.122838	0.114305	0.337073	0.22827
