 	le	toit	de	ce	hangar	est	incliné	</S>
k	0.543478	0.232855	0.0974773	0.0332335	0.0652369	0.0264979	0.000582554	0.000639046
á	0.0827168	0.686761	0.093093	0.0539332	0.0740486	0.00296838	0.00437666	0.00210238
n	0.0674104	0.564353	0.0788083	0.0598117	0.0958383	0.0218162	0.00790827	0.104054
d	0.215767	0.706904	0.0181236	0.0145029	0.0203068	0.00115985	0.00179271	0.0214431
z	0.176478	0.657054	0.0213056	0.0231799	0.0260399	0.00294619	0.00425892	0.0887369
á	0.0569648	0.699636	0.0305416	0.0384426	0.13031	0.0011373	0.00339508	0.0395727
d	0.155898	0.0399256	0.374423	0.146474	0.0764461	0.172201	0.00298082	0.0316516
í	0.131829	0.0345412	0.0950281	0.207302	0.164184	0.0282047	0.0462215	0.292689
í	0.0209289	0.0158061	0.238653	0.126933	0.165002	0.348233	0.0292273	0.0552171
d	0.0592615	0.0255311	0.0428005	0.0437015	0.0166208	0.623057	0.145459	0.0435685
í	0.00751285	0.00223131	0.0213851	0.0392513	0.00557848	0.372714	0.171025	0.380302
l	0.00500227	0.000983716	0.030759	0.0331142	0.013318	0.368499	0.199595	0.348729
ω	0.00308023	0.00104947	0.0154524	0.0263199	0.00540667	0.187152	0.312209	0.44933
t	0.0037162	0.00247914	0.014155	0.0284343	0.0142948	0.041921	0.842198	0.0528018
ώ	0.00290751	0.00581187	0.00674546	0.0133496	0.032073	0.0173963	0.854196	0.0675205
n	0.000421659	0.000867838	0.00531746	0.0172348	0.0579626	0.0366395	0.852166	0.02939
d	0.00599833	0.00924893	0.0189963	0.0358339	0.0940723	0.0551573	0.718742	0.0619506
ω	0.0203062	0.019796	0.058239	0.0912778	0.110611	0.0962323	0.509999	0.0935395
</S>	0.00288268	0.000410854	0.0108284	0.0204209	0.00843423	0.119711	0.29505	0.542262
