 	le	riz	gonfle	sous	l'	effet	de	le	chaleur	</S>
l	0.78026	0.169111	0.026577	0.00595012	0.0100719	5.98607e-05	0.00203592	0.00546006	0.000253417	0.000220722
ώ	0.29376	0.540818	0.0955718	0.0135747	0.0261591	0.000882659	0.00282873	0.022635	0.0029898	0.000780548
s	0.0368114	0.831899	0.0617089	0.0238368	0.0251378	0.00348603	0.00160224	0.00292316	0.00465081	0.00794396
ω	0.00906511	0.561549	0.0738297	0.0721511	0.0547396	0.0283912	0.00645057	0.00739814	0.0202177	0.166207
w	0.0334335	0.50938	0.0584315	0.0390781	0.056497	0.031305	0.0744976	0.0519616	0.00803043	0.137385
á	0.331223	0.06648	0.028867	0.10148	0.118488	0.0236905	0.111812	0.0978062	0.0084459	0.111706
á	0.135423	0.032269	0.198161	0.33014	0.0922259	0.0574043	0.0213865	0.0211823	0.031312	0.0804956
í	0.0340016	0.0348689	0.619603	0.180192	0.0814771	0.0151645	0.020808	0.0074452	0.000551583	0.00588825
n	0.00824198	0.0357279	0.664523	0.130536	0.0733307	0.0414752	0.0332571	0.0042871	0.00125672	0.00736409
ω	0.0050241	0.0417146	0.77384	0.0606593	0.0819589	0.00423563	0.00347349	0.00889254	0.00575547	0.014446
n	0.0114603	0.236037	0.278657	0.129416	0.298935	0.00775572	0.0159929	0.0101255	0.000758063	0.010863
g	0.0270259	0.0629933	0.158608	0.182935	0.421026	0.027845	0.0218784	0.0318957	0.0211499	0.0446417
í	0.0261656	0.143401	0.269511	0.153554	0.215146	0.00302066	0.00282175	0.0146129	0.0636112	0.108156
m	0.0199548	0.00202824	0.0475677	0.357323	0.500178	0.0204076	0.015206	0.0149592	0.00299743	0.0193786
í	0.0168469	0.000468834	0.00917982	0.109687	0.235135	0.459437	0.0407897	0.0305412	0.0340944	0.0638196
á	0.0151579	0.00348449	0.0608911	0.15937	0.26863	0.359212	0.0462171	0.0176599	0.0302624	0.0391152
l	0.000842721	0.00193506	0.0898652	0.0593974	0.10806	0.396395	0.26103	0.0455228	0.00360963	0.0333422
í	0.000684029	0.00366931	0.125674	0.132092	0.0874325	0.291721	0.116718	0.0518203	0.0260539	0.164135
i	0.0032304	0.00153403	0.0387663	0.234435	0.0701105	0.192154	0.16942	0.139884	0.0495644	0.100901
f	0.000935083	0.000580225	0.00808175	0.0143922	0.0255883	0.25956	0.444963	0.0994804	0.053641	0.0927781
u	0.00104866	0.00568744	0.0126741	0.0873052	0.0163311	0.115446	0.564179	0.0817116	0.0273447	0.0882727
u	0.000584372	0.000407466	0.000393692	0.0104034	0.00872749	0.0572245	0.646686	0.146466	0.0189943	0.110113
l	0.000538691	4.00625e-05	0.000272781	0.00398819	0.00756519	0.0197769	0.288869	0.455155	0.0460412	0.177753
a	0.000498577	5.54774e-05	0.000998105	0.00813318	0.00733259	0.0210275	0.170077	0.359771	0.157655	0.274452
</S>	0.00192343	0.000396315	0.00133823	0.00738394	0.0119988	0.012206	0.0571864	0.225831	0.363422	0.318314
