 	cette	plaie	me	brûle	beaucoup	</S>
p	0.199507	0.793709	0.00579134	0.000620419	0.00032129	5.10699e-05
ó	0.0272183	0.968287	0.00199776	0.000751529	0.00162316	0.000122363
r	0.0942413	0.872341	0.00602773	0.00908599	0.0060425	0.0122616
á	0.141252	0.660712	0.12754	0.0101283	0.0188483	0.0415196
y	0.537603	0.264621	0.144072	0.0285986	0.00285488	0.0222506
é	0.638323	0.0308621	0.226009	0.0290498	0.0296445	0.0461123
y	0.289911	0.0394658	0.511897	0.0690899	0.0576293	0.0320077
é	0.40441	0.0229034	0.268269	0.14225	0.0612183	0.100949
e	0.284009	0.0258127	0.241325	0.178459	0.149225	0.12117
b	0.0303219	0.00719446	0.139272	0.433715	0.0880375	0.30146
a	0.0102613	0.00884947	0.0251524	0.844157	0.0319488	0.0796309
b	0.00686728	0.00950173	0.0152454	0.536984	0.0189913	0.41241
h	0.125506	0.0221596	0.0323679	0.11141	0.138209	0.570348
í	0.0363091	0.0491342	0.0796732	0.182654	0.118149	0.534081
l	0.0239179	0.00577043	0.209038	0.0319931	0.295713	0.433568
á	0.017645	0.00499348	0.0355141	0.0210425	0.526451	0.394354
l	0.0522883	0.00986301	0.145914	0.0164919	0.674374	0.101069
a	0.0420691	0.00376275	0.0595482	0.00554262	0.618312	0.270765
n	0.0596586	0.00746959	0.0201962	0.0114152	0.736146	0.165115
g	0.066236	0.00245416	0.410146	0.00689739	0.296777	0.217489
á	0.00420002	0.00185253	0.665084	0.0047742	0.113481	0.210609
</S>	0.0430677	0.0164697	0.0400866	0.0701873	0.531881	0.298307
