 	la	mère	a	gardé	du	jus	d'	ananas	pour	son	enfant	</S>
n	0.894177	0.0843386	0.00456047	0.00463758	0.00468808	0.000810707	0.0033804	0.000747671	0.0010053	0.0014547	0.000159027	4.07384e-05
g	0.253616	0.744982	0.000981185	4.88153e-05	0.000138816	5.6573e-05	8.73461e-05	3.32664e-06	2.2998e-05	5.26591e-05	7.59419e-06	1.88973e-06
ó	0.0336218	0.963608	0.00181343	0.000351698	0.000239719	9.74621e-05	5.49644e-05	2.8896e-05	4.78304e-05	3.14656e-05	0.000102881	2.07705e-06
o	0.013202	0.985449	0.0001684	0.000591314	0.000260321	7.44291e-05	2.72002e-05	4.77085e-05	1.85224e-05	2.00065e-05	0.000101194	3.98834e-05
á	0.102692	0.0895982	0.707561	0.060688	0.00813707	0.00457711	0.00558446	0.00100916	0.0027228	0.00452128	0.0021125	0.0107965
b	0.00720555	0.01039	0.486024	0.398791	0.0424299	0.0162712	0.00435175	0.00542733	0.0091459	0.00240688	0.00120468	0.016351
ó	0.00131514	0.000338311	0.0953588	0.800173	0.0624367	0.00999235	0.00526457	0.0110058	0.00463254	0.00234042	0.000524413	0.00661774
m	0.0256891	0.00627484	0.178415	0.578771	0.14583	0.0168024	0.0172331	0.0081506	0.00909564	0.00440382	0.000863035	0.00847075
b	0.0470197	0.00110098	0.10786	0.299608	0.209801	0.191462	0.0766115	0.00895165	0.0114989	0.0278406	0.00785445	0.0103918
i	0.0594393	0.00022358	0.0957138	0.414544	0.24585	0.04559	0.0430339	0.0286491	0.0201996	0.00345668	0.00135257	0.0419473
m	0.0203044	0.00115536	0.0809851	0.0862914	0.414285	0.192429	0.123585	0.0106161	0.0160793	0.0243558	0.0178175	0.0120965
w	0.00972601	7.54458e-05	0.0107635	0.0454557	0.115122	0.312311	0.0187911	0.00263169	0.00826714	0.00235244	0.46711	0.00739348
á	0.000750612	1.86204e-05	0.00189291	0.0215357	0.10214	0.225675	0.0169901	0.00546885	0.00738768	0.00317949	0.61222	0.00274072
n	0.0217426	0.000127879	0.00773267	0.0533722	0.088763	0.129341	0.0198641	0.00159769	0.0142424	0.00351719	0.649231	0.0104689
a	0.0449991	0.000311056	0.0478001	0.0307408	0.212455	0.48235	0.0257923	0.00187226	0.0089205	0.0105055	0.0903357	0.0439174
s	0.00315465	7.72778e-05	0.0179631	0.0120849	0.154615	0.386686	0.324486	0.0418115	0.0262045	0.0186909	0.00189438	0.0123311
ú	0.00911482	3.31446e-05	0.00447738	0.00459522	0.151088	0.403324	0.218668	0.0646076	0.0241705	0.0310726	0.00946556	0.0793836
b	0.000800509	4.69465e-06	0.00168199	0.000866431	0.0447078	0.44283	0.37463	0.0282257	0.0236898	0.0470945	0.00775014	0.027718
h	0.00219217	1.10259e-05	0.0033473	0.00903063	0.155223	0.0622671	0.211596	0.391374	0.0668548	0.0266932	0.000661706	0.0707496
u	0.000996252	5.62997e-06	0.000700142	0.0139487	0.0890843	0.0790002	0.227008	0.372822	0.101612	0.0138648	0.00153894	0.0994192
l	6.30319e-05	6.69361e-07	0.000396707	0.00193437	0.0303431	0.0937401	0.354661	0.282126	0.129642	0.0612804	0.00123585	0.0445776
é	0.00109798	5.34875e-06	0.00224639	0.00260728	0.0351528	0.110307	0.286556	0.128146	0.161412	0.0790378	0.0050078	0.188424
t	0.000635213	2.32681e-05	0.000802759	0.000855091	0.00902393	0.0289012	0.136483	0.177191	0.225409	0.304698	0.0142592	0.101718
o	0.000341149	4.31844e-05	0.000764158	0.000731522	0.0139159	0.00904825	0.0527983	0.639036	0.0876009	0.118091	0.00400334	0.0736262
ó	8.32696e-05	1.64338e-06	0.000588073	0.00150968	0.0078175	0.0174089	0.0525775	0.480936	0.211873	0.0744564	0.00907689	0.143671
</S>	0.00020994	1.81946e-06	0.00476452	0.00353474	0.00339875	0.0127742	0.0361212	0.0151371	0.362045	0.288307	0.0128527	0.260854
