 	cette	femme	est	la	co-épouse	de	notre	mère	</S>
o	0.866472	0.0463287	0.00849149	0.0130591	0.00694498	0.0335577	0.0242066	0.000367989	0.000571261
y	0.146208	0.843668	0.00542304	0.00215939	0.000387991	0.000216402	0.000386006	0.000869601	0.000681328
ú	0.845358	0.151815	0.000482534	0.00101167	0.000410907	0.000201306	0.000224288	0.000434141	6.21509e-05
r	0.987184	0.0079474	0.000247944	0.00092696	0.000342328	0.000303616	0.00117253	0.00127288	0.000602292
u	0.927322	0.053104	0.00337215	0.00480787	0.00225238	0.00172141	0.00251957	0.00177557	0.0031251
w	0.202892	0.16738	0.367902	0.095418	0.0378963	0.0360811	0.0235477	0.00507663	0.0638063
ó	0.236952	0.178997	0.203613	0.138835	0.0519149	0.0397687	0.0200343	0.028967	0.100917
a	0.0198404	0.00605718	0.639621	0.230418	0.0334165	0.0213025	0.00507629	0.00596172	0.038306
d	0.0112167	0.000944468	0.341872	0.433436	0.0788545	0.0341432	0.00687258	0.0059571	0.0867039
í	0.0219847	0.000702729	0.230705	0.37673	0.231719	0.0174121	0.00171269	0.00471392	0.11432
m	0.0993663	0.000217769	0.168257	0.426672	0.153119	0.0504746	0.00738632	0.00487594	0.0896302
b	0.00571556	0.00372638	0.0618924	0.15038	0.614908	0.101898	0.0104773	0.0404387	0.0105638
a	0.00409816	0.000307679	0.0360268	0.186902	0.566692	0.154392	0.0107368	0.0169754	0.0238688
n	0.012553	0.000423915	0.0380824	0.137813	0.368398	0.324644	0.0671863	0.0144055	0.0364939
d	0.0163516	0.00159354	0.0148773	0.110729	0.548792	0.136298	0.0301709	0.038553	0.102636
a	0.00789937	0.00276857	0.0138385	0.0520949	0.39028	0.161025	0.0417704	0.219684	0.11064
y	0.00447009	0.000101834	0.0395992	0.0953236	0.125174	0.307282	0.152085	0.11357	0.162393
a	0.0308295	0.00111994	0.0517211	0.0819206	0.158555	0.409729	0.0699677	0.144983	0.0511738
n	0.00503805	5.96589e-05	0.0105549	0.033099	0.0414636	0.33054	0.393821	0.0990377	0.0863861
g	0.00910356	0.000768274	0.000967054	0.00574605	0.0267852	0.0838839	0.299049	0.489921	0.0837758
ó	0.00173357	0.00285396	0.0015252	0.00430385	0.0162678	0.0402667	0.0508608	0.814737	0.0674507
o	0.000245734	7.42956e-05	0.0102998	0.0136832	0.0216527	0.106349	0.0455647	0.553828	0.248302
y	0.00119933	7.65268e-05	0.0119402	0.011234	0.00886328	0.0981975	0.10849	0.198972	0.561027
a	0.00635946	0.000853496	0.00982252	0.0196672	0.0181625	0.0903914	0.416421	0.371736	0.0665864
b	0.00140717	0.000167063	0.000908277	0.00303368	0.00145553	0.0161352	0.904332	0.0218226	0.0507381
í	0.00128115	0.00122859	0.00294598	0.00743834	0.00677846	0.0891422	0.780718	0.0762352	0.0342317
s	0.000912453	0.000106215	0.00129126	0.00384055	0.00890422	0.104613	0.635765	0.0336306	0.210936
í	0.000582113	1.55915e-05	0.000740682	0.00202931	0.00312181	0.0743637	0.161384	0.0709406	0.686822
</S>	0.00319454	9.5329e-05	0.0110583	0.00888836	0.0054604	0.0460009	0.193938	0.0345179	0.696846
