 	il	est	très	bavard	</S>
w	0.988182	0.00643935	0.00366058	0.00138499	0.000332671
a	0.986655	0.002751	0.00359897	0.00659164	0.000403185
a	0.358904	0.566647	0.053429	0.00151931	0.0195012
p	0.166626	0.56579	0.169155	0.0421318	0.0562967
é	0.0108742	0.41703	0.250263	0.0828475	0.238985
n	0.0175271	0.361309	0.357478	0.148168	0.115517
d	0.0953662	0.267729	0.435575	0.0965097	0.10482
í	0.148583	0.246379	0.503833	0.0391093	0.0620956
l	0.116357	0.0420976	0.187243	0.514498	0.139804
o	0.0131602	0.0380583	0.242568	0.561248	0.144966
b	0.0483096	0.0367562	0.17524	0.555183	0.184511
h	0.00475902	0.0339698	0.40751	0.452167	0.101594
ó	0.000756918	0.0159646	0.2025	0.406881	0.373897
</S>	0.000425566	0.0140136	0.197248	0.0915904	0.696723
