 	il	a	débarrassé	la	cendre	à	l'	aide	de	l'	écorce	du	bananier	</S>
w	0.937202	0.0522709	0.00292748	0.00111759	0.000524895	0.000888561	0.00117041	0.000752734	0.00126685	0.000855683	0.000110526	0.000740686	0.000143737	2.79887e-05
a	0.766852	0.185119	0.00842954	0.0155812	0.00264961	0.00525607	0.00499217	0.00142641	0.00307385	0.00255229	8.20665e-05	0.00293541	0.00103689	1.28037e-05
á	0.101535	0.734897	0.114927	0.0303329	0.00129878	0.00309769	0.00147725	0.000605893	0.00202261	0.00418386	0.000509843	0.00421309	0.000189507	0.000709869
t	0.00708042	0.0967837	0.8726	0.00991802	0.00404963	0.00128731	0.000432399	0.000262703	0.000455294	0.000609766	0.00195912	0.00197117	0.000296141	0.00229467
ó	0.00233363	0.0488317	0.867882	0.0301536	0.00960502	0.00305759	0.00160469	0.000868907	0.00113603	0.00178433	0.0142489	0.00321278	0.00172149	0.0135592
r	0.00287271	0.0279158	0.763111	0.109466	0.040676	0.0127086	0.0097193	0.00138699	0.00206206	0.00359479	0.0129589	0.00563929	0.00419695	0.00369082
i	0.059625	0.122632	0.415914	0.17761	0.0272493	0.0475175	0.0283438	0.0122724	0.0173322	0.017601	0.0232211	0.00663935	0.00306152	0.0409816
o	0.101923	0.107389	0.0726206	0.277505	0.0328635	0.122204	0.0582502	0.0543467	0.0702365	0.0744853	0.00906203	0.00900129	0.0020432	0.00807001
b	0.000242293	0.000765843	0.00291436	0.115512	0.730662	0.0436207	0.0235605	0.0124432	0.010289	0.0124667	0.0328556	0.00259712	0.00916715	0.00290322
v	0.000195702	0.000605165	0.00331732	0.033506	0.878971	0.0280288	0.0163204	0.0173438	0.00797788	0.00478247	0.00402421	0.000828403	0.00147332	0.00262557
u	4.50756e-05	0.00036326	0.00721844	0.036927	0.885075	0.0192318	0.0101734	0.0170759	0.00694969	0.00479372	0.00914579	0.00112378	0.00127378	0.000602933
l	0.0029678	0.00900449	0.00951827	0.139033	0.36626	0.188027	0.0566283	0.0385171	0.0273866	0.0320837	0.0713133	0.0155286	0.0104411	0.033291
ú	0.000476804	0.000297415	4.97972e-05	0.0624052	0.108628	0.217677	0.0980473	0.123292	0.17931	0.110748	0.0217892	0.0316573	0.00956522	0.0360562
m	0.00026664	0.000344541	6.18789e-05	0.0705336	0.0661955	0.204736	0.151096	0.130856	0.115796	0.13433	0.0458025	0.0561406	0.00771335	0.0161273
é	0.00111585	0.000400792	0.000182039	0.0280691	0.156248	0.135506	0.104595	0.172098	0.185329	0.110912	0.00612315	0.0243842	0.00403123	0.0710056
p	0.000148735	0.000142633	8.96087e-05	0.0246117	0.0577184	0.0444518	0.0834854	0.0935052	0.0905289	0.135337	0.234277	0.0941385	0.130745	0.0108204
ω	0.000186097	0.000505257	0.000171839	0.00411325	0.00841768	0.00838641	0.0102246	0.0083864	0.0089407	0.0212921	0.673586	0.0365256	0.208458	0.0108059
l	1.97469e-05	3.30528e-05	0.000110503	0.00139381	0.0104285	0.00798581	0.0215385	0.0155793	0.010394	0.0226991	0.505964	0.032647	0.360639	0.0105679
ω	3.22936e-05	6.94662e-05	0.000994319	0.00424433	0.0223132	0.0180834	0.0286269	0.0314687	0.0274231	0.0492281	0.399607	0.075293	0.22713	0.115486
y	0.000129762	0.000213796	2.68309e-05	0.0079328	0.00170796	0.0228311	0.0206614	0.0530829	0.0816188	0.101246	0.0637364	0.40051	0.0485612	0.197741
í	0.00367024	0.00402479	0.000119668	0.0332037	0.00629954	0.031519	0.0388508	0.03988	0.0680081	0.0938611	0.0522003	0.162959	0.252637	0.212767
k	0.00121231	0.000858751	0.000107862	0.00571972	0.00206495	0.00702399	0.0109978	0.0116071	0.0300501	0.042513	0.0242555	0.152128	0.510134	0.201327
ω	6.91653e-05	7.838e-05	0.000122095	0.00083872	0.00191489	0.00183088	0.00414689	0.00247478	0.0019488	0.0033699	0.0850107	0.0391104	0.830727	0.0283573
</S>	1.93868e-05	6.2087e-05	0.000674425	0.000405419	0.00473739	0.00154165	0.00265277	0.00181174	0.00175076	0.00432569	0.217902	0.026986	0.718764	0.0183664
