 	j'	ai	mangé	du	foufou	avec	le	saka-saka	</S>
n	0.753366	0.0845532	0.0292277	0.0608911	0.023055	0.0422917	0.00414244	0.00224374	0.000229552
g	0.821118	0.169005	0.00218097	0.00496159	9.54229e-05	0.000286989	0.00218001	0.000114795	5.74127e-05
í	0.597636	0.370195	0.0141865	0.0132851	0.000168393	0.000907309	0.00312814	0.000416642	7.74912e-05
d	0.0559334	0.106611	0.0616276	0.33394	0.0500427	0.0813072	0.160969	0.0429266	0.106642
z	0.0213072	0.0349551	0.718047	0.0195344	0.00119943	0.012986	0.023456	0.0134307	0.155084
é	0.348593	0.436722	0.197917	0.00874619	0.000268976	0.0011513	0.00264464	0.00129235	0.00266436
e	0.0351666	0.0584129	0.171509	0.421662	0.16836	0.032812	0.0230442	0.0178102	0.0712239
f	0.00208149	0.0294669	0.0636122	0.294284	0.486033	0.0589121	0.0206902	0.0122704	0.0326496
u	0.000121555	0.00457174	0.0631924	0.24908	0.351578	0.203758	0.0216603	0.0702704	0.0357672
f	0.00015374	0.000407114	0.00841327	0.192479	0.701351	0.0703012	0.0126954	0.00825378	0.00594559
ú	5.76752e-05	7.19744e-05	0.00282824	0.027552	0.875099	0.0528123	0.00869426	0.0235204	0.00936445
l	0.000168649	0.00151533	0.00211779	0.0632997	0.0426025	0.243855	0.602946	0.0287295	0.0147648
a	0.000410493	0.00202846	0.0195745	0.0773998	0.15452	0.311228	0.127537	0.117168	0.190133
y	0.000183766	0.000829502	0.00304677	0.006336	0.0269356	0.14791	0.187824	0.424844	0.20209
a	0.00130718	0.0048536	0.0546004	0.0231298	0.0435326	0.152991	0.304234	0.314323	0.101029
a	0.000119371	0.00054142	0.00562588	0.0079464	0.00996568	0.113409	0.347332	0.436038	0.0790226
</S>	2.99671e-05	0.000501291	0.00415782	0.00936063	0.00479971	0.0517824	0.276719	0.313936	0.338713
