 	il	a	eu	un	accident	</S>
w	0.777123	0.202863	0.0102496	0.00898032	0.000680223	0.000103793
a	0.860263	0.118711	0.00246726	0.0149513	0.00331734	0.000289423
á	0.186242	0.566993	0.166014	0.0659364	0.00825127	0.00656361
m	0.0298363	0.464783	0.362186	0.065272	0.0443539	0.0335687
i	0.0133957	0.127385	0.411062	0.261401	0.0678653	0.118892
t	0.0107542	0.0469621	0.328151	0.261738	0.265849	0.0865459
ώ	0.00991249	0.0303759	0.187542	0.317698	0.349262	0.105209
ώ	0.0422989	0.175269	0.468913	0.241087	0.0322602	0.0401717
i	0.0259192	0.0205341	0.172412	0.501258	0.210234	0.0696432
k	0.00994635	0.0166239	0.0566724	0.258878	0.634246	0.0236337
á	0.00378511	0.00406062	0.0175955	0.0516151	0.864891	0.0580525
m	0.00426204	0.0132436	0.0981795	0.0619094	0.688024	0.134382
b	0.00418659	0.0043166	0.0399803	0.0511618	0.243099	0.657256
í	0.0595659	0.0245905	0.0853942	0.156689	0.476414	0.197346
</S>	0.0171957	0.0210934	0.199566	0.159864	0.0666956	0.535585
