 	il	est	à	bout	de	forces	</S>
w	0.718549	0.148273	0.076418	0.0286051	0.0239633	0.00252856	0.00166286
a	0.757686	0.111554	0.0281697	0.025948	0.072246	0.00374129	0.000654764
á	0.0854339	0.591669	0.229196	0.0337177	0.026284	0.00302936	0.0306697
m	0.0469753	0.525204	0.281181	0.0817177	0.0309455	0.00649058	0.0274862
i	0.0153057	0.268594	0.354403	0.183202	0.0737361	0.00694084	0.0978179
s	0.00694188	0.159553	0.334089	0.332894	0.0600507	0.0390803	0.0673907
á	0.00106498	0.226103	0.274853	0.317703	0.0355466	0.0762248	0.0685038
á	0.0104584	0.0854908	0.243141	0.255981	0.0566714	0.0576235	0.290634
o	0.0309872	0.0466323	0.228969	0.279805	0.329499	0.0690647	0.015042
s	0.00205035	0.00739899	0.0208295	0.096219	0.0430861	0.810686	0.0197303
ú	0.000523583	0.046902	0.0759015	0.192118	0.0940254	0.570505	0.020024
a	0.0032996	0.0327059	0.0619813	0.112939	0.113375	0.460458	0.215241
</S>	0.00509898	0.00887248	0.0835264	0.109059	0.176101	0.0780909	0.53925
