 	mon	beau-frère	consomme	la	banane	plan	tain	comme	aliment	de	base	</S>
b	0.158023	0.656943	0.0247887	0.0396454	0.0938208	0.017704	0.0019375	0.00173162	0.000710224	0.00411542	0.00039014	0.000190134
v	0.190882	0.528289	0.0199411	0.0441048	0.0633962	0.0524277	0.00234186	0.0085542	0.000668759	0.00843854	0.0796027	0.00135325
ú	0.0079067	0.605976	0.0665541	0.0525476	0.0249946	0.120463	0.00810707	0.0240545	0.00736188	0.0029173	0.0789489	0.0001683
ε	0.037664	0.872773	0.0270394	0.0242423	0.0037109	0.00276461	0.000784859	0.00351522	0.00425521	0.00534705	0.00693993	0.010963
b	0.234903	0.464674	0.0421175	0.0489891	0.0224268	0.00678192	0.00438767	0.0185979	0.00745278	0.0537642	0.00311642	0.0927885
á	0.346972	0.510479	0.0183079	0.0389619	0.0159024	0.0135554	0.00199671	0.00212647	0.00528006	0.0176559	0.00449436	0.0242675
n	0.856175	0.0175521	0.0351761	0.0321594	0.0239854	0.0124072	0.00297181	0.00462957	0.000871967	0.00711339	0.00266873	0.00428928
g	0.959223	0.0018735	0.0110867	0.00712598	0.00147238	0.00206401	0.00109646	0.00319979	0.000215585	0.00292423	0.00169637	0.00802174
á	0.65007	0.00669672	0.159441	0.0898953	0.0225164	0.0203063	0.00471486	0.0216509	0.00150779	0.00482605	0.00577889	0.012595
b	0.0737792	0.0317232	0.179946	0.321266	0.156975	0.123544	0.0320445	0.0170147	0.0117713	0.0244954	0.0034859	0.0239551
ó	0.213424	0.0565968	0.12851	0.136923	0.164252	0.172718	0.0188649	0.0273271	0.00379642	0.0296457	0.0270161	0.0209249
o	0.311586	0.0201826	0.0645315	0.11627	0.175682	0.192933	0.0710971	0.0149602	0.00357403	0.0177035	0.00290136	0.00857858
d	0.0298893	0.0102635	0.296025	0.0717211	0.0137457	0.0955218	0.371886	0.0502783	0.0363407	0.00389644	0.000654925	0.0197765
z	0.00808416	0.00280137	0.55759	0.0306399	0.00285648	0.0174274	0.287973	0.0503897	0.00857005	0.00862504	0.00147823	0.0235644
á	0.0752018	0.00104629	0.656287	0.0421572	0.00461772	0.0199958	0.12796	0.0521465	0.0021339	0.00576546	0.000443795	0.0122447
á	0.0738771	0.000704415	0.015067	0.0961427	0.160198	0.0259928	0.15685	0.169949	0.0606989	0.102438	0.0931184	0.0449642
a	0.0137495	0.00174457	0.00672655	0.0152999	0.0111349	0.007678	0.156475	0.260878	0.0604033	0.174698	0.247681	0.0435319
k	0.0166511	0.0132111	0.0348224	0.0149324	0.00451582	0.009831	0.0450635	0.0861629	0.339289	0.135156	0.255763	0.0446013
ω	0.000731055	0.017279	0.01003	0.0100766	0.00559294	0.0121958	0.010613	0.0333135	0.731625	0.0596938	0.0832586	0.0255907
l	0.000197716	0.00255198	0.00122604	0.00892446	0.0217135	0.00916984	0.00152674	0.0112917	0.85819	0.0465886	0.0272311	0.011388
a	0.00196923	0.00482546	0.00344233	0.00937286	0.00312544	0.00355322	0.0182122	0.123222	0.500683	0.138456	0.0580232	0.135116
b	0.00416136	0.000368629	0.00171048	0.00536977	0.00343659	0.000490347	0.00510422	0.0245538	0.018707	0.383696	0.273733	0.278668
e	0.0211056	0.0233418	0.00782585	0.018812	0.00378321	0.00283298	0.00600699	0.00767525	0.0180111	0.122967	0.713701	0.0539378
a	0.00122637	0.000469416	0.000932723	0.00775841	0.00327975	0.000185606	0.000487701	0.0143513	0.00744634	0.178514	0.721521	0.0638278
</S>	0.00429428	0.000419105	0.00370371	0.00672333	0.00131578	0.000438928	0.0146017	0.0382901	0.00782922	0.397038	0.201407	0.323939
