 	on	enflamme	amadou	</S>
b	0.767228	0.230838	0.00150023	0.000433173
á	0.655719	0.246261	0.0549472	0.043073
a	0.785731	0.16941	0.00648815	0.0383703
t	0.584744	0.28201	0.00625526	0.12699
u	0.0396571	0.426738	0.0526888	0.480916
m	0.0528411	0.613098	0.0321147	0.301946
b	0.214481	0.613426	0.0849057	0.0871871
á	0.148993	0.288759	0.170535	0.391714
a	0.272157	0.1403	0.49565	0.0918927
m	0.0765671	0.141959	0.552836	0.228637
a	0.0063506	0.105671	0.695839	0.19214
d	0.0164673	0.0408394	0.25975	0.682944
ú	0.00458309	0.0185043	0.237294	0.739619
</S>	0.00904363	0.0627107	0.209192	0.719054
