 	le	bord	de	son	pagne	est	usé	</S>
i	0.685292	0.187372	0.0839718	0.033557	0.00444003	0.00436209	0.000565881	0.000439676
t	0.15132	0.724766	0.0546194	0.0184089	0.0274797	0.00241222	0.0174095	0.00358405
ú	0.019847	0.660728	0.0369783	0.0355634	0.239767	0.000796366	0.00371296	0.00260755
e	0.112881	0.662729	0.0859069	0.0405567	0.075502	0.00368723	0.00420543	0.0145316
l	0.326707	0.0864797	0.353918	0.0768424	0.0266608	0.0277014	0.00138777	0.100303
o	0.257378	0.0312186	0.14522	0.145928	0.0350664	0.0484825	0.00766797	0.329039
k	0.37443	0.0350013	0.149467	0.278248	0.0874212	0.0159675	0.00260975	0.0568542
á	0.0680928	0.0823189	0.149948	0.281833	0.367674	0.00748613	0.0104038	0.0322439
n	0.0106251	0.0578437	0.0965921	0.30391	0.418852	0.00668054	0.0224221	0.0830748
d	0.0787947	0.0253638	0.172084	0.47851	0.0553604	0.0088956	0.00377919	0.177212
á	0.0934534	0.0184358	0.183954	0.405208	0.0334909	0.0155901	0.00227278	0.247595
á	0.039806	0.00834186	0.327323	0.248173	0.105334	0.231888	0.00881353	0.0303209
w	0.0106617	0.00648372	0.148067	0.230675	0.0350806	0.467498	0.0688126	0.0327218
a	0.00350097	0.0165992	0.107708	0.363448	0.217796	0.167036	0.0578046	0.0661069
í	0.00286991	0.00276078	0.0807021	0.112863	0.413599	0.287386	0.0196908	0.0801288
m	0.00511836	0.00261558	0.0360416	0.0361965	0.0136355	0.62648	0.150611	0.129301
i	0.0155805	0.00249519	0.0192102	0.031179	0.0183247	0.377766	0.369999	0.165445
b	0.0147541	0.00383632	0.0173557	0.0239785	0.0127056	0.232319	0.5696	0.125451
é	0.00926167	0.00844638	0.0159076	0.0410496	0.035359	0.0404149	0.822425	0.0271356
b	0.000406785	0.00410083	0.00840939	0.0658091	0.240895	0.0334922	0.461118	0.185768
h	0.00237694	0.00289683	0.0101939	0.0681862	0.0319727	0.116422	0.469736	0.298216
a	0.00704049	0.0111661	0.0280146	0.100149	0.085582	0.0603735	0.353723	0.353951
</S>	0.00202646	0.00307525	0.0170629	0.0182688	0.0263699	0.259454	0.10017	0.573572
