 	tout	s'	était	passé	comme	le	chef	l'	avait	prédit	</S>
p	0.65733	0.319668	0.0019203	0.00263178	0.00457766	0.0108035	0.000870943	0.00124646	0.000778732	0.000151861	2.08315e-05
ώ	0.664157	0.238078	0.0185202	0.0081165	0.00984403	0.0141695	0.0247393	0.00768657	0.00633581	0.00489358	0.00345957
ω	0.215757	0.321439	0.0261951	0.0395018	0.0491284	0.0744026	0.0373194	0.102361	0.0236292	0.0682888	0.0419777
é	0.208459	0.466157	0.157305	0.069259	0.0175046	0.0142659	0.00204473	0.0140448	0.0104194	0.00141274	0.0391273
t	0.00695789	0.0890929	0.686881	0.166219	0.0222354	0.00503486	0.00245023	0.00370281	0.00427938	0.00275317	0.0103928
s	0.00381817	0.0408909	0.444608	0.405747	0.0573908	0.0117399	0.0168115	0.00353415	0.00271007	0.00221928	0.0105302
ω	0.042408	0.129836	0.186635	0.3819	0.134345	0.0385115	0.034664	0.0204714	0.00989717	0.00248224	0.01885
á	0.0469083	0.147727	0.0855806	0.427816	0.139076	0.0603273	0.00613928	0.0272418	0.0100987	0.00378109	0.0453032
k	0.0111185	0.0279069	0.0528027	0.462104	0.288235	0.0986022	0.0109071	0.0125153	0.0100805	0.0062938	0.0194346
y	0.00322035	0.00702572	0.0138662	0.235766	0.29407	0.15305	0.229414	0.027226	0.00532416	0.00570244	0.0253349
e	0.00392573	0.00651418	0.0261128	0.194954	0.340377	0.0961439	0.275775	0.0224616	0.00747507	0.0031985	0.0230625
e	0.00123958	0.00736746	0.0293672	0.168757	0.176207	0.0806256	0.263339	0.0310011	0.0142193	0.0098736	0.218004
m	0.00175249	0.00396047	0.0043076	0.164006	0.413865	0.302201	0.0525987	0.0266763	0.00817999	0.00182781	0.0206255
á	0.00531818	0.00412406	0.00177731	0.0141487	0.412903	0.271349	0.0271719	0.200157	0.0288393	0.000213194	0.0339991
n	0.00485408	0.00490549	0.0037656	0.0415412	0.194402	0.379836	0.246882	0.0774395	0.010427	0.0145141	0.0214337
d	0.0023078	0.00481763	0.000522759	0.0365997	0.164822	0.311085	0.0470121	0.0784343	0.00769871	0.286289	0.0604105
é	0.000627608	0.00127067	0.00057781	0.0108651	0.046517	0.144923	0.0992767	0.036247	0.00392917	0.625122	0.030644
n	0.000297552	0.00104126	0.00170138	0.0526806	0.0974872	0.24135	0.25899	0.138338	0.0132046	0.11514	0.0797697
g	0.000625025	0.00273196	0.00108243	0.0428489	0.121525	0.285741	0.354206	0.108367	0.0116101	0.0267804	0.0444812
é	0.00399566	0.00234406	0.000398156	0.0147522	0.0691449	0.14552	0.512888	0.13459	0.00402614	0.0801869	0.032154
y	0.00211019	0.00200279	0.000257339	0.017738	0.0496342	0.2382	0.107275	0.458561	0.0531365	0.0258429	0.0452416
á	0.00868594	0.0140645	0.00298679	0.0160004	0.0554714	0.198187	0.0604637	0.453723	0.0632601	0.057167	0.0699895
á	0.00693554	0.00859045	0.00224902	0.0154504	0.0362532	0.10325	0.0400913	0.390021	0.251877	0.110004	0.0352769
s	0.00363984	0.00576386	0.0130138	0.0345648	0.0393813	0.0429919	0.0278073	0.132749	0.180581	0.41394	0.105568
ε	8.65721e-05	0.000503976	0.00687807	0.0151964	0.0201194	0.0106422	0.00166048	0.0502158	0.0537871	0.712085	0.128825
r	2.39987e-05	5.65401e-05	0.000452156	0.0075827	0.0282824	0.0506706	0.0377799	0.218585	0.0657781	0.179585	0.411203
έ	4.10725e-05	9.49513e-05	0.000142019	0.00248254	0.0148626	0.0625256	0.103827	0.276628	0.120178	0.248135	0.171083
o	0.00015771	0.000367602	0.000158236	0.00206576	0.0101954	0.0308364	0.00784201	0.300589	0.380636	0.0884898	0.178661
k	0.000127811	0.000885993	0.00211538	0.0104167	0.0244226	0.0181016	0.0426811	0.0410514	0.0801014	0.497948	0.282148
o	0.000131134	0.000840456	0.00163289	0.0161868	0.0408485	0.0631938	0.357233	0.0515435	0.053833	0.193476	0.221081
n	0.000137984	0.000719972	0.00107033	0.0109196	0.0393793	0.0247349	0.587111	0.0315988	0.0187328	0.185094	0.100502
d	0.00065799	0.00138293	0.00111086	0.00753834	0.0185132	0.0186124	0.574866	0.062828	0.0121999	0.117755	0.184535
z	0.000281286	0.000291173	0.000193778	0.00156917	0.0088588	0.0127481	0.556223	0.0707493	0.00817007	0.0498962	0.291019
i	0.000247168	0.000193001	0.000186273	0.00107089	0.00634447	0.0107315	0.438839	0.116688	0.0139124	0.0852703	0.326517
l	0.00114586	0.00176357	0.000334921	0.00303684	0.00453374	0.00847505	0.00497269	0.0772119	0.106819	0.0989972	0.692709
a	0.00102038	0.00158175	0.000957086	0.0122676	0.0148278	0.0204412	0.00608357	0.0422471	0.11059	0.224107	0.565877
b	0.00159344	0.000732065	0.00027199	0.00185616	0.0056054	0.0231323	0.00325597	0.0743906	0.326962	0.281099	0.281102
á	0.00500843	0.00680472	0.000547116	0.00328093	0.0163537	0.0452464	0.00340822	0.0430584	0.775404	0.0303869	0.0705012
a	0.010549	0.00809821	0.000393518	0.0036808	0.0236289	0.0351169	0.000432378	0.0627759	0.761911	0.0111436	0.0822694
</S>	0.000773018	0.00111953	0.000529964	0.00366109	0.00459862	0.00517099	0.000476132	0.0253292	0.179864	0.0980018	0.680476
