 	cette	femme	malpropre	laisse	des	vêtements	ça	et	là	dans	la	parcelle	</S>
o	0.721696	0.0378822	0.00595595	0.0433392	0.0655371	0.0675938	0.0163885	0.0129104	0.0157735	0.00780944	0.00463354	0.0002284	0.000251654
y	0.0666565	0.905047	0.00429004	0.00134321	0.00246098	0.012232	0.00135988	0.0022927	0.00051422	0.000596368	0.00108139	0.001475	0.000651094
u	0.636676	0.317035	0.0226918	0.00740174	0.00354898	0.00876594	0.00115059	0.00113806	0.000351539	0.000493185	0.000159319	0.000440446	0.000146974
r	0.558713	0.183588	0.0834159	0.0517375	0.0284223	0.014979	0.00492006	0.0171032	0.0037722	0.00923476	0.00561006	0.025524	0.0129798
u	0.621698	0.076712	0.0258416	0.0906571	0.0757911	0.0475956	0.00890684	0.027423	0.00941976	0.00537182	0.00351926	0.00324847	0.00381554
y	0.564769	0.236899	0.0502372	0.0316632	0.0194292	0.0101961	0.0173583	0.0118067	0.0138493	0.0127022	0.0087338	0.00230537	0.0200514
a	0.216814	0.0380018	0.0673699	0.0928804	0.1736	0.0820711	0.0848351	0.0704364	0.0169518	0.0164555	0.0245069	0.0409148	0.075162
o	0.566834	0.0321305	0.0486945	0.0664847	0.0804474	0.0576902	0.0449826	0.0259692	0.00930707	0.00780257	0.0126866	0.010697	0.036274
f	0.0610255	0.134196	0.589352	0.071549	0.0288129	0.0272789	0.0204358	0.0196723	0.0145478	0.00940647	0.00380683	0.0015307	0.018386
u	0.0672088	0.00979097	0.552803	0.111687	0.0573288	0.068767	0.0307757	0.0226543	0.029377	0.0111833	0.00402729	0.00102646	0.0333708
l	0.207775	0.00953071	0.378507	0.176849	0.0474105	0.044342	0.0151959	0.0336576	0.0393991	0.0175826	0.00513172	0.00349359	0.0211258
ú	0.300359	0.00180158	0.0621761	0.24669	0.121877	0.116864	0.0290195	0.027264	0.0400766	0.0195782	0.0127567	0.00781269	0.0137243
w	0.0452223	0.00132912	0.141049	0.481986	0.212426	0.0546143	0.0249762	0.0106866	0.00762301	0.00843904	0.0055003	0.000901692	0.00524714
ó	0.0680711	0.00155981	0.0658204	0.201822	0.156761	0.190554	0.106366	0.0506219	0.0549287	0.0243136	0.0225298	0.00621956	0.0504317
l	0.0149088	0.000586204	0.180087	0.225419	0.17679	0.13144	0.0997287	0.0295991	0.0192383	0.0209003	0.0215471	0.0092154	0.0705396
á	0.00589807	0.000393626	0.0758812	0.0674177	0.0802421	0.0678927	0.0797617	0.0579314	0.0361981	0.0702944	0.0582351	0.0243703	0.375484
a	0.0106041	0.000914548	0.10361	0.114842	0.274735	0.243544	0.0931846	0.0515492	0.0185466	0.0176288	0.0182686	0.00964877	0.0429238
y	0.00477303	0.00913959	0.254814	0.17081	0.151507	0.183199	0.101259	0.0558904	0.0293112	0.0163888	0.00432436	0.001273	0.0173123
í	0.00730898	0.00682072	0.316744	0.145263	0.180642	0.226689	0.0413253	0.0391999	0.00676496	0.00752619	0.00357843	0.00357718	0.0145603
á	0.0040752	0.000386986	0.12656	0.141077	0.136065	0.315245	0.104232	0.0488076	0.015113	0.0181362	0.0129736	0.00684587	0.070482
i	0.00071388	0.000180337	0.0162546	0.082145	0.165957	0.202505	0.195197	0.174368	0.0838315	0.0443815	0.0209823	0.00476765	0.00871569
k	0.00164018	0.000652678	0.0183059	0.0281361	0.0642692	0.103765	0.0964835	0.26723	0.194087	0.123263	0.0506578	0.0191509	0.0323593
á	0.000636643	1.85308e-05	0.0167788	0.0393757	0.059733	0.134333	0.096164	0.188013	0.331782	0.0832445	0.0212715	0.00834015	0.0203099
n	0.000936134	6.5346e-05	0.0156938	0.0386042	0.0664141	0.368	0.100844	0.095041	0.181583	0.0637344	0.019271	0.00330914	0.0465036
d	0.000501829	5.61229e-05	0.0107037	0.0424041	0.0961728	0.285139	0.113113	0.176992	0.0850109	0.0519098	0.0383649	0.0148459	0.0847858
á	0.00413601	0.00122979	0.0217894	0.0722968	0.194793	0.150821	0.0549301	0.130657	0.0192979	0.0263363	0.0311884	0.0978091	0.194715
b	0.00106973	5.74406e-05	0.0157403	0.052348	0.0714596	0.040148	0.0874255	0.145304	0.137419	0.21529	0.16454	0.0283883	0.0408106
h	0.00120938	4.99813e-05	0.00469158	0.0105905	0.0492719	0.0775982	0.0955026	0.072202	0.153511	0.133316	0.132463	0.0490055	0.220588
o	0.00404229	1.40782e-05	0.00221358	0.0187745	0.0278996	0.0726374	0.0352537	0.082043	0.176296	0.174457	0.133339	0.0497028	0.223326
o	0.000725674	9.22086e-06	0.00403816	0.0117983	0.0126728	0.0183474	0.0343507	0.0782472	0.190536	0.326735	0.218675	0.0474434	0.0564214
b	0.00055788	5.64489e-05	0.0104617	0.0130726	0.0102415	0.00415916	0.0327472	0.0783495	0.11348	0.326234	0.28104	0.0469037	0.0826958
h	0.000852496	3.99512e-05	0.0139158	0.0291891	0.0359743	0.0325185	0.057857	0.127705	0.22844	0.191914	0.102569	0.0405032	0.138521
o	0.0014081	1.22875e-05	0.00760147	0.0424702	0.0128372	0.00752968	0.0119787	0.0813486	0.208828	0.278132	0.102297	0.109288	0.136269
o	0.000982051	5.2157e-06	0.00485078	0.0283599	0.0116489	0.00958399	0.00867064	0.0456193	0.16599	0.29271	0.182918	0.150657	0.098004
