 	la	mère	chatouille	l'	enfant	</S>
n	0.842074	0.150707	0.000624989	0.00592257	0.000401029	0.000270195
g	0.18284	0.812257	2.52142e-05	0.00329071	0.00137707	0.000209877
ó	0.0105888	0.984696	7.58094e-05	0.000839074	0.00372817	7.22957e-05
o	0.00215308	0.988251	0.00103063	0.00171418	0.00681348	3.73104e-05
b	0.709754	0.186667	0.0230778	0.0394315	0.00758443	0.0334857
ó	0.316014	0.141787	0.183388	0.0317402	0.0140446	0.313026
l	0.198442	0.0971885	0.282475	0.247766	0.0144952	0.159634
á	0.425107	0.0351551	0.0900037	0.154723	0.0563988	0.238612
a	0.769977	0.00480785	0.0691478	0.105059	0.0327217	0.0182864
d	0.00618265	0.00332267	0.972367	0.0115412	0.000759537	0.00582734
z	0.000967122	0.00047016	0.956131	0.00650235	0.00145109	0.0344782
ε	0.035799	0.00588283	0.885416	0.0215934	0.0164813	0.0348275
s	0.00394691	0.000126956	0.662663	0.205447	0.0104016	0.117415
ε	0.0171126	3.9338e-05	0.501912	0.12819	0.00778781	0.344958
ε	0.00947137	0.000115995	0.0928477	0.808854	0.0335135	0.0551979
m	0.00741807	0.00194179	0.0757173	0.370067	0.502823	0.0420329
w	0.000556144	2.47628e-05	0.00335884	0.0100092	0.836076	0.149975
á	6.70869e-05	2.61539e-06	0.000413736	0.000329901	0.99786	0.00132656
n	0.00814429	5.41482e-05	0.0043475	0.0137625	0.853554	0.120138
a	0.00107115	0.000143447	0.00215523	0.00648509	0.726695	0.26345
</S>	0.0199304	0.00573866	0.0327689	0.286159	0.192588	0.462815
