 	la	piqûre	du	silure	isae	est	mordante	</S>
o	0.502052	0.430638	0.0570861	0.00959702	0.000307207	0.000222157	5.01801e-05	4.75418e-05
t	0.221263	0.40324	0.130846	0.213001	0.0054541	0.00291994	0.00312685	0.0201494
ó	0.0800721	0.760019	0.0538401	0.0509266	0.0345457	0.00344273	0.00832202	0.00883198
b	0.0247958	0.868079	0.0188333	0.0530595	0.0204426	0.00148579	0.00201426	0.0112894
h	0.105335	0.425803	0.328001	0.056433	0.00789588	0.00305606	0.00200504	0.0714712
o	0.384562	0.252468	0.209728	0.0481516	0.00911111	0.00558887	0.00532684	0.085063
m	0.121233	0.035343	0.649943	0.0416138	0.0922506	0.0308698	0.000918753	0.0278283
í	0.375557	0.00763297	0.266873	0.0182476	0.105046	0.108416	0.0128295	0.105397
s	0.202734	0.0228379	0.205022	0.0564218	0.405884	0.0382795	0.0340131	0.034808
a	0.011845	0.00263001	0.028381	0.00777226	0.519103	0.206831	0.171814	0.0516231
é	0.00667368	0.000837415	0.0318082	0.00160209	0.862369	0.043303	0.0277382	0.0256687
ó	0.0315042	0.00458355	0.0524493	0.00913756	0.291558	0.51807	0.0206018	0.072096
d	0.0536249	0.0120056	0.00655156	0.00158922	0.188106	0.616392	0.0814869	0.0402434
í	0.00296705	0.000299306	0.000798854	7.27515e-05	0.0849516	0.312025	0.0959376	0.502948
l	0.0188994	0.001381	0.0218949	0.000547129	0.0541964	0.385961	0.254858	0.262262
a	0.00174757	0.000708813	0.00401616	0.00231326	0.0262076	0.134493	0.362466	0.468047
n	0.0121025	0.00439977	0.0559482	0.00529893	0.0206107	0.051492	0.734644	0.115504
d	0.000719876	0.000211109	0.00339345	0.0179569	0.0041706	0.00665206	0.954105	0.0127909
ú	0.000606231	0.000187261	0.00454597	0.0149116	0.0103218	0.0270355	0.868681	0.073711
m	0.000352745	0.000207513	0.00304954	0.00151988	0.018761	0.0391464	0.696654	0.240309
á	0.0111154	0.00511505	0.0412697	0.000216809	0.0012116	0.0407419	0.13764	0.762689
</S>	0.0252423	0.00490377	0.0128248	0.000932211	0.0125054	0.0952364	0.310938	0.537417
