 	la	maison	sur	pilotis	avance	sur	le	fleuve	</S>
n	0.423884	0.51929	0.024574	0.00779008	0.0145156	0.00630593	0.00356221	6.12105e-05	1.6948e-05
d	0.0685724	0.927312	0.0036871	0.000134495	9.77441e-05	9.5331e-05	6.76543e-05	2.79326e-05	5.48838e-06
é	0.00603676	0.992456	0.000838917	0.000250149	0.000116916	2.02419e-05	1.91231e-05	0.000250711	1.07861e-05
e	0.059212	0.913378	0.0112617	0.00457756	0.00248325	0.000850507	0.000762396	0.00673619	0.000738831
y	0.295732	0.18437	0.470116	0.015338	0.00725203	0.0117283	0.00603691	0.00152119	0.00790512
á	0.182265	0.0228724	0.555791	0.0459467	0.0310384	0.038162	0.0269868	0.0139517	0.0829862
p	0.423833	0.0673103	0.262568	0.13761	0.0593961	0.0125209	0.0165665	0.0100739	0.0101216
f	0.0265083	0.0312792	0.0777513	0.752013	0.0699599	0.00632426	0.00458335	0.00593293	0.0256482
ú	0.0191985	0.0118571	0.0725561	0.777263	0.0901934	0.0109381	0.00589237	0.00424144	0.00786
l	0.0943428	0.00679846	0.146978	0.538953	0.187122	0.0095904	0.00561198	0.00220653	0.00839766
ú	0.217502	0.0196617	0.147329	0.359456	0.188917	0.0334851	0.013659	0.00391549	0.0160743
b	0.0495891	0.00525845	0.40895	0.250913	0.18549	0.0404171	0.0348007	0.00257833	0.0220036
ó	0.0983641	0.00834968	0.131337	0.364697	0.242765	0.0979584	0.0349953	0.00462809	0.0169055
y	0.0243363	0.0024095	0.421192	0.0630624	0.21477	0.144165	0.0773263	0.00911856	0.0436199
é	0.0603302	0.00179008	0.238395	0.138905	0.380144	0.0894455	0.0443944	0.030631	0.0159645
e	0.011025	0.000527314	0.158642	0.0402611	0.351585	0.239939	0.0888038	0.0402595	0.0689571
d	0.00348964	0.000362071	0.120561	0.0360921	0.103913	0.429113	0.190734	0.0187386	0.096996
w	0.00861098	0.000250636	0.0865138	0.0270365	0.151232	0.314849	0.0941739	0.0396301	0.277703
á	0.0144482	0.000668788	0.0424535	0.0441133	0.262179	0.221464	0.186678	0.128841	0.0991547
l	0.000798101	2.5777e-05	0.0124682	0.00801634	0.044082	0.295344	0.35434	0.0301	0.254826
a	0.00192424	0.000269896	0.0171077	0.0284163	0.0473151	0.264337	0.236662	0.102955	0.301013
t	0.00180262	0.000104668	0.0101623	0.0124907	0.066675	0.304938	0.297787	0.23309	0.0729497
s	0.00260599	0.0002795	0.00870321	0.0991942	0.235085	0.176495	0.157811	0.234369	0.0854579
έ	0.0006599	7.25956e-05	0.00180855	0.116088	0.150824	0.161325	0.287695	0.192168	0.0893589
s	0.000665501	2.35653e-05	0.00770136	0.0283152	0.0696146	0.169611	0.240678	0.0746673	0.408723
á	0.000486824	3.21844e-05	0.00317945	0.0608268	0.118484	0.162207	0.14493	0.110125	0.399729
ε	0.00246615	0.000101726	0.0062894	0.00461795	0.0169764	0.0958815	0.106531	0.520373	0.246762
b	0.00239534	0.000457738	0.00910195	0.0355627	0.0206582	0.114543	0.157665	0.452728	0.206887
a	0.003724	0.000604527	0.0748892	0.0520761	0.0548297	0.256245	0.318295	0.159753	0.0795835
á	0.00155031	0.000165127	0.00304211	0.0110623	0.0321584	0.0903994	0.0405633	0.120266	0.700792
</S>	0.00146084	0.000167517	0.0219643	0.00128333	0.00400686	0.101175	0.12815	0.178865	0.562927
