 	la	fumée	brûle	les	yeux	</S>
n	0.424707	0.538155	0.0246315	0.0115743	0.000378403	0.000553959
z	0.496815	0.492626	0.000532688	0.00734258	0.00253428	0.000149647
ú	0.0477226	0.935154	0.00491663	0.0020081	0.00956618	0.000631981
b	0.0659212	0.932559	0.000631095	0.000170028	0.000579719	0.000139336
h	0.303129	0.228689	0.369783	0.00322492	0.00350801	0.0916657
ú	0.331043	0.629598	0.0341079	0.00147597	0.00019447	0.00358059
l	0.14632	0.0500325	0.678961	0.0360845	0.00330953	0.0852928
έ	0.163997	0.094521	0.409272	0.0583819	0.0152817	0.258546
y	0.268171	0.0684949	0.453311	0.104511	0.0260465	0.0794651
é	0.0889455	0.132907	0.557454	0.0723472	0.0436816	0.104665
e	0.106461	0.0285325	0.496679	0.178871	0.0347262	0.15473
b	0.00456225	0.0063047	0.490095	0.0315651	0.0408056	0.426667
a	0.00594449	0.0153432	0.813683	0.00587157	0.00284063	0.156317
b	0.00226887	0.00985632	0.750332	0.0182359	0.00415181	0.215155
h	0.0175605	0.0271538	0.540014	0.0214501	0.00189109	0.391931
í	0.0138531	0.049679	0.635607	0.0499725	0.00666421	0.244224
l	0.0229067	0.0177768	0.33414	0.286351	0.0130378	0.325788
á	0.0104121	0.0090728	0.247727	0.253192	0.107665	0.37193
m	0.00920428	0.00350115	0.0128623	0.507861	0.411931	0.0546396
í	0.00148021	0.000245718	0.00933748	0.0325685	0.509503	0.446865
s	0.00290493	0.00051479	0.0289353	0.13675	0.475605	0.35529
i	0.000731607	0.00447879	0.0200038	0.149527	0.313633	0.511626
</S>	0.000437557	0.000634598	0.0202401	0.115648	0.0374385	0.825602
