 	les	blancs	n'	aiment	pas	vivre	en	brousse	</S>
i	0.315175	0.514347	0.0717599	0.00523195	0.051465	0.0167607	0.0191218	0.00215695	0.00398129
n	0.125428	0.521047	0.110277	0.0947204	0.0404214	0.0281865	0.022874	0.050376	0.00666914
d	0.235064	0.472793	0.0426308	0.0148562	0.0178598	0.0265674	0.0144735	0.0194768	0.156278
έ	0.199016	0.591059	0.0164989	0.0179225	0.0241064	0.0287768	0.00743742	0.0142641	0.100919
l	0.315013	0.188167	0.054034	0.0167573	0.0166265	0.0320502	0.0466004	0.0839587	0.246793
έ	0.181058	0.430279	0.0240166	0.0165536	0.0313926	0.0829121	0.0622989	0.0547678	0.116721
í	0.196553	0.211298	0.4116	0.0315544	0.0368084	0.0314751	0.0413693	0.00374121	0.0356005
d	0.204424	0.0714546	0.332941	0.18498	0.0409064	0.0651586	0.034231	0.00571635	0.0601888
i	0.0377551	0.0104892	0.349946	0.188201	0.0172611	0.0294488	0.0312465	0.00784243	0.32781
p	0.0293941	0.0176238	0.1862	0.376307	0.0942932	0.0737691	0.130468	0.0190956	0.0728482
ó	0.0598399	0.0715766	0.112529	0.362273	0.121017	0.0786144	0.0373772	0.030226	0.126547
s	0.0591323	0.0622039	0.146122	0.264771	0.128488	0.0531348	0.0551192	0.0335543	0.197475
á	0.0315462	0.047176	0.030286	0.420805	0.12673	0.0979492	0.0846152	0.0903046	0.0705875
o	0.149453	0.0482748	0.202378	0.126716	0.245531	0.0523104	0.0990975	0.0421026	0.0341363
d	0.00548383	0.00307281	0.0203232	0.50489	0.0697167	0.223987	0.0588772	0.102785	0.0108642
z	0.0010243	0.000562628	0.00780746	0.474061	0.0303253	0.124915	0.107157	0.163072	0.0910744
e	0.0104963	0.00505292	0.130693	0.487501	0.0705245	0.126037	0.0584708	0.0307357	0.0804884
e	0.00148821	0.00192328	0.0242205	0.267642	0.14085	0.1966	0.14405	0.0897016	0.133524
m	0.00230938	0.0016787	0.0133554	0.0559293	0.0707404	0.320426	0.23813	0.107725	0.189705
á	0.0413477	0.0180747	0.0451532	0.0134636	0.0356184	0.126488	0.383559	0.0420532	0.294242
s	0.0241112	0.0074819	0.0097282	0.0358207	0.091935	0.0903989	0.233333	0.437085	0.0701055
á	0.0172371	0.00313551	0.012648	0.0580743	0.037792	0.0670338	0.198733	0.409481	0.195865
k	0.0296412	0.0085197	0.0155017	0.0116765	0.0368485	0.0093923	0.0494121	0.756826	0.0821822
ώ	0.000847313	0.00131873	0.000445126	0.00731184	0.0345923	0.0167237	0.0234861	0.885278	0.0299967
k	0.000561808	0.0029923	0.000223756	0.00925479	0.0544959	0.041824	0.0363262	0.802789	0.0515327
a	0.0136824	0.0184401	0.00456417	0.0250318	0.153881	0.220141	0.14025	0.223526	0.200483
á	0.00301072	0.00280258	0.00271539	0.0169491	0.0366722	0.0799584	0.136386	0.267731	0.453775
</S>	0.0137338	0.0041265	0.0252754	0.0240997	0.025001	0.0475256	0.150612	0.0895782	0.620048
