 	l'	homme	partit	le	fusil	en	bandoulière	</S>
m	0.89203	0.106959	6.4914e-05	0.000328756	3.65277e-05	0.000313453	1.11289e-05	0.000256372
o	0.799613	0.195841	0.00129703	0.00200015	8.61121e-05	0.00032592	4.63095e-05	0.000789848
r	0.534405	0.463603	0.00101958	0.000227593	0.000195981	0.000310691	6.56624e-05	0.000172162
o	0.872744	0.0507969	0.0221026	0.010342	0.00337086	0.00288119	0.00995472	0.0278077
a	0.925065	0.0562241	0.00861396	0.00144705	0.000335684	0.000938006	9.39475e-05	0.00728224
d	0.0963705	0.0653164	0.422692	0.156378	0.0784589	0.11397	0.0182165	0.0485982
z	0.00433691	0.00274234	0.743384	0.129912	0.0198203	0.0135312	0.00264513	0.0836276
w	0.101234	0.000593584	0.829845	0.0569882	0.00448594	0.00143517	0.00101317	0.00440504
é	0.0639557	0.00577481	0.447001	0.30062	0.0383642	0.0319033	0.0103236	0.102057
l	0.0274753	0.00509283	0.404995	0.36334	0.0509836	0.0399778	0.00843726	0.0996982
a	0.00561372	0.000967191	0.272545	0.297358	0.0501545	0.0565402	0.00645324	0.310369
ω	0.0869031	0.0081666	0.223555	0.407159	0.0925827	0.0483105	0.00848813	0.124835
t	0.00183443	0.00482124	0.2653	0.189693	0.419424	0.0245057	0.0775883	0.0168333
á	0.000134736	0.0011747	0.160308	0.0577268	0.512617	0.0112689	0.234728	0.0220422
m	0.00108213	0.000422095	0.0896921	0.125599	0.467053	0.0471082	0.193694	0.0753488
ó	0.0370085	0.000585688	0.0203712	0.22468	0.313071	0.301618	0.00761236	0.0950525
e	0.0123681	0.00217562	0.02677	0.137102	0.194327	0.392156	0.140909	0.0941915
t	0.00132664	0.000498013	0.0114438	0.0220671	0.209125	0.181183	0.520933	0.0534237
ú	7.5652e-05	7.99266e-05	0.00438055	0.00529006	0.186087	0.0431579	0.741973	0.0189559
s	0.000799289	3.2399e-05	0.00210913	0.00310916	0.0465007	0.0106384	0.909087	0.0277236
u	0.0109527	8.83639e-05	0.0125966	0.115978	0.242743	0.112388	0.270184	0.23507
</S>	0.003182	0.000139743	0.00655153	0.0568589	0.0354008	0.173427	0.0760885	0.648352
