 	il	a	les	sourcils	en	broussaille	</S>
w	0.890329	0.0318974	0.0490729	0.0146174	0.0128023	0.000889468	0.000391884
a	0.856073	0.0364666	0.0539349	0.0249303	0.0277586	0.00035048	0.000486508
i	0.150656	0.551954	0.244421	0.036424	0.0103282	0.00222697	0.00398936
k	0.0526612	0.22365	0.457775	0.183514	0.0605658	0.00804095	0.0137938
í	0.0665577	0.0821741	0.1186	0.546147	0.104414	0.017612	0.0644947
i	0.0332839	0.107954	0.191492	0.465401	0.0376597	0.0305033	0.133705
í	0.0340847	0.135753	0.457015	0.203586	0.136555	0.0215169	0.0114888
d	0.0287388	0.191088	0.30482	0.107841	0.267188	0.0909677	0.00935721
í	0.000841753	0.0544932	0.106972	0.248032	0.118698	0.256221	0.214742
f	0.000572315	0.00886491	0.0628162	0.0475138	0.118457	0.592576	0.169199
u	0.00118641	0.00311276	0.0173362	0.0590759	0.0271233	0.758499	0.133666
ú	7.25167e-05	0.000436666	0.00388136	0.0857043	0.0108955	0.622345	0.276665
u	0.000113382	0.000481868	0.00916411	0.00686493	0.0585695	0.280763	0.644043
</S>	0.000919713	0.0096593	0.051136	0.0459614	0.219275	0.315348	0.357701
