 	trois	personnes	sont	parties	en	forêt	les	autres	sont	restées	dans	la	maison	</S>
b	0.450021	0.515901	0.00387031	0.000105968	0.00382129	0.00596895	0.00662036	0.00393999	0.00178299	0.00295914	0.00187644	0.00295816	7.91193e-05	9.48075e-05
a	0.0362994	0.890438	0.00526766	2.93588e-05	0.00131404	0.00144418	0.00484481	0.0465085	0.0028535	0.00337884	0.00158948	0.00522671	0.000441705	0.000363522
r	0.00679841	0.833681	0.00112218	0.000370953	0.000738708	0.0010297	0.00399438	0.14463	0.00222656	0.000821607	0.00150001	0.0009897	0.000514017	0.0015824
e	0.269083	0.594993	0.00327316	0.00535194	0.00266612	0.00123572	0.0103342	0.0361208	0.00709209	0.0120254	0.00699124	0.0334828	0.00839031	0.00896007
á	0.234125	0.224962	0.26929	0.0308991	0.0339205	0.0140946	0.0116745	0.0118021	0.0264091	0.00604694	0.0245748	0.0151541	0.00248325	0.0945632
s	0.190117	0.0959315	0.515666	0.0481854	0.0152857	0.00814814	0.00197763	0.00192422	0.0248561	0.0195961	0.0374911	0.0112176	0.00556929	0.0240344
á	0.111766	0.0787299	0.444869	0.0805986	0.0308705	0.0112078	0.00463105	0.00254621	0.0221564	0.0189601	0.0460632	0.0154495	0.0100859	0.122066
r	0.183233	0.076336	0.26392	0.200848	0.0442635	0.0173964	0.0148298	0.00974886	0.0161911	0.00956003	0.0357695	0.0295648	0.00669879	0.0916401
e	0.747255	0.076423	0.0633837	0.00939145	0.0110729	0.00672317	0.0320609	0.00517149	0.00140848	0.00107028	0.0016133	0.0169433	0.0243524	0.00313117
á	0.0345962	0.0252803	0.546615	0.0809918	0.143513	0.0325876	0.021268	0.00928319	0.013501	0.00440561	0.0196367	0.014282	0.00389549	0.0501438
d	0.013365	0.00623979	0.401123	0.302911	0.122335	0.0507831	0.00512442	0.003521	0.0315012	0.0163706	0.0249899	0.00604618	0.0036721	0.0120174
z	0.00366499	0.00262402	0.340944	0.183921	0.149549	0.0314345	0.00873357	0.00351591	0.0298218	0.0122849	0.0710972	0.00701294	0.00194609	0.15345
w	0.00298207	0.000198426	0.0638076	0.826735	0.0405198	0.00879332	0.0121269	0.000388364	0.00900613	0.00576841	0.00909375	0.00516514	0.00419339	0.0112215
e	0.00346502	0.000846483	0.0856853	0.590872	0.0928375	0.0272433	0.0478418	0.00277828	0.0471658	0.0254305	0.0370679	0.0197453	0.00596206	0.0130588
s	0.00664098	0.00305476	0.150577	0.140806	0.276031	0.106829	0.0596761	0.0199869	0.0815345	0.0236261	0.0609477	0.0168574	0.00482447	0.0486086
á	0.0174631	0.00191711	0.0175042	0.330355	0.122833	0.139539	0.0984453	0.0134386	0.0263078	0.034505	0.0346675	0.0454102	0.0175281	0.100086
k	0.0292552	0.00410928	0.00373931	0.05774	0.0334823	0.180478	0.269286	0.14051	0.0497765	0.0615184	0.0162888	0.0571481	0.0824987	0.0141689
ω	0.00402923	0.00356476	0.00287422	0.218981	0.0570858	0.350916	0.0396764	0.0516895	0.0461166	0.149256	0.039334	0.00848891	0.00846748	0.0195197
a	0.000623857	0.000662339	0.00138727	0.0573992	0.0243677	0.376327	0.0210026	0.0379871	0.0529814	0.308071	0.0649565	0.0118945	0.00354129	0.0387979
s	0.000551808	0.000163351	0.0119771	0.00260556	0.0364431	0.0388407	0.189629	0.0412369	0.275863	0.0899902	0.194807	0.069977	0.0114269	0.0364885
ú	0.00949629	0.000880871	0.0125217	0.00994941	0.0320141	0.0329955	0.188869	0.0386115	0.110886	0.0767435	0.153686	0.19312	0.0480988	0.0921267
s	0.000936513	0.000247493	0.00421788	0.00321328	0.0245746	0.0306608	0.258459	0.0374953	0.117989	0.088752	0.224343	0.13944	0.0114502	0.0582206
u	0.00489788	0.00022033	0.00288083	0.0116501	0.0251039	0.0218094	0.280982	0.0194292	0.0386257	0.0952509	0.0811647	0.330169	0.0600306	0.0277856
á	0.000899984	0.00013252	0.00421786	0.00193117	0.0201258	0.0474656	0.208776	0.0501224	0.111474	0.0599422	0.196721	0.186061	0.0262454	0.0858858
b	0.00247031	0.000483997	0.016174	0.00514471	0.00913347	0.00988848	0.0094029	0.0111314	0.109422	0.119244	0.339803	0.129672	0.151306	0.0867232
v	0.000404686	0.00464183	0.00341687	0.000781234	0.0109743	0.0350757	0.0184959	0.201691	0.0845033	0.254239	0.207494	0.05774	0.00383896	0.116704
u	0.00234029	0.00289044	0.00266225	0.00169429	0.0207153	0.0425688	0.0542407	0.171333	0.0848352	0.186069	0.167604	0.169177	0.0096912	0.084179
u	0.000459634	8.78074e-05	0.000761334	0.00263376	0.00573979	0.00505303	0.0172494	0.0141956	0.0229325	0.23112	0.302496	0.240957	0.0192645	0.137049
s	0.00112105	0.000442196	0.0047027	0.00184968	0.0137617	0.0165258	0.0377421	0.0227469	0.0613967	0.0402845	0.183611	0.16549	0.138822	0.311504
á	0.0015635	0.00023476	0.00553984	0.00592031	0.0190859	0.0157531	0.0802438	0.0102162	0.0523868	0.0478202	0.138178	0.305646	0.115882	0.201529
n	0.00267918	0.000882829	0.00122727	0.00215399	0.00367747	0.0109298	0.0423702	0.0271104	0.00937978	0.0278239	0.0296556	0.204452	0.524091	0.113566
d	0.00372987	0.0001185	2.80733e-05	3.08398e-05	0.000112435	0.000473717	0.00568248	0.00435384	0.00043831	0.000750781	0.00216544	0.0185601	0.95067	0.0128851
é	0.00242112	0.000396341	0.00021406	0.00041063	0.000341721	0.00106583	0.00538733	0.00345389	0.000737089	0.00249827	0.00229962	0.0207934	0.913992	0.0459886
e	9.79138e-05	0.000114748	0.000512916	0.00112569	0.00277708	0.0209297	0.0210767	0.0112104	0.0147236	0.0356393	0.0420971	0.0313286	0.135644	0.682723
</S>	0.000238132	0.000123773	0.006757	0.000442136	0.0103634	0.00623179	0.0161665	0.00301946	0.0580936	0.03236	0.200545	0.076185	0.0144688	0.575005
