 	redresse-toi	tu	es	bossu	</S>
s	0.960361	0.0338284	0.00502434	0.000527825	0.000258784
é	0.474113	0.336724	0.149137	0.0257894	0.0142363
m	0.676308	0.0804609	0.0738274	0.0921635	0.0772402
b	0.531419	0.281134	0.0211644	0.00986444	0.156417
á	0.619195	0.309207	0.0195004	0.00673704	0.0453604
n	0.209989	0.425254	0.0433332	0.014205	0.307219
d	0.22678	0.44453	0.102854	0.0573314	0.168505
z	0.0645534	0.540603	0.179123	0.160083	0.0556376
ó	0.52818	0.360726	0.0751956	0.0264165	0.00948169
r	0.245099	0.377763	0.220687	0.0493295	0.107122
o	0.535856	0.360307	0.0567699	0.014301	0.0327663
n	0.15287	0.476374	0.292455	0.0155911	0.0627094
ω	0.0201738	0.530755	0.246279	0.0748703	0.127922
o	0.00770076	0.201446	0.48449	0.0810214	0.225341
d	0.175687	0.092971	0.427332	0.207081	0.0969287
í	0.13264	0.0199131	0.0494302	0.11345	0.684566
l	0.020134	0.0241216	0.111522	0.216996	0.627226
e	0.00270858	0.00398291	0.0349934	0.345858	0.612457
n	0.00445461	0.00793721	0.0428679	0.432863	0.511877
g	0.00150302	0.0126831	0.134849	0.811896	0.0390686
ú	0.000910097	0.0411664	0.241238	0.665854	0.0508316
l	0.00683898	0.0430452	0.306529	0.536709	0.106877
ε	0.0131957	0.037572	0.262821	0.441228	0.245184
</S>	0.000562343	0.00844334	0.0927803	0.159741	0.738473
