 	il	avantage	les	enfants	de	sa	première	femme	</S>
w	0.853091	0.0450123	0.0392997	0.0140472	0.015962	0.0128423	0.0194388	0.000173347	0.000133669
a	0.649761	0.0437679	0.0673123	0.156235	0.0200631	0.019158	0.0387366	0.00493275	3.37468e-05
l	0.56653	0.142667	0.0907787	0.0500378	0.0318264	0.0314745	0.0416499	0.0306998	0.0143358
á	0.178964	0.125807	0.0933955	0.113438	0.0544405	0.0506542	0.0385118	0.0236325	0.321157
a	0.229537	0.101636	0.100443	0.142987	0.0496082	0.0735447	0.0878267	0.0962897	0.118128
p	0.047582	0.797899	0.0664212	0.0119664	0.0116172	0.0124135	0.00159448	0.0162964	0.03421
é	0.0314867	0.77444	0.0830113	0.0118702	0.0106474	0.0117944	0.00163724	0.00298914	0.0721237
n	0.0751445	0.480434	0.233971	0.0540109	0.0299266	0.0301165	0.00917509	0.00613539	0.0810865
d	0.0848008	0.63895	0.209657	0.0239883	0.0142751	0.0111235	0.00535412	0.000616847	0.0112343
á	0.123653	0.4376	0.24315	0.0666737	0.0245078	0.0252934	0.0114697	0.00550336	0.0621501
ω	0.0813879	0.0915946	0.505022	0.227388	0.0454345	0.0222811	0.0238603	0.00122482	0.00180678
k	0.00737392	0.130148	0.429281	0.280003	0.0984091	0.0391379	0.00759747	0.00565364	0.00239621
a	0.00639141	0.189476	0.34686	0.196847	0.18092	0.0501103	0.0060408	0.00351168	0.0198429
n	0.00734955	0.205051	0.325346	0.188485	0.130514	0.0558718	0.0140513	0.00102065	0.0723105
d	0.0133294	0.231068	0.2808	0.0768585	0.110139	0.079777	0.00490127	0.00120506	0.201922
í	0.0371538	0.185607	0.176913	0.0475804	0.041845	0.0693138	0.0100589	0.00449102	0.427037
s	0.0386472	0.144964	0.155014	0.100779	0.357176	0.142882	0.0104029	0.00500779	0.045128
á	0.00375453	0.0480327	0.10833	0.118449	0.123121	0.223965	0.16801	0.00166139	0.204677
b	0.00578114	0.00203185	0.0198801	0.051922	0.0639095	0.0793606	0.752017	0.0224434	0.00265463
á	0.0136345	0.0084334	0.0421882	0.670691	0.0345038	0.0295305	0.164705	0.0333971	0.002917
n	0.00787425	0.00635592	0.0348178	0.536739	0.0402932	0.02126	0.315133	0.0266629	0.0108644
a	0.0161107	0.0236935	0.0364116	0.176087	0.0714061	0.129038	0.29766	0.0374752	0.212118
b	0.00126604	0.0133978	0.0498755	0.0782438	0.350819	0.248408	0.073802	0.0824193	0.101768
á	0.0361301	0.0931007	0.0987162	0.176355	0.11406	0.160653	0.164628	0.0050841	0.151273
m	0.00423717	0.00758993	0.0207123	0.0330191	0.0875522	0.127005	0.543375	0.0701957	0.106313
w	0.000421447	0.000364283	0.00164832	0.00354458	0.0138479	0.0294966	0.140114	0.764499	0.0460636
á	1.41541e-05	7.59183e-06	5.27978e-05	0.000482118	0.000945078	0.00375142	0.00423285	0.989091	0.00142328
s	0.00101083	0.000726595	0.00589748	0.0387887	0.0182899	0.0720151	0.792936	0.0584936	0.0118421
í	0.00710668	0.0101548	0.0142015	0.0374531	0.0560395	0.262415	0.155788	0.239837	0.217005
y	0.00236477	0.00591217	0.0155629	0.0155648	0.0919432	0.14615	0.141995	0.0743831	0.506124
a	0.00122249	0.00443761	0.0115189	0.0116746	0.0472964	0.215485	0.543218	0.0865268	0.07862
w	0.000276135	0.000837573	0.00366976	0.00402521	0.00928237	0.112245	0.81612	0.0167372	0.0368068
a	0.00206243	0.00543279	0.0154777	0.018326	0.0646539	0.300847	0.512792	0.0216846	0.058724
y	0.00049421	0.00142178	0.00460408	0.00329832	0.0374275	0.0955383	0.145876	0.0256299	0.68571
a	0.00159424	0.00759777	0.0249376	0.01092	0.0554308	0.252229	0.526974	0.0506877	0.069628
b	0.000765515	0.00188411	0.0078567	0.00439012	0.0176342	0.102795	0.759621	0.0155055	0.0895478
o	0.00671826	0.0142347	0.0305803	0.0850098	0.0492158	0.214912	0.528488	0.040473	0.0303682
s	0.000677214	0.00377423	0.0202661	0.0182473	0.111327	0.485538	0.142575	0.0408454	0.17675
ó	0.00399511	0.00700661	0.0168925	0.0111473	0.0600027	0.551944	0.225315	0.00804148	0.115655
</S>	0.00132848	0.00306485	0.00650025	0.00451271	0.041757	0.106939	0.14189	0.0381542	0.655853
