 	le	traître	c'	est	ngatsono	</S>
o	0.540982	0.381721	0.0513143	0.0199539	0.00187466	0.00415504
k	0.0192541	0.947697	0.0119817	0.00421815	0.00827042	0.00857852
i	0.0013053	0.994557	0.000834001	0.000531669	0.00116998	0.00160228
r	0.0030724	0.990317	0.0036002	0.0010978	0.00131577	0.000596368
i	0.0638328	0.886456	0.0193022	0.00740784	0.00518658	0.0178142
b	0.346214	0.068966	0.390718	0.106741	0.0181785	0.0691831
í	0.480949	0.00802666	0.0327572	0.109536	0.270802	0.0979285
s	0.137022	0.00552084	0.0817068	0.0945394	0.639484	0.041727
i	0.155085	0.00443043	0.130133	0.224386	0.171431	0.314534
á	0.0236015	0.00150706	0.0941811	0.198972	0.479127	0.202612
d	0.0189846	0.0101335	0.124927	0.277848	0.0224169	0.54569
z	0.00178551	0.00064843	0.0278573	0.0763689	0.00557611	0.887764
e	0.0257797	0.000599303	0.137102	0.319732	0.048613	0.468174
n	0.0153406	0.00193492	0.0778259	0.182137	0.183374	0.539388
g	0.0104947	0.00149421	0.0650875	0.338804	0.169897	0.414222
a	0.00625265	0.000668163	0.0316514	0.104768	0.73905	0.117609
t	0.00566538	0.00175958	0.0824029	0.209338	0.120393	0.580441
s	0.0553905	0.00761795	0.0467641	0.196976	0.282858	0.410393
ώ	0.00384657	0.0165527	0.0231783	0.211145	0.203839	0.541439
n	0.00362738	0.00157222	0.0291893	0.185942	0.0750101	0.704659
ώ	0.00527684	0.00648742	0.0130473	0.10799	0.0809123	0.786286
</S>	0.00948994	0.000517637	0.0231378	0.111883	0.0804216	0.77455
