 	la	femme	a	accouché	d'	un	garçon	</S>
m	0.862103	0.121229	0.00592387	0.000571674	0.00203361	0.00605111	0.002052	3.62655e-05
w	0.00325717	0.993809	0.00237414	0.000207939	9.03102e-05	9.36493e-05	5.09852e-05	0.000117194
á	0.0698651	0.90231	0.00309037	0.00156186	0.00213654	0.000852999	0.0201063	7.72732e-05
s	0.68554	0.206696	0.041786	0.0448421	0.00312999	0.00575178	0.0103841	0.0018698
í	0.244899	0.49013	0.0948067	0.0369629	0.0474658	0.0310063	0.011939	0.0427907
á	0.10033	0.0156255	0.802207	0.0176611	0.010363	0.0143352	0.000971328	0.0385066
b	0.0153071	0.00281571	0.384541	0.445993	0.0881558	0.0322806	0.000940387	0.0299658
ó	0.00217665	0.000795596	0.064948	0.841126	0.0718651	0.00897889	0.00118185	0.00892769
r	0.0225539	0.00151726	0.0696297	0.757272	0.0974096	0.0190077	0.00325746	0.0293521
i	0.166109	0.00148442	0.203842	0.105695	0.303688	0.154083	0.00346049	0.0616383
m	0.0124432	0.00066841	0.0874667	0.00677934	0.110963	0.451368	0.297233	0.0330792
w	0.0107562	0.00646997	0.00227243	0.000242845	0.0157923	0.0433669	0.90675	0.0143491
á	0.000129091	0.000862085	0.000125779	0.000264297	0.00129459	0.00288599	0.993837	0.000601235
n	0.00958749	0.000791325	0.000433103	8.87783e-05	0.00468562	0.0165548	0.962774	0.00508499
a	0.040283	0.0171265	0.0166549	0.0012038	0.079835	0.295875	0.472949	0.0760727
i	0.0258724	0.00013593	0.00774511	0.000608252	0.140341	0.565529	0.0809183	0.178851
b	0.00452446	0.000583662	0.00475944	0.00146797	0.15247	0.224569	0.21729	0.394335
a	0.00214918	0.00125582	0.00376183	0.00195528	0.0439688	0.0711889	0.851936	0.023784
a	0.00101954	0.000133319	0.000970533	0.00169016	0.0442356	0.0352218	0.560302	0.356427
</S>	0.0010428	3.98028e-05	0.00757974	0.00167198	0.0332488	0.159016	0.0600876	0.737313
