 	la	mère	a	acheté	un	ballon	à	son	enfant	</S>
n	0.942467	0.0468031	0.00629113	0.000138344	0.000723459	0.00083638	0.000328248	0.00236029	1.89589e-05	3.31172e-05
g	0.21053	0.78581	0.00221611	0.000101265	0.000121722	0.000279756	2.53998e-05	0.000902636	8.05535e-06	4.84839e-06
ó	0.0239972	0.966882	0.00313862	0.00285395	0.000333072	0.00105364	0.000148025	0.000590096	0.000983439	2.03792e-05
o	0.00605905	0.975372	0.000296111	0.0157131	0.000329781	0.00112388	6.06251e-05	0.000587051	0.000422977	3.57115e-05
á	0.158995	0.0352303	0.649685	0.0428606	0.0306214	0.00610314	0.0151094	0.016652	0.00497374	0.0397689
s	0.0155095	0.00991421	0.268345	0.646422	0.0139831	0.00585912	0.00755741	0.00185196	0.000469681	0.0300879
ó	0.00564564	0.000353605	0.0215742	0.919402	0.00734497	0.00787628	0.00430702	0.000589826	0.000138822	0.0327672
m	0.0676102	0.00160997	0.0520514	0.708372	0.0714291	0.0389396	0.0243188	0.0111561	0.00110948	0.0234033
b	0.19029	0.000767499	0.150994	0.295478	0.102604	0.103701	0.0446093	0.0734519	0.026135	0.0119693
i	0.306053	0.00311493	0.0967656	0.0427332	0.229986	0.129344	0.0749693	0.0678161	0.00725574	0.041962
m	0.0363353	0.00081748	0.376968	0.00927844	0.313227	0.0872787	0.0256013	0.113447	0.0266607	0.010387
w	0.0172424	0.000180223	0.0214426	0.00453895	0.0879195	0.108801	0.0455295	0.0216249	0.662324	0.0303965
á	0.0023249	5.29987e-05	0.00178593	0.00107455	0.0148902	0.0468429	0.0114574	0.00198225	0.917905	0.00168417
n	0.0584368	0.000319209	0.0130792	0.000502951	0.0974609	0.0692896	0.0140534	0.0258689	0.714522	0.00646737
a	0.0417117	0.000980624	0.0177547	0.0111789	0.141305	0.199188	0.0322801	0.112602	0.332964	0.110036
y	0.00822659	0.000208805	0.0443704	0.00237747	0.410178	0.16894	0.152505	0.187617	0.00705735	0.0185188
a	0.00311358	7.80293e-05	0.00671237	0.00254645	0.118095	0.522905	0.211934	0.104239	0.00359414	0.0267826
w	0.00153245	7.07982e-05	0.0058552	0.00243288	0.0683505	0.383962	0.221109	0.292716	0.0128974	0.0110736
a	0.00397756	0.000330239	0.00581274	0.000862694	0.135608	0.233682	0.366032	0.141887	0.026096	0.0857107
m	0.000213094	6.4411e-06	0.00155146	0.000469143	0.137439	0.102154	0.445587	0.209845	0.00594077	0.0967952
b	0.000307071	1.72104e-05	0.00163879	2.95685e-05	0.0887857	0.176388	0.259314	0.238353	0.0359575	0.199209
o	0.000239451	4.51225e-05	0.000159418	4.6079e-05	0.0495588	0.251609	0.455183	0.0957835	0.115893	0.0314825
l	5.39063e-05	2.39264e-05	0.000439676	0.000702169	0.0890928	0.0964446	0.564499	0.017592	0.0120787	0.219073
o	0.00291498	0.000519395	0.00413997	0.00230568	0.0981567	0.121137	0.380079	0.148208	0.0309069	0.211632
o	0.000263186	1.79316e-05	0.000319727	0.000128143	0.0126655	0.0168437	0.228871	0.120533	0.0189137	0.601444
</S>	2.5814e-05	2.01631e-05	0.00657657	0.00558391	0.0858873	0.0617105	0.365005	0.0891992	0.00721705	0.378775
