 	cet	endroit	où	nous	avons	l'	habitude	de	tendre	des	filets	de	chasse	est	toujours	giboyeux	</S>
e	0.20729	0.591748	0.10322	0.00874357	0.00801282	0.00922794	0.0137565	0.027634	0.0123356	0.00786983	0.000317284	0.00416556	0.00240162	0.00185132	0.00117661	4.12799e-05	0.000208446
l	0.0481104	0.277297	0.00993951	0.00451633	0.036292	0.288232	0.219966	0.0261991	0.0156357	0.014709	0.025627	0.00557225	0.0201522	0.00158293	0.00185161	0.00186767	0.00244934
a	0.0252774	0.112602	0.0171471	0.00688232	0.0186178	0.225649	0.400129	0.0566073	0.0330929	0.00409758	0.0225256	0.00931033	0.0287007	0.00698426	0.00197276	0.00173931	0.0286648
m	0.0273799	0.239072	0.106582	0.043164	0.0700247	0.169717	0.119383	0.0686976	0.0596453	0.0152246	0.00753747	0.0118399	0.0122352	0.00365877	0.00195261	0.0106552	0.0332307
b	0.516996	0.0531972	0.0442421	0.00254616	0.0338301	0.143089	0.0741728	0.0454875	0.00542053	0.0151098	0.000496145	0.0113104	0.0190776	0.0117763	0.0037278	0.00690015	0.0126206
i	0.601245	0.170704	0.04296	0.00181633	0.00324967	0.0298656	0.028554	0.039317	0.00517009	0.0100384	0.000306035	0.00861567	0.015064	0.00358218	0.000850217	0.00102451	0.0376375
l	0.0606773	0.0484624	0.103379	0.0187767	0.0424801	0.0856414	0.150144	0.18472	0.13325	0.0346451	0.00177742	0.0230673	0.0152469	0.0337485	0.00856701	0.00187056	0.0535463
í	0.0582142	0.0237362	0.0533746	0.00524177	0.0166983	0.0809061	0.13694	0.0677681	0.07589	0.0389231	0.0381814	0.0399381	0.0283035	0.036666	0.0297747	0.0152568	0.254188
y	0.04256	0.0219925	0.161567	0.108041	0.0611663	0.0598908	0.113895	0.160161	0.12848	0.0503866	0.0160419	0.0170889	0.0042438	0.0124001	0.0103004	0.0115188	0.020266
é	0.0526793	0.00716991	0.0635169	0.0121008	0.0877673	0.125468	0.122813	0.0634014	0.139118	0.0247043	0.2331	0.0121525	0.00138956	0.00391374	0.013259	0.0209366	0.0165109
y	0.0233735	0.00729918	0.123726	0.0242109	0.0862852	0.100653	0.143671	0.179389	0.156053	0.0607956	0.0317532	0.0182673	0.00281276	0.00798377	0.0113549	0.0090431	0.0133301
é	0.027572	0.00610475	0.0394541	0.00694089	0.0484645	0.0815757	0.157226	0.105133	0.177588	0.0381476	0.269742	0.0147914	0.00151191	0.00346109	0.00696405	0.00846225	0.0068608
e	0.017832	0.00534879	0.0676371	0.00626221	0.0629501	0.104657	0.140007	0.18889	0.170788	0.105314	0.0408151	0.03422	0.00482381	0.0123863	0.0159708	0.00759176	0.0145062
y	0.000638693	0.00123717	0.000695843	0.0027887	0.0289419	0.0412808	0.0467976	0.0239008	0.0690172	0.0272399	0.670439	0.0213118	0.0294404	0.00482328	0.001643	0.00938481	0.020419
a	0.00320318	0.00121809	0.00517408	0.00188002	0.0128407	0.0465695	0.0859433	0.0386113	0.0510379	0.0407233	0.649831	0.0231546	0.0040258	0.00386183	0.00329481	0.00534039	0.0232902
á	0.00756964	0.000342096	0.00215855	0.000595652	0.00581435	0.0804244	0.137444	0.0943172	0.048799	0.069506	0.341994	0.0590288	0.021378	0.0174956	0.0100385	0.00464943	0.0984443
a	0.000501057	0.000602385	0.00573996	0.00865346	0.012092	0.0110002	0.00676268	0.0305735	0.157671	0.495286	0.0907912	0.144376	0.00446331	0.013187	0.0106742	0.00156147	0.00606369
n	0.000668934	0.00137969	0.000970899	0.00351861	0.00478912	0.0113992	0.00937369	0.00936789	0.0389068	0.064743	0.555679	0.170065	0.0708414	0.0219146	0.0071698	0.0170991	0.012113
y	0.00134002	0.00113139	0.00428833	0.0027338	0.00347057	0.0103587	0.00897137	0.0055957	0.0669782	0.136838	0.603805	0.105369	0.00673558	0.00600208	0.00405693	0.0113211	0.0210031
a	0.000207874	0.000657508	0.00146524	0.00324269	0.00138166	0.00397844	0.00972045	0.00451645	0.0423892	0.0574283	0.740584	0.0849173	0.0221037	0.00881317	0.00181041	0.00373932	0.0130439
m	0.000252403	0.000620474	0.00116598	0.000712633	0.00127196	0.0137606	0.0424726	0.0318928	0.0486787	0.0548577	0.383844	0.295734	0.0445727	0.0273645	0.00564434	0.00617709	0.0409772
a	0.00486785	0.000615791	0.00116063	0.00015628	0.001228	0.00699542	0.013293	0.0110376	0.0110102	0.0531594	0.0175553	0.322973	0.298097	0.190512	0.0289933	0.00777935	0.0305653
</S>	0.000841536	0.000754546	0.00306918	0.00133011	0.00447219	0.00499588	0.0033007	0.00885916	0.0305209	0.0872746	0.0181802	0.136631	0.0390175	0.154143	0.259984	0.110232	0.136394
