 	il	recherche	la	moindre	bribe	de	tabac	</S>
w	0.9166	0.0564764	0.01387	0.00391732	0.0075211	0.00115037	0.00036947	9.54302e-05
a	0.655293	0.225392	0.0811659	0.0313514	0.00311392	0.00345599	5.14757e-05	0.000175596
l	0.0563215	0.503234	0.282407	0.126961	0.0194771	0.00540126	0.001181	0.00501654
á	0.135471	0.38422	0.211898	0.0670148	0.0295894	0.0218218	0.00194593	0.148039
a	0.130816	0.164347	0.443613	0.153487	0.0396795	0.0328297	0.000397618	0.0348299
y	0.0164583	0.21556	0.344991	0.332981	0.0497919	0.00949228	0.01151	0.0192157
é	0.00104846	0.0664578	0.0782971	0.821611	0.0253523	0.00102739	0.000381867	0.00582368
n	0.00915907	0.0414901	0.347554	0.479577	0.0407837	0.0227811	0.00125877	0.057396
g	0.00751217	0.125666	0.437475	0.354446	0.06115	0.00674757	0.000311833	0.0066921
á	0.0167291	0.12726	0.225888	0.567286	0.0444178	0.00644134	0.000484002	0.0114935
y	0.0146274	0.02123	0.235818	0.386702	0.226169	0.0956555	0.0143438	0.00545494
a	0.00178369	0.00447932	0.072189	0.142622	0.731497	0.0345845	0.000597614	0.0122472
á	0.00306686	0.00496109	0.0215938	0.0712464	0.698358	0.171319	0.00358844	0.0258662
i	0.00237429	0.00605915	0.0115245	0.0191811	0.260282	0.560184	0.114976	0.0254198
k	0.000196907	0.000275628	0.00159615	0.00255591	0.0198951	0.121965	0.845505	0.00801058
έ	8.82888e-05	7.86394e-05	0.000901417	0.000138686	0.00151863	0.00675782	0.987444	0.00307304
έ	4.05434e-05	0.000117728	0.00107468	0.00061015	0.00222104	0.0240785	0.8602	0.111657
</S>	0.00113165	0.000731119	0.00883293	0.0017279	0.0170827	0.264746	0.201511	0.504237
